Date,Ladenburg Thalmann
2009-11-01,67
2009-11-02,66
2009-11-03,65
2009-11-04,65
2009-11-05,64
2009-11-06,63
2009-11-07,63
2009-11-08,62
2009-11-09,61
2009-11-10,61
2009-11-11,60
2009-11-12,60
2009-11-13,59
2009-11-14,58
2009-11-15,58
2009-11-16,57
2009-11-17,56
2009-11-18,56
2009-11-19,55
2009-11-20,54
2009-11-21,54
2009-11-22,53
2009-11-23,53
2009-11-24,52
2009-11-25,51
2009-11-26,51
2009-11-27,50
2009-11-28,49
2009-11-29,49
2009-11-30,48
2009-12-01,48
2009-12-02,49
2009-12-03,51
2009-12-04,53
2009-12-05,54
2009-12-06,56
2009-12-07,58
2009-12-08,59
2009-12-09,61
2009-12-10,63
2009-12-11,64
2009-12-12,66
2009-12-13,68
2009-12-14,69
2009-12-15,71
2009-12-16,73
2009-12-17,74
2009-12-18,76
2009-12-19,78
2009-12-20,79
2009-12-21,81
2009-12-22,83
2009-12-23,84
2009-12-24,86
2009-12-25,88
2009-12-26,89
2009-12-27,91
2009-12-28,93
2009-12-29,94
2009-12-30,96
2009-12-31,98
2010-01-01,100
2010-01-02,98
2010-01-03,96
2010-01-04,94
2010-01-05,93
2010-01-06,91
2010-01-07,89
2010-01-08,88
2010-01-09,86
2010-01-10,84
2010-01-11,82
2010-01-12,81
2010-01-13,79
2010-01-14,77
2010-01-15,76
2010-01-16,74
2010-01-17,72
2010-01-18,70
2010-01-19,69
2010-01-20,67
2010-01-21,65
2010-01-22,64
2010-01-23,62
2010-01-24,60
2010-01-25,58
2010-01-26,57
2010-01-27,55
2010-01-28,53
2010-01-29,52
2010-01-30,50
2010-01-31,48
2010-02-01,47
2010-02-02,47
2010-02-03,47
2010-02-04,47
2010-02-05,47
2010-02-06,47
2010-02-07,47
2010-02-08,47
2010-02-09,47
2010-02-10,47
2010-02-11,48
2010-02-12,48
2010-02-13,48
2010-02-14,48
2010-02-15,48
2010-02-16,48
2010-02-17,48
2010-02-18,48
2010-02-19,48
2010-02-20,49
2010-02-21,49
2010-02-22,49
2010-02-23,49
2010-02-24,49
2010-02-25,49
2010-02-26,49
2010-02-27,49
2010-02-28,49
2010-03-01,50
2010-03-02,50
2010-03-03,50
2010-03-04,51
2010-03-05,51
2010-03-06,51
2010-03-07,52
2010-03-08,52
2010-03-09,52
2010-03-10,53
2010-03-11,53
2010-03-12,53
2010-03-13,54
2010-03-14,54
2010-03-15,54
2010-03-16,55
2010-03-17,55
2010-03-18,56
2010-03-19,56
2010-03-20,56
2010-03-21,57
2010-03-22,57
2010-03-23,57
2010-03-24,58
2010-03-25,58
2010-03-26,58
2010-03-27,59
2010-03-28,59
2010-03-29,59
2010-03-30,60
2010-03-31,60
2010-04-01,61
2010-04-02,61
2010-04-03,62
2010-04-04,63
2010-04-05,64
2010-04-06,64
2010-04-07,65
2010-04-08,66
2010-04-09,67
2010-04-10,67
2010-04-11,68
2010-04-12,69
2010-04-13,70
2010-04-14,70
2010-04-15,71
2010-04-16,72
2010-04-17,73
2010-04-18,74
2010-04-19,74
2010-04-20,75
2010-04-21,76
2010-04-22,77
2010-04-23,77
2010-04-24,78
2010-04-25,79
2010-04-26,80
2010-04-27,80
2010-04-28,81
2010-04-29,82
2010-04-30,83
2010-05-01,84
2010-05-02,83
2010-05-03,83
2010-05-04,83
2010-05-05,83
2010-05-06,83
2010-05-07,83
2010-05-08,83
2010-05-09,82
2010-05-10,82
2010-05-11,82
2010-05-12,82
2010-05-13,82
2010-05-14,82
2010-05-15,82
2010-05-16,82
2010-05-17,81
2010-05-18,81
2010-05-19,81
2010-05-20,81
2010-05-21,81
2010-05-22,81
2010-05-23,81
2010-05-24,81
2010-05-25,80
2010-05-26,80
2010-05-27,80
2010-05-28,80
2010-05-29,80
2010-05-30,80
2010-05-31,80
2010-06-01,80
2010-06-02,79
2010-06-03,78
2010-06-04,77
2010-06-05,76
2010-06-06,75
2010-06-07,74
2010-06-08,73
2010-06-09,72
2010-06-10,71
2010-06-11,70
2010-06-12,69
2010-06-13,68
2010-06-14,67
2010-06-15,66
2010-06-16,66
2010-06-17,65
2010-06-18,64
2010-06-19,63
2010-06-20,62
2010-06-21,61
2010-06-22,60
2010-06-23,59
2010-06-24,58
2010-06-25,57
2010-06-26,56
2010-06-27,55
2010-06-28,54
2010-06-29,53
2010-06-30,52
2010-07-01,52
2010-07-02,52
2010-07-03,53
2010-07-04,53
2010-07-05,54
2010-07-06,54
2010-07-07,55
2010-07-08,56
2010-07-09,56
2010-07-10,57
2010-07-11,57
2010-07-12,58
2010-07-13,58
2010-07-14,59
2010-07-15,60
2010-07-16,60
2010-07-17,61
2010-07-18,61
2010-07-19,62
2010-07-20,63
2010-07-21,63
2010-07-22,64
2010-07-23,64
2010-07-24,65
2010-07-25,65
2010-07-26,66
2010-07-27,67
2010-07-28,67
2010-07-29,68
2010-07-30,68
2010-07-31,69
2010-08-01,70
2010-08-02,69
2010-08-03,69
2010-08-04,69
2010-08-05,69
2010-08-06,69
2010-08-07,69
2010-08-08,69
2010-08-09,68
2010-08-10,68
2010-08-11,68
2010-08-12,68
2010-08-13,68
2010-08-14,68
2010-08-15,68
2010-08-16,68
2010-08-17,67
2010-08-18,67
2010-08-19,67
2010-08-20,67
2010-08-21,67
2010-08-22,67
2010-08-23,67
2010-08-24,67
2010-08-25,66
2010-08-26,66
2010-08-27,66
2010-08-28,66
2010-08-29,66
2010-08-30,66
2010-08-31,66
2010-09-01,66
2010-09-02,65
2010-09-03,65
2010-09-04,65
2010-09-05,65
2010-09-06,65
2010-09-07,65
2010-09-08,65
2010-09-09,65
2010-09-10,65
2010-09-11,65
2010-09-12,64
2010-09-13,64
2010-09-14,64
2010-09-15,64
2010-09-16,64
2010-09-17,64
2010-09-18,64
2010-09-19,64
2010-09-20,64
2010-09-21,64
2010-09-22,63
2010-09-23,63
2010-09-24,63
2010-09-25,63
2010-09-26,63
2010-09-27,63
2010-09-28,63
2010-09-29,63
2010-09-30,63
2010-10-01,63
2010-10-02,62
2010-10-03,62
2010-10-04,62
2010-10-05,61
2010-10-06,61
2010-10-07,61
2010-10-08,60
2010-10-09,60
2010-10-10,60
2010-10-11,60
2010-10-12,59
2010-10-13,59
2010-10-14,59
2010-10-15,58
2010-10-16,58
2010-10-17,58
2010-10-18,58
2010-10-19,57
2010-10-20,57
2010-10-21,57
2010-10-22,56
2010-10-23,56
2010-10-24,56
2010-10-25,56
2010-10-26,55
2010-10-27,55
2010-10-28,55
2010-10-29,54
2010-10-30,54
2010-10-31,54
2010-11-01,54
2010-11-02,53
2010-11-03,53
2010-11-04,53
2010-11-05,53
2010-11-06,53
2010-11-07,53
2010-11-08,53
2010-11-09,53
2010-11-10,53
2010-11-11,53
2010-11-12,53
2010-11-13,53
2010-11-14,53
2010-11-15,53
2010-11-16,53
2010-11-17,53
2010-11-18,53
2010-11-19,53
2010-11-20,53
2010-11-21,53
2010-11-22,53
2010-11-23,53
2010-11-24,53
2010-11-25,53
2010-11-26,53
2010-11-27,53
2010-11-28,53
2010-11-29,53
2010-11-30,53
2010-12-01,53
2010-12-02,53
2010-12-03,54
2010-12-04,54
2010-12-05,55
2010-12-06,56
2010-12-07,56
2010-12-08,57
2010-12-09,58
2010-12-10,58
2010-12-11,59
2010-12-12,60
2010-12-13,60
2010-12-14,61
2010-12-15,62
2010-12-16,62
2010-12-17,63
2010-12-18,63
2010-12-19,64
2010-12-20,65
2010-12-21,65
2010-12-22,66
2010-12-23,67
2010-12-24,67
2010-12-25,68
2010-12-26,69
2010-12-27,69
2010-12-28,70
2010-12-29,71
2010-12-30,71
2010-12-31,72
2011-01-01,73
2011-01-02,72
2011-01-03,71
2011-01-04,70
2011-01-05,69
2011-01-06,68
2011-01-07,67
2011-01-08,66
2011-01-09,65
2011-01-10,64
2011-01-11,63
2011-01-12,62
2011-01-13,61
2011-01-14,60
2011-01-15,59
2011-01-16,58
2011-01-17,57
2011-01-18,56
2011-01-19,55
2011-01-20,54
2011-01-21,53
2011-01-22,52
2011-01-23,51
2011-01-24,50
2011-01-25,49
2011-01-26,48
2011-01-27,47
2011-01-28,46
2011-01-29,45
2011-01-30,44
2011-01-31,43
2011-02-01,42
2011-02-02,41
2011-02-03,41
2011-02-04,41
2011-02-05,41
2011-02-06,41
2011-02-07,41
2011-02-08,41
2011-02-09,41
2011-02-10,41
2011-02-11,40
2011-02-12,40
2011-02-13,40
2011-02-14,40
2011-02-15,40
2011-02-16,40
2011-02-17,40
2011-02-18,40
2011-02-19,40
2011-02-20,39
2011-02-21,39
2011-02-22,39
2011-02-23,39
2011-02-24,39
2011-02-25,39
2011-02-26,39
2011-02-27,39
2011-02-28,39
2011-03-01,39
2011-03-02,39
2011-03-03,40
2011-03-04,41
2011-03-05,42
2011-03-06,43
2011-03-07,44
2011-03-08,45
2011-03-09,46
2011-03-10,47
2011-03-11,48
2011-03-12,48
2011-03-13,49
2011-03-14,50
2011-03-15,51
2011-03-16,52
2011-03-17,53
2011-03-18,54
2011-03-19,55
2011-03-20,56
2011-03-21,57
2011-03-22,57
2011-03-23,58
2011-03-24,59
2011-03-25,60
2011-03-26,61
2011-03-27,62
2011-03-28,63
2011-03-29,64
2011-03-30,65
2011-03-31,66
2011-04-01,67
2011-04-02,66
2011-04-03,65
2011-04-04,64
2011-04-05,63
2011-04-06,62
2011-04-07,61
2011-04-08,60
2011-04-09,59
2011-04-10,58
2011-04-11,57
2011-04-12,56
2011-04-13,55
2011-04-14,54
2011-04-15,53
2011-04-16,52
2011-04-17,51
2011-04-18,50
2011-04-19,49
2011-04-20,48
2011-04-21,47
2011-04-22,46
2011-04-23,45
2011-04-24,44
2011-04-25,43
2011-04-26,42
2011-04-27,41
2011-04-28,40
2011-04-29,39
2011-04-30,38
2011-05-01,38
2011-05-02,38
2011-05-03,38
2011-05-04,39
2011-05-05,39
2011-05-06,40
