Date,Pali Capital
2007-10-01,66
2007-10-02,65
2007-10-03,64
2007-10-04,64
2007-10-05,63
2007-10-06,63
2007-10-07,62
2007-10-08,62
2007-10-09,61
2007-10-10,61
2007-10-11,60
2007-10-12,59
2007-10-13,59
2007-10-14,58
2007-10-15,58
2007-10-16,57
2007-10-17,57
2007-10-18,56
2007-10-19,56
2007-10-20,55
2007-10-21,55
2007-10-22,54
2007-10-23,53
2007-10-24,53
2007-10-25,52
2007-10-26,52
2007-10-27,51
2007-10-28,51
2007-10-29,50
2007-10-30,50
2007-10-31,49
2007-11-01,49
2007-11-02,48
2007-11-03,48
2007-11-04,48
2007-11-05,47
2007-11-06,47
2007-11-07,47
2007-11-08,47
2007-11-09,46
2007-11-10,46
2007-11-11,46
2007-11-12,46
2007-11-13,45
2007-11-14,45
2007-11-15,45
2007-11-16,45
2007-11-17,44
2007-11-18,44
2007-11-19,44
2007-11-20,43
2007-11-21,43
2007-11-22,43
2007-11-23,43
2007-11-24,42
2007-11-25,42
2007-11-26,42
2007-11-27,42
2007-11-28,41
2007-11-29,41
2007-11-30,41
2007-12-01,41
2007-12-02,42
2007-12-03,44
2007-12-04,46
2007-12-05,48
2007-12-06,49
2007-12-07,51
2007-12-08,53
2007-12-09,55
2007-12-10,56
2007-12-11,58
2007-12-12,60
2007-12-13,62
2007-12-14,64
2007-12-15,65
2007-12-16,67
2007-12-17,69
2007-12-18,71
2007-12-19,72
2007-12-20,74
2007-12-21,76
2007-12-22,78
2007-12-23,80
2007-12-24,81
2007-12-25,83
2007-12-26,85
2007-12-27,87
2007-12-28,88
2007-12-29,90
2007-12-30,92
2007-12-31,94
2008-01-01,96
2008-01-02,94
2008-01-03,93
2008-01-04,92
2008-01-05,91
2008-01-06,90
2008-01-07,89
2008-01-08,87
2008-01-09,86
2008-01-10,85
2008-01-11,84
2008-01-12,83
2008-01-13,82
2008-01-14,80
2008-01-15,79
2008-01-16,78
2008-01-17,77
2008-01-18,76
2008-01-19,75
2008-01-20,73
2008-01-21,72
2008-01-22,71
2008-01-23,70
2008-01-24,69
2008-01-25,68
2008-01-26,66
2008-01-27,65
2008-01-28,64
2008-01-29,63
2008-01-30,62
2008-01-31,61
2008-02-01,60
2008-02-02,59
2008-02-03,59
2008-02-04,58
2008-02-05,58
2008-02-06,57
2008-02-07,57
2008-02-08,56
2008-02-09,56
2008-02-10,55
2008-02-11,55
2008-02-12,55
2008-02-13,54
2008-02-14,54
2008-02-15,53
2008-02-16,53
2008-02-17,52
2008-02-18,52
2008-02-19,51
2008-02-20,51
2008-02-21,51
2008-02-22,50
2008-02-23,50
2008-02-24,49
2008-02-25,49
2008-02-26,48
2008-02-27,48
2008-02-28,47
2008-02-29,47
2008-03-01,47
2008-03-02,48
2008-03-03,49
2008-03-04,50
2008-03-05,51
2008-03-06,52
2008-03-07,53
2008-03-08,54
2008-03-09,55
2008-03-10,56
2008-03-11,57
2008-03-12,58
2008-03-13,59
2008-03-14,60
2008-03-15,61
2008-03-16,62
2008-03-17,63
2008-03-18,64
2008-03-19,65
2008-03-20,66
2008-03-21,67
2008-03-22,68
2008-03-23,69
2008-03-24,70
2008-03-25,71
2008-03-26,72
2008-03-27,73
2008-03-28,74
2008-03-29,75
2008-03-30,76
2008-03-31,77
2008-04-01,78
2008-04-02,77
2008-04-03,77
2008-04-04,77
2008-04-05,76
2008-04-06,76
2008-04-07,76
2008-04-08,75
2008-04-09,75
2008-04-10,75
2008-04-11,74
2008-04-12,74
2008-04-13,74
2008-04-14,73
2008-04-15,73
2008-04-16,73
2008-04-17,72
2008-04-18,72
2008-04-19,72
2008-04-20,71
2008-04-21,71
2008-04-22,71
2008-04-23,70
2008-04-24,70
2008-04-25,70
2008-04-26,69
2008-04-27,69
2008-04-28,69
2008-04-29,68
2008-04-30,68
2008-05-01,68
2008-05-02,68
2008-05-03,68
2008-05-04,68
2008-05-05,68
2008-05-06,68
2008-05-07,68
2008-05-08,69
2008-05-09,69
2008-05-10,69
2008-05-11,69
2008-05-12,69
2008-05-13,69
2008-05-14,70
2008-05-15,70
2008-05-16,70
2008-05-17,70
2008-05-18,70
2008-05-19,70
2008-05-20,71
2008-05-21,71
2008-05-22,71
2008-05-23,71
2008-05-24,71
2008-05-25,71
2008-05-26,72
2008-05-27,72
2008-05-28,72
2008-05-29,72
2008-05-30,72
2008-05-31,72
2008-06-01,73
2008-06-02,72
2008-06-03,72
2008-06-04,72
2008-06-05,72
2008-06-06,71
2008-06-07,71
2008-06-08,71
2008-06-09,71
2008-06-10,70
2008-06-11,70
2008-06-12,70
2008-06-13,70
2008-06-14,69
2008-06-15,69
2008-06-16,69
2008-06-17,69
2008-06-18,69
2008-06-19,68
2008-06-20,68
2008-06-21,68
2008-06-22,68
2008-06-23,67
2008-06-24,67
2008-06-25,67
2008-06-26,67
2008-06-27,66
2008-06-28,66
2008-06-29,66
2008-06-30,66
2008-07-01,66
2008-07-02,67
2008-07-03,68
2008-07-04,69
2008-07-05,70
2008-07-06,71
2008-07-07,72
2008-07-08,73
2008-07-09,74
2008-07-10,75
2008-07-11,76
2008-07-12,78
2008-07-13,79
2008-07-14,80
2008-07-15,81
2008-07-16,82
2008-07-17,83
2008-07-18,84
2008-07-19,85
2008-07-20,86
2008-07-21,87
2008-07-22,89
2008-07-23,90
2008-07-24,91
2008-07-25,92
2008-07-26,93
2008-07-27,94
2008-07-28,95
2008-07-29,96
2008-07-30,97
2008-07-31,98
2008-08-01,100
2008-08-02,99
2008-08-03,99
2008-08-04,99
2008-08-05,98
2008-08-06,98
2008-08-07,98
2008-08-08,97
2008-08-09,97
2008-08-10,97
2008-08-11,97
2008-08-12,96
2008-08-13,96
2008-08-14,96
2008-08-15,95
2008-08-16,95
2008-08-17,95
2008-08-18,95
2008-08-19,94
2008-08-20,94
2008-08-21,94
2008-08-22,93
2008-08-23,93
2008-08-24,93
2008-08-25,93
2008-08-26,92
2008-08-27,92
2008-08-28,92
2008-08-29,91
2008-08-30,91
2008-08-31,91
2008-09-01,91
2008-09-02,90
2008-09-03,89
2008-09-04,89
2008-09-05,88
2008-09-06,88
2008-09-07,87
2008-09-08,86
2008-09-09,86
2008-09-10,85
2008-09-11,85
2008-09-12,84
2008-09-13,83
2008-09-14,83
2008-09-15,82
2008-09-16,82
2008-09-17,81
2008-09-18,80
2008-09-19,80
2008-09-20,79
2008-09-21,79
2008-09-22,78
2008-09-23,77
2008-09-24,77
2008-09-25,76
2008-09-26,76
2008-09-27,75
2008-09-28,74
2008-09-29,74
2008-09-30,73
2008-10-01,73
2008-10-02,73
2008-10-03,73
2008-10-04,73
2008-10-05,73
2008-10-06,74
2008-10-07,74
2008-10-08,74
2008-10-09,74
2008-10-10,75
2008-10-11,75
2008-10-12,75
2008-10-13,75
2008-10-14,75
2008-10-15,76
2008-10-16,76
2008-10-17,76
2008-10-18,76
2008-10-19,77
2008-10-20,77
2008-10-21,77
2008-10-22,77
2008-10-23,77
2008-10-24,78
2008-10-25,78
2008-10-26,78
2008-10-27,78
2008-10-28,79
2008-10-29,79
2008-10-30,79
2008-10-31,79
