Date,Lazard Capital Markets
2009-07-01,72
2009-07-02,71
2009-07-03,70
2009-07-04,69
2009-07-05,68
2009-07-06,68
2009-07-07,67
2009-07-08,66
2009-07-09,65
2009-07-10,65
2009-07-11,64
2009-07-12,63
2009-07-13,62
2009-07-14,61
2009-07-15,61
2009-07-16,60
2009-07-17,59
2009-07-18,58
2009-07-19,58
2009-07-20,57
2009-07-21,56
2009-07-22,55
2009-07-23,54
2009-07-24,54
2009-07-25,53
2009-07-26,52
2009-07-27,51
2009-07-28,51
2009-07-29,50
2009-07-30,49
2009-07-31,48
2009-08-01,48
2009-08-02,48
2009-08-03,49
2009-08-04,50
2009-08-05,50
2009-08-06,51
2009-08-07,52
2009-08-08,53
2009-08-09,53
2009-08-10,54
2009-08-11,55
2009-08-12,56
2009-08-13,56
2009-08-14,57
2009-08-15,58
2009-08-16,59
2009-08-17,59
2009-08-18,60
2009-08-19,61
2009-08-20,62
2009-08-21,62
2009-08-22,63
2009-08-23,64
2009-08-24,65
2009-08-25,65
2009-08-26,66
2009-08-27,67
2009-08-28,68
2009-08-29,68
2009-08-30,69
2009-08-31,70
2009-09-01,71
2009-09-02,71
2009-09-03,72
2009-09-04,73
2009-09-05,74
2009-09-06,75
2009-09-07,75
2009-09-08,76
2009-09-09,77
2009-09-10,78
2009-09-11,79
2009-09-12,79
2009-09-13,80
2009-09-14,81
2009-09-15,82
2009-09-16,83
2009-09-17,83
2009-09-18,84
2009-09-19,85
2009-09-20,86
2009-09-21,87
2009-09-22,87
2009-09-23,88
2009-09-24,89
2009-09-25,90
2009-09-26,91
2009-09-27,91
2009-09-28,92
2009-09-29,93
2009-09-30,94
2009-10-01,95
2009-10-02,94
2009-10-03,94
2009-10-04,93
2009-10-05,93
2009-10-06,92
2009-10-07,92
2009-10-08,91
2009-10-09,91
2009-10-10,90
2009-10-11,90
2009-10-12,90
2009-10-13,89
2009-10-14,89
2009-10-15,88
2009-10-16,88
2009-10-17,87
2009-10-18,87
2009-10-19,86
2009-10-20,86
2009-10-21,85
2009-10-22,85
2009-10-23,85
2009-10-24,84
2009-10-25,84
2009-10-26,83
2009-10-27,83
2009-10-28,82
2009-10-29,82
2009-10-30,81
2009-10-31,81
2009-11-01,81
2009-11-02,80
2009-11-03,79
2009-11-04,78
2009-11-05,77
2009-11-06,76
2009-11-07,75
2009-11-08,74
2009-11-09,74
2009-11-10,73
2009-11-11,72
2009-11-12,71
2009-11-13,70
2009-11-14,69
2009-11-15,68
2009-11-16,68
2009-11-17,67
2009-11-18,66
2009-11-19,65
2009-11-20,64
2009-11-21,63
2009-11-22,62
2009-11-23,61
2009-11-24,61
2009-11-25,60
2009-11-26,59
2009-11-27,58
2009-11-28,57
2009-11-29,56
2009-11-30,55
2009-12-01,55
2009-12-02,55
2009-12-03,55
2009-12-04,55
2009-12-05,55
2009-12-06,55
2009-12-07,55
2009-12-08,55
2009-12-09,55
2009-12-10,55
2009-12-11,55
2009-12-12,55
2009-12-13,55
2009-12-14,55
2009-12-15,55
2009-12-16,55
2009-12-17,55
2009-12-18,55
2009-12-19,55
2009-12-20,55
2009-12-21,55
2009-12-22,55
2009-12-23,55
2009-12-24,55
2009-12-25,55
2009-12-26,55
2009-12-27,55
2009-12-28,55
2009-12-29,55
2009-12-30,55
2009-12-31,55
2010-01-01,55
2010-01-02,54
2010-01-03,54
2010-01-04,54
2010-01-05,54
2010-01-06,54
2010-01-07,53
2010-01-08,53
2010-01-09,53
2010-01-10,53
2010-01-11,53
2010-01-12,52
2010-01-13,52
2010-01-14,52
2010-01-15,52
2010-01-16,52
2010-01-17,51
2010-01-18,51
2010-01-19,51
2010-01-20,51
2010-01-21,51
2010-01-22,50
2010-01-23,50
2010-01-24,50
2010-01-25,50
2010-01-26,50
2010-01-27,49
2010-01-28,49
2010-01-29,49
2010-01-30,49
2010-01-31,49
2010-02-01,49
2010-02-02,49
2010-02-03,49
2010-02-04,49
2010-02-05,49
2010-02-06,49
2010-02-07,49
2010-02-08,49
2010-02-09,49
2010-02-10,49
2010-02-11,50
2010-02-12,50
2010-02-13,50
2010-02-14,50
2010-02-15,50
2010-02-16,50
2010-02-17,50
2010-02-18,50
2010-02-19,50
2010-02-20,51
2010-02-21,51
2010-02-22,51
2010-02-23,51
2010-02-24,51
2010-02-25,51
2010-02-26,51
2010-02-27,51
2010-02-28,51
2010-03-01,52
2010-03-02,51
2010-03-03,51
2010-03-04,51
2010-03-05,51
2010-03-06,51
2010-03-07,51
2010-03-08,51
2010-03-09,50
2010-03-10,50
2010-03-11,50
2010-03-12,50
2010-03-13,50
2010-03-14,50
2010-03-15,50
2010-03-16,50
2010-03-17,49
2010-03-18,49
2010-03-19,49
2010-03-20,49
2010-03-21,49
2010-03-22,49
2010-03-23,49
2010-03-24,49
2010-03-25,48
2010-03-26,48
