Date,Thomas Weisel
2008-08-17,53
2008-08-18,49
2008-08-19,46
2008-08-20,43
2008-08-21,40
2008-08-22,37
2008-08-23,35
2008-08-24,37
2008-08-25,40
2008-08-26,42
2008-08-27,45
2008-08-28,47
2008-08-29,50
2008-08-30,53
2008-08-31,54
2008-09-01,57
2008-09-02,58
2008-09-03,60
2008-09-04,62
2008-09-05,64
2008-09-06,66
2008-09-07,63
2008-09-08,59
2008-09-09,55
2008-09-10,52
2008-09-11,48
2008-09-12,45
2008-09-13,42
2008-09-14,43
2008-09-15,45
2008-09-16,47
2008-09-17,48
2008-09-18,50
2008-09-19,52
2008-09-20,54
2008-09-21,55
2008-09-22,57
2008-09-23,58
2008-09-24,60
2008-09-25,62
2008-09-26,63
2008-09-27,65
2008-09-28,63
2008-09-29,62
2008-09-30,60
2008-10-01,59
2008-10-02,57
2008-10-03,55
2008-10-04,54
2008-10-05,52
2008-10-06,50
2008-10-07,48
2008-10-08,47
2008-10-09,45
2008-10-10,43
2008-10-11,42
2008-10-12,41
2008-10-13,41
2008-10-14,41
2008-10-15,41
2008-10-16,40
2008-10-17,40
2008-10-18,40
2008-10-19,39
2008-10-20,38
2008-10-21,38
2008-10-22,37
2008-10-23,37
2008-10-24,36
2008-10-25,36
2008-10-26,38
2008-11-02,51
2008-11-03,51
2008-11-04,51
2008-11-05,50
2008-11-06,50
2008-11-07,50
2008-11-08,50
2008-11-09,49
2008-11-10,49
2008-11-11,48
2008-11-12,48
2008-11-13,47
2008-11-14,46
2008-11-15,46
2008-11-16,44
2008-11-17,42
2008-11-18,41
2008-11-19,39
2008-11-20,38
2008-11-21,36
2008-11-22,35
2008-11-23,35
2008-11-24,35
2008-11-25,35
2008-11-26,35
2008-11-27,35
2008-11-28,35
2008-11-29,35
2008-11-30,34
2008-12-01,33
2008-12-02,33
2008-12-03,32
2008-12-04,32
2008-12-05,31
2008-12-06,31
2008-12-07,31
2008-12-08,32
2008-12-09,33
2008-12-10,34
2008-12-11,35
2008-12-12,36
2008-12-13,37
2008-12-14,36
