Date,Sunrise Securities
2010-06-29,0
2010-06-30,0
2010-07-01,0
2010-07-02,3
2010-07-03,6
2010-07-04,9
2010-07-05,12
2010-07-06,16
2010-07-07,19
2010-07-08,22
2010-07-09,25
2010-07-10,29
2010-07-11,32
2010-07-12,35
2010-07-13,38
2010-07-14,41
2010-07-15,45
2010-07-16,48
2010-07-17,51
2010-07-18,54
2010-07-19,58
2010-07-20,61
2010-07-21,64
2010-07-22,67
2010-07-23,70
2010-07-24,74
2010-07-25,77
2010-07-26,80
2010-07-27,83
2010-07-28,87
2010-07-29,90
2010-07-30,93
2010-07-31,96
2010-08-01,100
2010-08-02,99
2010-08-03,98
2010-08-04,98
2010-08-05,97
2010-08-06,97
2010-08-07,96
2010-08-08,96
2010-08-09,95
2010-08-10,95
2010-08-11,94
2010-08-12,94
2010-08-13,93
2010-08-14,93
2010-08-15,92
2010-08-16,92
2010-08-17,91
2010-08-18,91
2010-08-19,90
2010-08-20,90
2010-08-21,89
2010-08-22,89
2010-08-23,88
2010-08-24,88
2010-08-25,87
2010-08-26,87
2010-08-27,86
2010-08-28,86
2010-08-29,85
2010-08-30,85
2010-08-31,84
2010-09-01,84
2010-09-02,84
2010-09-03,84
2010-09-04,84
2010-09-05,84
2010-09-06,84
2010-09-07,84
2010-09-08,84
2010-09-09,84
2010-09-10,84
2010-09-11,84
2010-09-12,84
2010-09-13,84
2010-09-14,84
2010-09-15,84
2010-09-16,84
2010-09-17,84
2010-09-18,84
2010-09-19,84
2010-09-20,84
2010-09-21,84
2010-09-22,84
2010-09-23,84
2010-09-24,84
2010-09-25,84
2010-09-26,84
2010-09-27,84
2010-09-28,84
2010-09-29,84
2010-09-30,84
2010-10-01,84
2010-10-02,84
2010-10-03,84
2010-10-04,84
2010-10-05,85
2010-10-06,85
2010-10-07,85
2010-10-08,86
2010-10-09,86
2010-10-10,86
2010-10-11,87
2010-10-12,87
2010-10-13,87
2010-10-14,88
2010-10-15,88
2010-10-16,88
2010-10-17,89
2010-10-18,89
2010-10-19,89
2010-10-20,90
2010-10-21,90
2010-10-22,90
2010-10-23,91
2010-10-24,91
2010-10-25,91
2010-10-26,92
2010-10-27,92
2010-10-28,92
2010-10-29,93
2010-10-30,93
2010-10-31,93
2010-11-01,94
2010-11-02,92
2010-11-03,91
2010-11-04,90
2010-11-05,88
2010-11-06,87
2010-11-07,86
2010-11-08,84
2010-11-09,83
2010-11-10,82
2010-11-11,81
2010-11-12,79
2010-11-13,78
2010-11-14,77
2010-11-15,75
2010-11-16,74
2010-11-17,73
2010-11-18,71
2010-11-19,70
2010-11-20,69
2010-11-21,68
2010-11-22,66
2010-11-23,65
2010-11-24,64
2010-11-25,62
2010-11-26,61
2010-11-27,60
2010-11-28,58
2010-11-29,57
2010-11-30,56
2010-12-01,55
2010-12-02,55
2010-12-03,55
2010-12-04,55
2010-12-05,55
2010-12-06,55
2010-12-07,55
2010-12-08,55
2010-12-09,55
2010-12-10,55
2010-12-11,55
2010-12-12,55
2010-12-13,55
2010-12-14,55
2010-12-15,55
2010-12-16,55
2010-12-17,55
2010-12-18,55
2010-12-19,55
2010-12-20,55
2010-12-21,55
2010-12-22,55
2010-12-23,55
2010-12-24,55
2010-12-25,55
2010-12-26,55
2010-12-27,55
2010-12-28,55
2010-12-29,55
2010-12-30,55
2010-12-31,55
2011-01-01,55
2011-01-02,55
2011-01-03,55
2011-01-04,55
2011-01-05,56
2011-01-06,56
2011-01-07,56
2011-01-08,56
2011-01-09,57
2011-01-10,57
2011-01-11,57
2011-01-12,57
2011-01-13,58
2011-01-14,58
2011-01-15,58
2011-01-16,58
2011-01-17,59
2011-01-18,59
2011-01-19,59
2011-01-20,59
2011-01-21,60
2011-01-22,60
2011-01-23,60
2011-01-24,60
2011-01-25,61
2011-01-26,61
2011-01-27,61
2011-01-28,61
2011-01-29,62
2011-01-30,62
2011-01-31,62
2011-02-01,63
2011-02-02,62
2011-02-03,62
2011-02-04,62
2011-02-05,62
2011-02-06,62
2011-02-07,62
2011-02-08,62
2011-02-09,62
2011-02-10,62
2011-02-11,62
2011-02-12,62
2011-02-13,62
2011-02-14,62
2011-02-15,62
2011-02-16,61
2011-02-17,61
2011-02-18,61
2011-02-19,61
2011-02-20,61
2011-02-21,61
2011-02-22,61
2011-02-23,61
2011-02-24,61
2011-02-25,61
2011-02-26,61
2011-02-27,61
2011-02-28,61
2011-03-01,61
2011-03-02,61
2011-03-03,61
2011-03-04,61
2011-03-05,61
2011-03-06,61
2011-03-07,61
2011-03-08,61
2011-03-09,61
2011-03-10,61
2011-03-11,61
2011-03-12,61
2011-03-13,61
2011-03-14,61
2011-03-15,61
2011-03-16,61
2011-03-17,61
2011-03-18,61
2011-03-19,61
2011-03-20,61
2011-03-21,61
2011-03-22,61
2011-03-23,61
2011-03-24,61
2011-03-25,61
2011-03-26,61
2011-03-27,61
2011-03-28,61
2011-03-29,61
2011-03-30,61
2011-03-31,61
2011-04-01,61
2011-04-02,61
2011-04-03,61
2011-04-04,61
2011-04-05,61
2011-04-06,61
2011-04-07,61
2011-04-08,61
2011-04-09,61
2011-04-10,61
2011-04-11,61
2011-04-12,61
2011-04-13,61
2011-04-14,61
2011-04-15,61
2011-04-16,61
2011-04-17,61
2011-04-18,61
2011-04-19,61
2011-04-20,61
2011-04-21,61
2011-04-22,61
2011-04-23,61
2011-04-24,61
2011-04-25,61
2011-04-26,61
2011-04-27,61
2011-04-28,61
2011-04-29,61
2011-04-30,61
2011-05-01,62
2011-05-02,62
2011-05-03,62
2011-05-04,62
2011-05-05,62
2011-05-06,62
2011-05-07,62
2011-05-08,62
2011-05-09,62
2011-05-10,62
2011-05-11,62
2011-05-12,62
2011-05-13,62
2011-05-14,62
2011-05-15,62
2011-05-16,62
2011-05-17,62
2011-05-18,62
2011-05-19,62
2011-05-20,62
2011-05-21,62
2011-05-22,62
2011-05-23,62
2011-05-24,62
2011-05-25,62
2011-05-26,62
2011-05-27,62
2011-05-28,62
2011-05-29,62
2011-05-30,62
2011-05-31,62
2011-06-01,62
2011-06-02,62
2011-06-03,62
2011-06-04,62
2011-06-05,62
2011-06-06,62
2011-06-07,62
2011-06-08,62
2011-06-09,62
2011-06-10,62
2011-06-11,62
2011-06-12,62
2011-06-13,62
2011-06-14,62
2011-06-15,62
2011-06-16,62
2011-06-17,62
2011-06-18,62
2011-06-19,62
2011-06-20,62
2011-06-21,62
2011-06-22,62
2011-06-23,62
2011-06-24,62
2011-06-25,62
2011-06-26,62
2011-06-27,62
2011-06-28,62
2011-06-29,62
2011-06-30,62
2011-07-01,63
2011-07-02,63
2011-07-03,63
2011-07-04,63
2011-07-05,63
2011-07-06,63
2011-07-07,63
2011-07-08,63
2011-07-09,63
2011-07-10,63
2011-07-11,63
2011-07-12,63
2011-07-13,63
2011-07-14,63
2011-07-15,63
2011-07-16,63
2011-07-17,63
2011-07-18,63
2011-07-19,63
2011-07-20,63
2011-07-21,63
2011-07-22,63
2011-07-23,63
2011-07-24,63
2011-07-25,63
2011-07-26,63
2011-07-27,63
2011-07-28,63
2011-07-29,63
2011-07-30,63
2011-07-31,63
2011-08-01,64
2011-08-02,61
2011-08-03,59
2011-08-04,57
2011-08-05,55
2011-08-06,53
2011-08-07,51
2011-08-08,49
2011-08-09,47
2011-08-10,45
2011-08-11,43
2011-08-12,41
2011-08-13,39
2011-08-14,37
2011-08-15,35
2011-08-16,33
2011-08-17,30
2011-08-18,28
2011-08-19,26
2011-08-20,24
2011-08-21,22
2011-08-22,20
2011-08-23,18
2011-08-24,16
2011-08-25,14
2011-08-26,12
2011-08-27,10
2011-08-28,8
2011-08-29,6
2011-08-30,4
2011-08-31,2
