Date,HSBC
2006-02-01,60
2006-02-02,61
2006-02-03,62
2006-02-04,65
2006-02-05,65
2006-02-06,61
2006-02-07,60
2006-02-08,60
2006-02-09,59
2006-02-10,58
2006-02-11,61
2006-02-12,59
2006-02-13,57
2006-02-14,58
2006-02-15,56
2006-02-16,56
2006-02-17,56
2006-02-18,59
2006-02-19,57
2006-02-20,56
2006-02-21,57
2006-02-22,58
2006-02-23,59
2006-02-24,58
2006-02-25,62
2006-02-26,61
2006-02-27,59
2006-02-28,59
2006-03-01,61
2006-03-02,60
2006-03-03,61
2006-03-04,63
2006-03-05,63
2006-03-06,60
2006-03-07,60
2006-03-08,60
2006-03-09,59
2006-03-10,59
2006-03-11,62
2006-03-12,60
2006-03-13,58
2006-03-14,58
2006-03-15,57
2006-03-16,58
2006-03-17,57
2006-03-18,60
2006-03-19,58
2006-03-20,56
2006-03-21,57
2006-03-22,56
2006-03-23,56
2006-03-24,56
2006-03-25,58
2006-03-26,58
2006-03-27,57
2006-03-28,57
2006-03-29,58
2006-03-30,58
2006-03-31,59
2006-05-01,62
2006-05-02,62
2006-05-03,63
2006-05-04,62
2006-05-05,62
2006-05-06,65
2006-05-07,65
2006-05-08,62
2006-05-09,62
2006-05-10,62
2006-05-11,62
2006-05-12,62
2006-05-13,65
2006-05-14,63
2006-05-15,61
2006-05-16,61
2006-05-17,62
2006-05-18,61
2006-05-19,61
2006-05-20,63
2006-05-21,62
2006-05-22,61
2006-05-23,61
2006-05-24,61
2006-05-25,61
2006-05-26,61
2006-05-27,65
2006-05-28,62
2006-05-29,61
2006-05-30,61
2006-05-31,61
2006-06-01,61
2006-06-02,62
2006-06-03,66
2006-06-04,63
2006-06-05,62
2006-06-06,63
2006-06-07,62
2006-06-08,62
2006-06-09,62
2006-06-10,67
2006-06-11,64
2006-06-12,62
2006-06-13,62
2006-06-14,62
2006-06-15,62
2006-06-16,61
2006-06-17,63
2006-06-18,63
2006-06-19,61
2006-06-20,62
2006-06-21,63
2006-06-22,62
2006-06-23,62
2006-06-24,66
2006-06-25,65
2006-06-26,64
2006-06-27,65
2006-06-28,65
2006-06-29,66
2006-06-30,66
2006-07-01,71
2006-07-02,70
2006-07-03,68
2006-07-04,68
2006-07-05,69
2006-07-06,69
2006-07-07,71
2006-07-08,74
2006-07-09,72
2006-07-10,70
2006-07-11,70
2006-07-12,69
2006-07-13,69
2006-07-14,68
2006-07-15,71
2006-07-16,69
2006-07-17,68
2006-07-18,69
2006-07-19,69
2006-07-20,70
2006-07-21,69
2006-07-22,74
2006-07-23,71
2006-07-24,70
2006-07-25,70
2006-07-26,71
2006-07-27,71
2006-07-28,72
2006-07-29,76
2006-07-30,73
2006-07-31,72
2006-08-01,72
2006-08-02,73
2006-08-03,72
2006-08-04,73
2006-08-05,77
2006-08-06,73
2006-08-07,71
2006-08-08,72
2006-08-09,70
2006-08-10,70
2006-08-11,69
2006-08-12,74
2006-08-13,71
2006-08-14,69
2006-08-15,69
2006-08-16,71
2006-08-17,70
2006-08-18,71
2006-08-19,76
2006-08-20,71
2006-08-21,70
2006-08-22,69
2006-08-23,69
2006-08-24,69
2006-08-25,68
2006-08-26,72
2006-08-27,71
2006-08-28,68
2006-08-29,68
2006-08-30,70
2006-08-31,69
2006-09-01,70
2006-09-02,73
2006-09-03,72
2006-09-04,70
2006-09-05,70
2006-09-06,71
2006-09-07,70
2006-09-08,70
2006-09-09,74
2006-09-10,71
2006-09-11,71
2006-09-12,72
2006-09-13,74
2006-09-14,74
2006-09-15,75
2006-09-16,80
2006-09-17,77
2006-09-18,73
2006-09-19,73
2006-09-20,71
2006-09-21,70
2006-09-22,70
2006-09-23,70
2006-09-24,70
2006-09-25,69
2006-09-26,70
2006-09-27,70
2006-09-28,70
2006-09-29,71
2006-09-30,76
2006-10-01,74
2006-10-02,72
2006-10-03,73
2006-10-04,72
2006-10-05,72
2006-10-06,72
2006-10-07,77
2006-10-08,75
2006-10-09,71
2006-10-10,71
2006-10-11,71
2006-10-12,70
2006-10-13,70
2006-10-14,72
2006-10-15,70
2006-10-16,69
2006-10-17,71
2006-10-18,71
2006-10-19,71
2006-10-20,71
2006-10-21,75
2006-10-22,74
2006-10-23,71
2006-10-24,71
2006-10-25,70
2006-10-26,69
2006-10-27,69
2006-10-28,72
2006-10-29,71
2006-10-30,70
2006-10-31,70
2006-11-01,71
2006-11-02,74
2006-11-03,72
2006-11-04,76
2006-11-05,77
2006-11-06,73
2006-11-07,75
2006-11-08,74
2006-11-09,74
2006-11-10,74
2006-11-11,78
2006-11-12,75
2006-11-13,73
2006-11-14,73
2006-11-15,73
2006-11-16,72
2006-11-17,71
2006-11-18,74
2006-11-19,74
2006-11-20,70
2006-11-21,70
2006-11-22,70
2006-11-23,70
2006-11-24,69
