Date,Goldman Sachs
2007-08-01,34
2007-08-02,34
2007-08-03,34
2007-08-04,36
2007-08-05,35
2007-08-06,36
2007-08-07,37
2007-08-08,39
2007-08-09,41
2007-08-10,41
2007-08-11,47
2007-08-12,42
2007-08-13,42
2007-08-14,42
2007-08-15,42
2007-08-16,42
2007-08-17,43
2007-08-18,44
2007-08-19,41
2007-08-20,41
2007-08-21,42
2007-08-22,40
2007-08-23,39
2007-08-24,39
2007-08-25,39
2007-08-26,40
2007-08-27,38
2007-08-28,38
2007-08-29,39
2007-08-30,38
2007-08-31,38
2007-09-01,40
2007-09-02,37
2007-09-03,36
2007-09-04,35
2007-09-05,34
2007-09-06,33
2007-09-07,32
2007-09-08,35
2007-09-09,32
2007-09-10,33
2007-09-11,34
2007-09-12,34
2007-09-13,35
2007-09-14,36
2007-09-15,40
2007-09-16,38
2007-09-17,39
2007-09-18,40
2007-09-19,41
2007-09-20,42
2007-09-21,44
2007-09-22,47
2007-09-23,43
2007-09-24,42
2007-09-25,41
2007-09-26,40
2007-09-27,40
2007-09-28,38
2007-09-29,40
2007-09-30,38
2007-10-01,38
2007-10-02,38
2007-10-03,38
2007-10-04,39
2007-10-05,38
2007-10-06,40
2007-10-07,39
2007-10-08,39
2007-10-09,39
2007-10-10,40
2007-10-11,39
2007-10-12,40
2007-10-13,43
2007-10-14,40
2007-10-15,40
2007-10-16,40
2007-10-17,40
2007-10-18,40
2007-10-19,41
2007-10-20,42
2007-10-21,40
2007-10-22,38
2007-10-23,38
2007-10-24,37
2007-10-25,37
2007-10-26,36
2007-10-27,39
2007-10-28,36
2007-10-29,37
2007-10-30,37
2007-10-31,39
2007-11-01,38
2007-11-02,39
2007-11-03,43
2007-11-04,40
2007-11-05,40
2007-11-06,40
2007-11-07,40
2007-11-08,40
2007-11-09,41
2007-11-10,43
2007-11-11,40
2007-11-12,40
2007-11-13,40
2007-11-14,41
2007-11-15,42
2007-11-16,41
2007-11-17,44
2007-11-18,42
2007-11-19,43
2007-11-20,43
2007-11-21,45
2007-11-22,45
2007-11-23,46
2007-11-24,48
2007-11-25,46
2007-11-26,46
2007-11-27,46
2007-11-28,46
2007-11-29,46
2007-11-30,46
2007-12-01,49
2007-12-02,46
2007-12-03,46
2007-12-04,46
2007-12-05,46
2007-12-06,47
2007-12-07,46
2007-12-08,48
2007-12-09,45
2007-12-10,45
2007-12-11,44
2007-12-12,44
2007-12-13,43
2007-12-14,43
2007-12-15,46
2007-12-16,44
2007-12-17,45
2007-12-18,46
2007-12-19,48
2007-12-20,50
2007-12-21,51
2007-12-22,51
2007-12-23,50
2007-12-24,46
2007-12-25,45
2007-12-26,41
2007-12-27,39
2007-12-28,38
2007-12-29,36
2007-12-30,34
2007-12-31,34
2008-01-01,35
2008-01-02,33
2008-01-03,32
2008-01-04,32
2008-01-05,34
2008-01-06,33
2008-01-07,35
2008-01-08,36
2008-01-09,38
2008-01-10,39
2008-01-11,43
2008-01-12,44
2008-01-13,44
2008-01-14,42
2008-01-15,42
2008-01-16,43
2008-01-17,42
2008-01-18,42
2008-01-19,44
2008-01-20,42
2008-01-21,42
2008-01-22,42
2008-01-23,42
2008-01-24,42
2008-01-25,43
2008-01-26,46
2008-01-27,42
2008-01-28,42
2008-01-29,42
2008-01-30,41
2008-01-31,41
2008-02-01,40
2008-02-02,42
2008-02-03,39
2008-02-04,39
2008-02-05,39
2008-02-06,39
2008-02-07,38
2008-02-08,38
2008-02-09,41
2008-02-10,37
2008-02-11,37
2008-02-12,36
2008-02-13,36
2008-02-14,36
2008-02-15,35
2008-02-16,37
2008-02-17,34
2008-02-18,34
2008-02-19,34
2008-02-20,33
2008-02-21,33
2008-02-22,34
2008-02-23,34
