Date,FBR Capital Markets
2007-12-21,88
2007-12-22,89
2007-12-23,90
2007-12-24,91
2007-12-25,92
2007-12-26,93
2007-12-27,94
2007-12-28,95
2007-12-29,96
2007-12-30,97
2007-12-31,98
2008-01-01,100
2008-01-02,98
2008-01-03,97
2008-01-04,96
2008-01-05,94
2008-01-06,93
2008-01-07,92
2008-01-08,90
2008-01-09,89
2008-01-10,88
2008-01-11,86
2008-01-12,85
2008-01-13,84
2008-01-14,82
2008-01-15,81
2008-01-16,80
2008-01-17,78
2008-01-18,77
2008-01-19,76
2008-01-20,74
2008-01-21,73
2008-01-22,72
2008-01-23,70
2008-01-24,69
2008-01-25,68
2008-01-26,66
2008-01-27,65
2008-01-28,64
2008-01-29,62
2008-01-30,61
2008-01-31,60
2008-02-01,59
2008-02-02,58
2008-02-03,57
2008-02-04,57
2008-02-05,56
2008-02-06,55
2008-02-07,55
2008-02-08,54
2008-02-09,53
2008-02-10,53
2008-02-11,52
2008-02-12,51
2008-02-13,51
2008-02-14,50
2008-02-15,49
2008-02-16,49
2008-02-17,48
2008-02-18,47
2008-02-19,47
2008-02-20,46
2008-02-21,45
2008-02-22,45
2008-02-23,44
2008-02-24,43
2008-02-25,43
2008-02-26,42
2008-02-27,41
2008-02-28,41
2008-02-29,40
2008-03-01,40
2008-03-02,40
2008-03-03,40
2008-03-04,41
2008-03-05,41
2008-03-06,41
2008-03-07,42
2008-03-08,42
2008-03-09,43
2008-03-10,43
2008-03-11,43
2008-03-12,44
2008-03-13,44
2008-03-14,45
2008-03-15,45
2008-03-16,45
2008-03-17,46
2008-03-18,46
2008-03-19,46
2008-03-20,47
2008-03-21,47
2008-03-22,48
2008-03-23,48
2008-03-24,48
2008-03-25,49
2008-03-26,49
2008-03-27,50
2008-03-28,50
2008-03-29,50
2008-03-30,51
2008-03-31,51
2008-04-01,52
2008-04-02,52
2008-04-03,53
2008-04-04,54
2008-04-05,55
2008-04-06,56
2008-04-07,56
2008-04-08,57
2008-04-09,58
2008-04-10,59
2008-04-11,60
2008-04-12,60
2008-04-13,61
2008-04-14,62
2008-04-15,63
2008-04-16,64
2008-04-17,64
2008-04-18,65
2008-04-19,66
2008-04-20,67
2008-04-21,68
2008-04-22,68
2008-04-23,69
2008-04-24,70
2008-04-25,71
2008-04-26,72
2008-04-27,72
2008-04-28,73
2008-04-29,74
2008-04-30,75
2008-05-01,76
2008-05-02,75
2008-05-03,74
2008-05-04,74
2008-05-05,73
2008-05-06,72
2008-05-07,72
2008-05-08,71
2008-05-09,71
2008-05-10,70
2008-05-11,69
2008-05-12,69
2008-05-13,68
2008-05-14,68
2008-05-15,67
2008-05-16,66
2008-05-17,66
2008-05-18,65
2008-05-19,64
2008-05-20,64
2008-05-21,63
2008-05-22,63
2008-05-23,62
2008-05-24,61
2008-05-25,61
2008-05-26,60
2008-05-27,60
2008-05-28,59
2008-05-29,58
2008-05-30,58
2008-05-31,57
2008-06-01,57
2008-06-02,57
2008-06-03,57
2008-06-04,57
2008-06-05,57
2008-06-06,58
2008-06-07,58
2008-06-08,58
2008-06-09,58
2008-06-10,58
2008-06-11,59
2008-06-12,59
2008-06-13,59
2008-06-14,59
2008-06-15,59
2008-06-16,60
2008-06-17,60
2008-06-18,60
2008-06-19,60
2008-06-20,60
2008-06-21,61
2008-06-22,61
2008-06-23,61
2008-06-24,61
2008-06-25,61
2008-06-26,62
2008-06-27,62
2008-06-28,62
2008-06-29,62
2008-06-30,62
2008-07-01,63
2008-07-02,63
2008-07-03,63
2008-07-04,63
2008-07-05,63
2008-07-06,63
2008-07-07,63
2008-07-08,63
2008-07-09,63
2008-07-10,63
2008-07-11,63
2008-07-12,63
2008-07-13,63
2008-07-14,63
2008-07-15,63
2008-07-16,63
2008-07-17,64
2008-07-18,64
2008-07-19,64
2008-07-20,64
2008-07-21,64
2008-07-22,64
2008-07-23,64
2008-07-24,64
2008-07-25,64
2008-07-26,64
2008-07-27,64
2008-07-28,64
2008-07-29,64
2008-07-30,64
2008-07-31,64
2008-08-01,65
2008-08-02,65
2008-08-03,65
2008-08-04,65
2008-08-05,65
2008-08-06,65
2008-08-07,65
2008-08-08,66
2008-08-09,66
2008-08-10,66
2008-08-11,66
2008-08-12,66
2008-08-13,66
2008-08-14,67
2008-08-15,67
2008-08-16,67
2008-08-17,67
2008-08-18,67
2008-08-19,67
2008-08-20,68
2008-08-21,68
2008-08-22,68
2008-08-23,68
2008-08-24,68
2008-08-25,68
2008-08-26,69
2008-08-27,69
2008-08-28,69
2008-08-29,69
2008-08-30,69
2008-08-31,69
2008-09-01,70
2008-09-02,69
2008-09-03,69
2008-09-04,68
2008-09-05,68
2008-09-06,67
2008-09-07,67
2008-09-08,66
2008-09-09,66
2008-09-10,65
2008-09-11,65
2008-09-12,64
2008-09-13,64
2008-09-14,63
2008-09-15,63
2008-09-16,63
2008-09-17,62
2008-09-18,62
2008-09-19,61
2008-09-20,61
2008-09-21,60
2008-09-22,60
2008-09-23,59
2008-09-24,59
2008-09-25,58
2008-09-26,58
2008-09-27,57
2008-09-28,57
2008-09-29,56
2008-09-30,56
2008-10-05,57
2008-10-06,69
2008-10-07,58
2008-10-08,58
2008-10-09,59
2008-10-10,59
2008-10-11,59
2008-10-12,60
2008-10-13,62
2008-10-14,63
2008-10-15,63
2008-10-16,64
2008-10-17,66
2008-10-18,69
2008-10-19,62
2008-10-20,63
2008-10-21,63
2008-10-22,64
2008-10-23,64
2008-10-24,64
2008-10-25,65
2008-10-26,65
2008-10-27,66
2008-10-28,66
2008-10-29,66
2008-10-30,67
2008-10-31,67
2008-11-01,68
2008-11-02,68
2008-11-03,69
2008-11-04,70
2008-11-05,71
2008-11-06,72
2008-11-07,73
2008-11-08,74
2008-11-09,75
2008-11-10,76
2008-11-11,77
2008-11-12,78
2008-11-13,79
2008-11-14,80
2008-11-15,81
2008-11-16,82
2008-11-17,83
2008-11-18,84
2008-11-19,85
2008-11-20,86
2008-11-21,87
2008-11-22,88
2008-11-23,89
2008-11-24,90
2008-11-25,91
2008-11-26,92
2008-11-27,93
2008-11-28,94
2008-11-29,95
2008-11-30,96
2008-12-01,97
