Date,JMP Securities
2006-08-01,44
2006-08-02,44
2006-08-03,44
2006-08-04,44
2006-08-05,44
2006-08-06,44
2006-08-07,44
2006-08-08,44
2006-08-09,44
2006-08-10,44
2006-08-11,44
2006-08-12,44
2006-08-13,44
2006-08-14,44
2006-08-15,44
2006-08-16,44
2006-08-17,44
2006-08-18,44
2006-08-19,44
2006-08-20,44
2006-08-21,44
2006-08-22,44
2006-08-23,44
2006-08-24,44
2006-08-25,44
2006-08-26,44
2006-08-27,44
2006-08-28,44
2006-08-29,44
2006-08-30,44
2006-08-31,44
2006-09-01,44
2006-09-02,44
2006-09-03,45
2006-09-04,45
2006-09-05,46
2006-09-06,47
2006-09-07,47
2006-09-08,48
2006-09-09,49
2006-09-10,49
2006-09-11,50
2006-09-12,50
2006-09-13,51
2006-09-14,52
2006-09-15,52
2006-09-16,53
2006-09-17,54
2006-09-18,54
2006-09-19,55
2006-09-20,56
2006-09-21,56
2006-09-22,57
2006-09-23,57
2006-09-24,58
2006-09-25,59
2006-09-26,59
2006-09-27,60
2006-09-28,61
2006-09-29,61
2006-09-30,62
2006-10-01,63
2006-10-02,62
2006-10-03,61
2006-10-04,60
2006-10-05,59
2006-10-06,59
2006-10-07,58
2006-10-08,57
2006-10-09,56
2006-10-10,56
2006-10-11,55
2006-10-12,54
2006-10-13,53
2006-10-14,52
2006-10-15,52
2006-10-16,51
2006-10-17,50
2006-10-18,49
2006-10-19,49
2006-10-20,48
2006-10-21,47
2006-10-22,46
2006-10-23,45
2006-10-24,45
2006-10-25,44
2006-10-26,43
2006-10-27,42
2006-10-28,42
2006-10-29,41
2006-10-30,40
2006-10-31,39
2006-11-01,39
2006-11-02,39
2006-11-03,39
2006-11-04,40
2006-11-05,40
2006-11-06,40
2006-11-07,41
2006-11-08,41
2006-11-09,41
2006-11-10,42
2006-11-11,42
2006-11-12,43
2006-11-13,43
2006-11-14,43
2006-11-15,44
2006-11-16,44
2006-11-17,44
2006-11-18,45
2006-11-19,45
2006-11-20,45
2006-11-21,46
2006-11-22,46
2006-11-23,47
2006-11-24,47
2006-11-25,47
2006-11-26,48
2006-11-27,48
2006-11-28,48
2006-11-29,49
2006-11-30,49
2006-12-01,50
2006-12-02,51
2006-12-03,52
2006-12-04,54
2006-12-05,55
2006-12-06,57
2006-12-07,58
2006-12-08,59
2006-12-09,61
2006-12-10,62
2006-12-11,64
2006-12-12,65
2006-12-13,67
2006-12-14,68
2006-12-15,69
2006-12-16,71
2006-12-17,72
2006-12-18,74
2006-12-19,75
2006-12-20,76
2006-12-21,78
2006-12-22,79
2006-12-23,81
2006-12-24,82
2006-12-25,84
2006-12-26,85
2006-12-27,86
2006-12-28,88
2006-12-29,89
2006-12-30,91
2006-12-31,92
2007-01-01,94
2007-01-02,94
2007-01-03,94
2007-01-04,94
2007-01-05,94
2007-01-06,94
2007-01-07,95
2007-01-08,95
2007-01-09,95
2007-01-10,95
2007-01-11,95
2007-01-12,96
2007-01-13,96
2007-01-14,96
2007-01-15,96
2007-01-16,96
2007-01-17,97
2007-01-18,97
2007-01-19,97
2007-01-20,97
2007-01-21,97
2007-01-22,98
2007-01-23,98
2007-01-24,98
2007-01-25,98
2007-01-26,98
2007-01-27,99
2007-01-28,99
2007-01-29,99
2007-01-30,99
2007-01-31,99
2007-02-01,100
2007-02-02,98
2007-02-03,96
2007-02-04,94
2007-02-05,93
2007-02-06,91
2007-02-07,89
2007-02-08,88
2007-02-09,86
2007-02-10,84
2007-02-11,83
2007-02-12,81
2007-02-13,79
2007-02-14,78
2007-02-15,76
2007-02-16,74
2007-02-17,73
2007-02-18,71
2007-02-19,69
2007-02-20,68
2007-02-21,66
2007-02-22,64
2007-02-23,63
2007-02-24,61
2007-02-25,59
2007-02-26,58
2007-02-27,56
