Date,Panmure Gordon
2007-08-01,84
2007-08-02,84
2007-08-03,85
2007-08-04,85
2007-08-05,86
2007-08-06,86
2007-08-07,87
2007-08-08,87
2007-08-09,88
2007-08-10,88
2007-08-11,89
2007-08-12,89
2007-08-13,90
2007-08-14,90
2007-08-15,91
2007-08-16,91
2007-08-17,92
2007-08-18,92
2007-08-19,93
2007-08-20,93
2007-08-21,94
2007-08-22,94
2007-08-23,95
2007-08-24,95
2007-08-25,96
2007-08-26,96
2007-08-27,97
2007-08-28,97
2007-08-29,98
2007-08-30,98
2007-08-31,99
2007-09-01,100
2007-09-02,99
2007-09-03,98
2007-09-04,97
2007-09-05,96
2007-09-06,95
2007-09-07,94
2007-09-08,93
2007-09-09,92
2007-09-10,91
2007-09-11,91
2007-09-12,90
2007-09-13,89
2007-09-14,88
2007-09-15,87
2007-09-16,86
2007-09-17,85
2007-09-18,84
2007-09-19,83
2007-09-20,82
2007-09-21,82
2007-09-22,81
2007-09-23,80
2007-09-24,79
2007-09-25,78
2007-09-26,77
2007-09-27,76
2007-09-28,75
2007-09-29,74
2007-09-30,73
2007-10-01,73
2007-10-02,72
2007-10-03,72
2007-10-04,72
2007-10-05,72
2007-10-06,71
2007-10-07,71
2007-10-08,71
2007-10-09,71
2007-10-10,70
2007-10-11,70
2007-10-12,70
2007-10-13,70
2007-10-14,70
2007-10-15,69
2007-10-16,69
2007-10-17,69
2007-10-18,69
2007-10-19,68
2007-10-20,68
2007-10-21,68
2007-10-22,68
2007-10-23,68
2007-10-24,67
2007-10-25,67
2007-10-26,67
2007-10-27,67
2007-10-28,66
2007-10-29,66
2007-10-30,66
2007-10-31,66
2007-11-01,66
2007-11-02,65
2007-11-03,65
2007-11-04,65
2007-11-05,65
2007-11-06,65
2007-11-07,65
2007-11-08,65
2007-11-09,65
2007-11-10,65
2007-11-11,65
2007-11-12,65
2007-11-13,65
2007-11-14,65
2007-11-15,65
2007-11-16,65
2007-11-17,64
2007-11-18,64
2007-11-19,64
2007-11-20,64
2007-11-21,64
2007-11-22,64
2007-11-23,64
2007-11-24,64
2007-11-25,64
2007-11-26,64
2007-11-27,64
2007-11-28,64
2007-11-29,64
2007-11-30,64
2007-12-01,64
2007-12-02,64
2007-12-03,64
2007-12-04,65
2007-12-05,65
2007-12-06,66
2007-12-07,66
2007-12-08,66
2007-12-09,67
2007-12-10,67
2007-12-11,68
2007-12-12,68
2007-12-13,69
2007-12-14,69
2007-12-15,69
2007-12-16,70
2007-12-17,70
2007-12-18,71
2007-12-19,71
2007-12-20,71
2007-12-21,72
2007-12-22,72
2007-12-23,73
2007-12-24,73
2007-12-25,74
2007-12-26,74
2007-12-27,74
2007-12-28,75
2007-12-29,75
2007-12-30,76
2007-12-31,76
2008-01-01,77
2008-01-02,77
2008-01-03,77
2008-01-04,77
2008-01-05,77
2008-01-06,77
2008-01-07,77
2008-01-08,77
2008-01-09,77
2008-01-10,77
2008-01-11,77
2008-01-12,78
2008-01-13,78
2008-01-14,78
2008-01-15,78
2008-01-16,78
2008-01-17,78
2008-01-18,78
2008-01-19,78
2008-01-20,78
2008-01-21,78
2008-01-22,79
2008-01-23,79
2008-01-24,79
2008-01-25,79
2008-01-26,79
2008-01-27,79
2008-01-28,79
2008-01-29,79
2008-01-30,79
2008-01-31,79
2008-02-01,80
2008-02-02,79
2008-02-03,79
2008-02-04,79
2008-02-05,79
2008-02-06,78
2008-02-07,78
2008-02-08,78
2008-02-09,78
2008-02-10,78
2008-02-11,77
2008-02-12,77
2008-02-13,77
2008-02-14,77
2008-02-15,77
2008-02-16,76
2008-02-17,76
2008-02-18,76
2008-02-19,76
2008-02-20,76
2008-02-21,75
2008-02-22,75
2008-02-23,75
2008-02-24,75
2008-02-25,75
2008-02-26,74
2008-02-27,74
2008-02-28,74
2008-02-29,74
2008-03-01,74
2008-03-02,73
2008-03-03,72
2008-03-04,72
2008-03-05,71
2008-03-06,70
2008-03-07,70
2008-03-08,69
2008-03-09,68
2008-03-10,68
2008-03-11,67
2008-03-12,66
2008-03-13,66
2008-03-14,65
2008-03-15,64
2008-03-16,64
2008-03-17,63
2008-03-18,63
2008-03-19,62
2008-03-20,61
2008-03-21,61
2008-03-22,60
2008-03-23,59
2008-03-24,59
2008-03-25,58
2008-03-26,57
2008-03-27,57
2008-03-28,56
2008-03-29,55
2008-03-30,55
2008-03-31,54
2008-04-01,54
2008-04-02,54
2008-04-03,54
2008-04-04,54
2008-04-05,54
2008-04-06,54
2008-04-07,54
2008-04-08,54
2008-04-09,54
2008-04-10,54
2008-04-11,54
2008-04-12,54
2008-04-13,54
2008-04-14,54
2008-04-15,54
2008-04-16,55
2008-04-17,55
2008-04-18,55
2008-04-19,55
2008-04-20,55
2008-04-21,55
2008-04-22,55
2008-04-23,55
2008-04-24,55
2008-04-25,55
2008-04-26,55
2008-04-27,55
2008-04-28,55
2008-04-29,55
2008-04-30,55
2008-05-01,56
2008-05-02,56
2008-05-03,57
2008-05-04,58
2008-05-05,59
2008-05-06,60
2008-05-07,61
2008-05-08,61
2008-05-09,62
2008-05-10,63
2008-05-11,64
2008-05-12,65
2008-05-13,66
2008-05-14,66
2008-05-15,67
2008-05-16,68
2008-05-17,69
2008-05-18,70
2008-05-19,71
2008-05-20,71
2008-05-21,72
2008-05-22,73
2008-05-23,74
2008-05-24,75
2008-05-25,76
2008-05-26,76
2008-05-27,77
2008-05-28,78
2008-05-29,79
2008-05-30,80
2008-05-31,81
2008-06-01,82
2008-06-02,81
2008-06-03,81
2008-06-04,80
2008-06-05,80
2008-06-06,80
2008-06-07,79
2008-06-08,79
2008-06-09,78
2008-06-10,78
2008-06-11,78
2008-06-12,77
2008-06-13,77
2008-06-14,76
2008-06-15,76
2008-06-16,76
2008-06-17,75
2008-06-18,75
2008-06-19,74
2008-06-20,74
2008-06-21,74
2008-06-22,73
2008-06-23,73
2008-06-24,72
2008-06-25,72
2008-06-26,72
2008-06-27,71
2008-06-28,71
2008-06-29,70
2008-06-30,70
2008-07-01,70
2008-07-02,69
2008-07-03,69
2008-07-04,69
2008-07-05,68
2008-07-06,68
2008-07-07,68
2008-07-08,67
2008-07-09,67
2008-07-10,67
2008-07-11,67
2008-07-12,66
2008-07-13,66
2008-07-14,66
2008-07-15,65
2008-07-16,65
2008-07-17,65
2008-07-18,65
2008-07-19,64
2008-07-20,64
2008-07-21,64
2008-07-22,63
2008-07-23,63
2008-07-24,63
2008-07-25,63
2008-07-26,62
2008-07-27,62
2008-07-28,62
2008-07-29,61
2008-07-30,61
2008-07-31,61
2008-08-01,61
2008-08-02,62
2008-08-03,63
2008-08-04,64
2008-08-05,65
2008-08-06,66
2008-08-07,67
2008-08-08,68
2008-08-09,70
2008-08-10,71
2008-08-11,72
2008-08-12,73
2008-08-13,74
2008-08-14,75
2008-08-15,76
2008-08-16,77
2008-08-17,79
2008-08-18,80
2008-08-19,81
2008-08-20,82
2008-08-21,83
2008-08-22,84
2008-08-23,85
2008-08-24,86
2008-08-25,88
2008-08-26,89
2008-08-27,90
2008-08-28,91
2008-08-29,92
2008-08-30,93
2008-08-31,94
2008-09-01,96
2008-09-02,94
2008-09-03,93
2008-09-04,91
2008-09-05,90
2008-09-06,89
2008-09-07,87
2008-09-08,86
2008-09-09,84
2008-09-10,83
2008-09-11,82
2008-09-12,80
2008-09-13,79
2008-09-14,77
2008-09-15,76
2008-09-16,75
2008-09-17,73
2008-09-18,72
2008-09-19,70
2008-09-20,69
2008-09-21,68
2008-09-22,66
2008-09-23,65
2008-09-24,63
2008-09-25,62
2008-09-26,61
2008-09-27,59
2008-09-28,58
2008-09-29,56
2008-09-30,55
2008-10-01,54
2008-10-02,54
2008-10-03,54
2008-10-04,55
2008-10-05,55
2008-10-06,56
2008-10-07,56
2008-10-08,57
2008-10-09,57
2008-10-10,58
2008-10-11,58
2008-10-12,58
2008-10-13,59
2008-10-14,59
2008-10-15,60
2008-10-16,60
2008-10-17,61
2008-10-18,61
2008-10-19,62
2008-10-20,62
2008-10-21,63
2008-10-22,63
2008-10-23,63
2008-10-24,64
2008-10-25,64
2008-10-26,65
2008-10-27,65
2008-10-28,66
2008-10-29,66
2008-10-30,67
2008-10-31,67
2008-11-01,68
2008-11-02,67
2008-11-03,66
2008-11-04,65
2008-11-05,64
2008-11-06,63
2008-11-07,62
2008-11-08,61
2008-11-09,60
2008-11-10,59
2008-11-11,58
2008-11-12,57
2008-11-13,56
2008-11-14,55
2008-11-15,54
2008-11-16,53
2008-11-17,52
2008-11-18,51
2008-11-19,50
2008-11-20,49
2008-11-21,48
2008-11-22,47
2008-11-23,46
2008-11-24,45
2008-11-25,44
2008-11-26,43
2008-11-27,42
2008-11-28,41
2008-11-29,40
2008-11-30,39
