Date,Morgan Keegan
2008-02-01,45
2008-02-02,48
2008-02-03,45
2008-02-04,43
2008-02-05,42
2008-02-06,40
2008-02-07,39
2008-02-08,37
2008-02-09,36
2008-02-10,36
2008-02-11,37
2008-02-12,38
2008-02-13,41
2008-02-14,39
2008-02-15,42
2008-02-16,41
2008-02-17,42
2008-02-18,43
2008-02-19,44
2008-02-20,45
2008-02-21,46
2008-02-22,49
2008-02-23,49
2008-02-24,56
2008-02-25,63
2008-02-26,70
2008-02-27,78
2008-02-28,95
2008-02-29,92
2008-03-01,115
2008-03-02,92
2008-03-03,84
2008-03-04,76
2008-03-05,69
2008-03-06,62
2008-03-07,53
2008-03-08,46
2008-03-09,45
2008-03-10,45
2008-03-11,45
2008-03-12,45
2008-03-13,45
2008-03-14,46
2008-03-15,45
2008-03-16,44
2008-03-17,43
2008-03-18,42
2008-03-19,42
2008-03-20,41
2008-03-21,40
2008-03-22,40
2008-03-23,40
2008-03-24,40
2008-03-25,40
2008-03-26,42
2008-03-27,40
2008-03-28,41
2008-03-29,40
2008-03-30,39
2008-03-31,39
2008-04-01,39
2008-04-02,41
2008-04-03,38
2008-04-04,38
2008-04-05,38
2008-04-06,40
2008-04-07,42
2008-04-08,44
2008-04-09,52
2008-04-10,49
2008-04-11,54
2008-04-12,54
2008-04-13,50
2008-04-14,47
2008-04-15,44
2008-04-16,41
2008-04-17,38
2008-04-18,35
2008-04-19,32
2008-04-20,30
2008-04-21,29
2008-04-22,28
2008-04-23,26
2008-04-24,25
2008-04-25,24
2008-04-26,23
2008-04-27,26
2008-04-28,29
2008-04-29,32
2008-04-30,35
2008-05-01,38
2008-05-02,41
2008-05-03,44
2008-05-04,43
2008-05-05,42
2008-05-06,41
2008-05-07,42
2008-05-08,40
2008-05-09,39
2008-05-10,39
2008-05-11,38
2008-05-12,37
2008-05-13,36
2008-05-14,37
2008-05-15,34
2008-05-16,33
2008-05-17,33
2008-05-18,33
2008-05-19,34
2008-05-20,36
2008-05-21,35
2008-05-22,35
2008-05-23,36
2008-05-24,37
2008-05-25,35
2008-05-26,34
2008-05-27,32
2008-05-28,31
2008-05-29,29
2008-05-30,28
2008-05-31,27
2008-06-01,28
2008-06-02,29
2008-06-03,30
2008-06-04,32
2008-06-05,33
2008-06-06,35
2008-06-07,36
2008-06-08,36
2008-06-09,37
2008-06-10,37
2008-06-11,39
2008-06-12,38
2008-06-13,41
2008-06-14,40
2008-06-15,39
2008-06-16,38
2008-06-17,38
2008-06-18,37
2008-06-19,37
2008-06-20,36
2008-06-21,36
2008-06-22,34
2008-06-23,32
2008-06-24,31
2008-06-25,29
2008-06-26,28
2008-06-27,26
2008-06-28,25
2008-06-29,24
2008-06-30,23
2008-07-01,22
2008-07-02,21
2008-07-03,20
2008-07-04,19
2008-07-05,18
2008-07-06,20
2008-07-07,23
2008-07-08,26
2008-07-09,29
2008-07-10,31
2008-07-11,34
2008-07-12,37
2008-07-13,36
2008-07-14,36
2008-07-15,36
2008-07-16,35
2008-07-17,34
2008-07-18,36
2008-07-19,34
