Date,SG Cowen
2007-10-14,40
2007-10-15,43
2007-10-16,46
2007-10-17,49
2007-10-18,52
2007-10-19,55
2007-10-20,58
2007-10-21,57
2007-10-22,56
2007-10-23,56
2007-10-24,55
2007-10-25,55
2007-10-26,54
2007-10-27,54
2007-10-28,52
2007-10-29,51
2007-10-30,50
2007-10-31,49
2007-11-01,48
2007-11-02,47
2007-11-03,46
2007-11-04,46
2007-11-05,47
2007-11-06,47
2007-11-07,47
2007-11-08,48
2007-11-09,48
2007-11-10,49
2007-11-11,48
2007-11-12,47
2007-11-13,46
2007-11-14,45
2007-11-15,44
2007-11-16,44
2007-11-17,43
2007-11-18,41
2007-11-19,40
2007-11-20,39
2007-11-21,37
2007-11-22,36
2007-11-23,35
2007-11-24,34
2007-11-25,35
2007-11-26,36
2007-11-27,37
2007-11-28,39
2007-11-29,40
2007-11-30,41
2007-12-01,43
2007-12-02,43
2007-12-03,44
2007-12-04,44
2007-12-05,45
2007-12-06,45
2007-12-07,46
2007-12-08,47
2007-12-09,49
2007-12-10,52
2007-12-11,54
2007-12-12,56
2007-12-13,59
2007-12-14,61
2007-12-15,63
2007-12-16,60
2007-12-17,55
2007-12-18,51
2007-12-19,48
2007-12-20,44
2007-12-21,40
2007-12-22,36
2007-12-23,35
2007-12-24,34
2007-12-25,33
2007-12-26,32
2007-12-27,31
2007-12-28,30
2007-12-29,30
2007-12-30,32
2008-01-06,49
2008-01-07,48
2008-01-08,47
2008-01-09,46
2008-01-10,45
2008-01-11,44
2008-01-12,43
2008-01-13,45
2008-01-14,47
2008-01-15,49
2008-01-16,51
2008-01-17,53
2008-01-18,55
2008-01-19,57
2008-01-20,55
2008-01-21,51
2008-01-22,49
2008-01-23,46
2008-01-24,44
2008-01-25,41
2008-01-26,39
2008-01-27,39
2008-01-28,39
2008-01-29,39
2008-01-30,40
2008-01-31,40
2008-02-01,40
2008-02-02,41
2008-02-03,42
2008-02-04,44
2008-02-05,46
2008-02-06,48
2008-02-07,50
2008-02-08,51
2008-02-09,53
2008-02-10,50
2008-02-11,47
2008-02-12,44
2008-02-13,41
2008-02-14,38
2008-02-15,36
2008-02-16,33
2008-02-17,35
2008-02-18,37
2008-02-19,39
2008-02-20,41
2008-02-21,43
2008-02-22,45
2008-02-23,48
2008-02-24,51
2008-02-25,54
2008-02-26,57
2008-02-27,61
2008-02-28,64
2008-02-29,67
2008-03-01,70
2008-03-02,68
2008-03-03,65
2008-03-04,63
2008-03-05,60
2008-03-06,58
2008-03-07,55
2008-03-08,53
2008-03-09,52
2008-03-10,51
2008-03-11,50
2008-03-12,49
2008-03-13,48
2008-03-14,47
2008-03-15,46
2008-03-16,49
2008-03-17,53
2008-03-18,57
2008-03-19,60
2008-03-20,64
2008-03-21,68
2008-03-22,71
2008-03-23,68
2008-03-24,63
2008-03-25,60
2008-03-26,56
2008-03-27,52
2008-03-28,48
2008-03-29,45
2008-03-30,44
2008-04-06,43
2008-04-07,45
2008-04-08,46
2008-04-09,48
2008-04-10,49
2008-04-11,51
2008-04-12,53
2008-04-13,50
2008-04-14,48
2008-04-15,46
2008-04-16,44
2008-04-17,42
2008-04-18,40
2008-04-19,38
2008-04-20,37
2008-04-21,36
2008-04-22,35
2008-04-23,35
2008-04-24,34
2008-04-25,33
2008-04-26,33
2008-04-27,34
2008-04-28,36
2008-04-29,38
2008-04-30,39
2008-05-01,41
2008-05-02,43
2008-05-03,45
2008-05-04,44
2008-05-05,44
2008-05-06,43
2008-05-07,43
2008-05-08,42
2008-05-09,42
2008-05-10,42
2008-05-11,40
2008-05-12,38
2008-05-13,36
2008-05-14,34
2008-05-15,32
2008-05-16,30
2008-05-17,29
2008-05-18,32
2008-05-19,36
2008-05-20,40
2008-05-21,44
2008-05-22,48
2008-05-23,52
2008-05-24,56
2008-05-25,53
2008-05-26,50
2008-05-27,47
2008-05-28,45
2008-05-29,42
2008-05-30,39
2008-05-31,37
2008-06-01,37
2008-06-02,38
2008-06-03,39
2008-06-04,40
2008-06-05,41
2008-06-06,41
2008-06-07,42
2008-06-08,43
2008-06-09,43
2008-06-10,43
2008-06-11,44
2008-06-12,44
2008-06-13,45
2008-06-14,46
2008-06-15,45
2008-06-16,44
2008-06-17,44
2008-06-18,43
2008-06-19,43
2008-06-20,42
2008-06-21,42
2008-06-22,41
2008-06-23,41
2008-06-24,41
2008-06-25,41
2008-06-26,41
2008-06-27,41
2008-06-28,41
2008-06-29,41
2008-07-06,45
2008-07-07,46
2008-07-08,47
2008-07-09,48
2008-07-10,49
2008-07-11,49
2008-07-12,50
2008-07-13,48
2008-07-14,46
2008-07-15,44
2008-07-16,43
2008-07-17,41
2008-07-18,39
2008-07-19,38
2008-07-20,39
2008-07-21,40
2008-07-22,42
2008-07-23,43
2008-07-24,45
2008-07-25,46
2008-07-26,48
2008-07-27,45
2008-07-28,43
2008-07-29,40
2008-07-30,38
2008-07-31,35
2008-08-01,33
2008-08-02,30
2008-08-03,30
2008-08-04,28
2008-08-05,28
2008-08-06,27
2008-08-07,27
2008-08-08,26
2008-08-09,26
2008-08-10,28
2008-08-11,31
2008-08-12,34
2008-08-13,36
2008-08-14,39
2008-08-15,42
2008-08-16,45
2008-08-17,43
2008-08-18,41
2008-08-19,39
2008-08-20,37
2008-08-21,35
2008-08-22,33
2008-08-23,32
2008-08-24,32
2008-08-25,33
2008-08-26,34
2008-08-27,34
2008-08-28,35
2008-08-29,36
2008-08-30,37
2008-08-31,35
2008-09-01,33
2008-09-02,31
2008-09-03,30
2008-09-04,28
2008-09-05,26
2008-09-06,25
2008-09-07,28
2008-09-08,31
2008-09-09,34
2008-09-10,38
2008-09-11,41
2008-09-12,44
2008-09-13,48
2008-09-14,47
2008-09-15,48
2008-09-16,47
2008-09-17,47
2008-09-18,47
2008-09-19,47
2008-09-20,47
2008-09-21,46
2008-09-22,44
2008-09-23,43
2008-09-24,41
2008-09-25,40
2008-09-26,39
2008-09-27,38
2008-09-28,38
