Date,WR Hambrecht + Co
2008-02-01,74
2008-02-02,74
2008-02-03,75
2008-02-04,76
2008-02-05,77
2008-02-06,78
2008-02-07,79
2008-02-08,80
2008-02-09,81
2008-02-10,82
2008-02-11,82
2008-02-12,83
2008-02-13,84
2008-02-14,85
2008-02-15,86
2008-02-16,87
2008-02-17,88
2008-02-18,89
2008-02-19,90
2008-02-20,91
2008-02-21,91
2008-02-22,92
2008-02-23,93
2008-02-24,94
2008-02-25,95
2008-02-26,96
2008-02-27,97
2008-02-28,98
2008-02-29,99
2008-03-01,100
2008-03-02,98
2008-03-03,96
2008-03-04,95
2008-03-05,93
2008-03-06,92
2008-03-07,90
2008-03-08,89
2008-03-09,87
2008-03-10,86
2008-03-11,84
2008-03-12,82
2008-03-13,81
2008-03-14,79
2008-03-15,78
2008-03-16,76
2008-03-17,75
2008-03-18,73
2008-03-19,72
2008-03-20,70
2008-03-21,69
2008-03-22,67
2008-03-23,65
2008-03-24,64
2008-03-25,62
2008-03-26,61
2008-03-27,59
2008-03-28,58
2008-03-29,56
2008-03-30,55
2008-03-31,53
2008-04-01,52
2008-04-02,52
2008-04-03,52
2008-04-04,52
2008-04-05,53
2008-04-06,53
2008-04-07,53
2008-04-08,53
2008-04-09,54
2008-04-10,54
2008-04-11,54
2008-04-12,54
2008-04-13,55
2008-04-14,55
2008-04-15,55
2008-04-16,56
2008-04-17,56
2008-04-18,56
2008-04-19,56
2008-04-20,57
2008-04-21,57
2008-04-22,57
2008-04-23,57
2008-04-24,58
2008-04-25,58
2008-04-26,58
2008-04-27,58
2008-04-28,59
2008-04-29,59
2008-04-30,59
2008-05-01,60
2008-05-02,60
2008-05-03,60
2008-05-04,60
2008-05-05,61
2008-05-06,61
2008-05-07,61
2008-05-08,61
2008-05-09,62
2008-05-10,62
2008-05-11,62
2008-05-12,62
2008-05-13,63
2008-05-14,63
2008-05-15,63
2008-05-16,63
2008-05-17,64
2008-05-18,64
2008-05-19,64
2008-05-20,64
2008-05-21,65
2008-05-22,65
2008-05-23,65
2008-05-24,65
2008-05-25,66
2008-05-26,66
2008-05-27,66
2008-05-28,66
2008-05-29,67
2008-05-30,67
2008-05-31,67
2008-06-01,68
2008-06-02,68
2008-06-03,68
2008-06-04,68
2008-06-05,68
2008-06-06,69
2008-06-07,69
2008-06-08,69
2008-06-09,69
2008-06-10,70
2008-06-11,70
2008-06-12,70
2008-06-13,70
2008-06-14,71
2008-06-15,71
2008-06-16,71
2008-06-17,71
2008-06-18,71
2008-06-19,72
2008-06-20,72
2008-06-21,72
2008-06-22,72
2008-06-23,73
2008-06-24,73
2008-06-25,73
2008-06-26,73
2008-06-27,74
2008-06-28,74
2008-06-29,74
2008-06-30,74
2008-07-01,75
2008-07-02,75
2008-07-03,75
2008-07-04,75
2008-07-05,76
2008-07-06,76
2008-07-07,76
2008-07-08,76
2008-07-09,77
2008-07-10,77
2008-07-11,77
2008-07-12,77
2008-07-13,78
2008-07-14,78
2008-07-15,78
2008-07-16,78
2008-07-17,79
2008-07-18,79
2008-07-19,79
2008-07-20,79
2008-07-21,80
2008-07-22,80
2008-07-23,80
2008-07-24,80
2008-07-25,81
2008-07-26,81
2008-07-27,81
2008-07-28,81
2008-07-29,82
2008-07-30,82
2008-07-31,82
2008-08-01,83
2008-08-02,82
2008-08-03,81
2008-08-04,80
2008-08-05,79
2008-08-06,78
2008-08-07,77
2008-08-08,77
2008-08-09,76
2008-08-10,75
2008-08-11,74
2008-08-12,73
2008-08-13,72
2008-08-14,72
2008-08-15,71
2008-08-16,70
2008-08-17,69
2008-08-18,68
2008-08-19,67
2008-08-20,67
2008-08-21,66
2008-08-22,65
2008-08-23,64
2008-08-24,63
2008-08-25,62
2008-08-26,62
2008-08-27,61
2008-08-28,60
2008-08-29,59
2008-08-30,58
2008-08-31,57
2008-09-01,57
2008-09-02,56
