Date,Citibank
2010-08-01,74
2010-08-02,78
2010-08-03,82
2010-08-04,92
2010-08-05,89
2010-08-06,94
2010-08-07,97
2010-08-08,99
2010-08-09,97
2010-08-10,100
2010-08-11,97
2010-08-12,102
2010-08-13,103
2010-08-14,98
2010-08-15,96
2010-08-16,94
2010-08-17,96
2010-08-18,90
2010-08-19,95
2010-08-20,86
2010-08-21,84
2010-08-22,91
2010-08-23,85
2010-08-24,86
2010-08-25,86
2010-08-26,92
2010-08-27,88
2010-08-28,91
2010-08-29,93
2010-08-30,91
2010-08-31,95
2010-09-01,93
2010-09-02,94
2010-09-03,97
2010-09-04,103
2010-09-05,93
2010-09-06,89
2010-09-07,91
2010-09-08,82
2010-09-09,81
2010-09-10,75
2010-09-11,71
2010-09-12,70
2010-09-13,69
2010-09-14,69
2010-09-15,68
2010-09-16,74
2010-09-17,67
2010-09-18,71
2010-09-19,70
2010-09-20,70
2010-09-21,72
2010-09-22,73
2010-09-23,77
2010-09-24,77
2010-09-25,80
2010-09-26,84
2010-09-27,79
2010-09-28,86
2010-09-29,79
2010-09-30,79
2010-10-01,84
2010-10-02,82
2010-10-03,81
2010-10-04,83
2010-10-05,85
2010-10-06,100
2010-10-07,89
2010-10-08,97
2010-10-09,97
2010-10-10,90
2010-10-11,88
2010-10-12,87
2010-10-13,83
2010-10-14,80
2010-10-15,85
2010-10-16,76
2010-10-17,78
2010-10-18,77
2010-10-19,81
2010-10-20,78
2010-10-21,85
2010-10-22,79
2010-10-23,85
2010-10-24,80
2010-10-25,80
2010-10-26,80
2010-10-27,84
2010-10-28,80
2010-10-29,80
2010-10-30,83
2010-10-31,80
2010-11-01,79
2010-11-02,80
2010-11-03,78
2010-11-04,85
2010-11-05,80
2010-11-06,76
2010-11-07,76
2010-11-08,81
2010-11-09,77
2010-11-10,79
2010-11-11,78
2010-11-12,87
2010-11-13,79
2010-11-14,79
2010-11-15,79
2010-11-16,79
2010-11-17,87
2010-11-18,79
2010-11-19,79
2010-11-20,87
2010-11-21,80
2010-11-22,80
2010-11-23,81
2010-11-24,85
2010-11-25,80
2010-11-26,82
2010-11-27,87
2010-11-28,82
2010-11-29,83
2010-11-30,84
2010-12-01,85
2010-12-02,91
2010-12-03,94
2010-12-04,89
2010-12-05,88
2010-12-06,85
2010-12-07,84
2010-12-08,82
2010-12-09,81
2010-12-10,82
2010-12-11,78
2010-12-12,77
2010-12-13,77
2010-12-14,82
2010-12-15,76
2010-12-16,75
2010-12-17,79
2010-12-18,75
2010-12-19,76
2010-12-20,78
2010-12-21,79
2010-12-22,84
2010-12-23,82
2010-12-24,86
2010-12-25,92
2010-12-26,87
2010-12-27,89
2010-12-28,91
2010-12-29,93
2010-12-30,98
2010-12-31,98
2011-01-01,101
2011-01-02,95
2011-01-03,92
2011-01-04,89
2011-01-05,87
2011-01-06,95
2011-01-07,81
2011-01-08,80
2011-01-09,79
2011-01-10,79
2011-01-11,85
2011-01-12,80
2011-01-13,81
2011-01-14,87
2011-01-15,82
2011-01-16,80
2011-01-17,78
2011-01-18,77
2011-01-19,75
2011-01-20,74
2011-01-21,72
2011-01-22,71
2011-01-23,71
2011-01-24,72
2011-01-25,75
2011-01-26,73
2011-01-27,78
2011-01-28,74
2011-01-29,79
2011-01-30,72
2011-01-31,70
2011-02-01,68
2011-02-02,73
2011-02-03,64
2011-02-04,62
2011-02-05,60
2011-02-06,63
2011-02-07,66
2011-02-08,69
2011-02-09,72
2011-02-10,78
2011-02-11,85
2011-02-12,82
2011-02-13,78
2011-02-14,78
2011-02-15,70
2011-02-16,67
2011-02-17,64
2011-02-18,59
2011-02-19,62
2011-02-20,59
2011-02-21,62
2011-02-22,70
2011-02-23,71
2011-02-24,76
2011-02-25,76
2011-02-26,80
2011-02-27,80
2011-02-28,78
2011-03-01,78
2011-03-02,81
2011-03-03,77
2011-03-04,81
2011-03-05,76
2011-03-06,78
2011-03-07,79
2011-03-08,78
2011-03-09,82
2011-03-10,79
2011-03-11,84
2011-03-12,82
2011-03-13,81
2011-03-14,80
2011-03-15,81
2011-03-16,81
2011-03-17,78
2011-03-18,78
2011-03-19,88
2011-03-20,77
2011-03-21,76
2011-03-22,78
2011-03-23,75
2011-03-24,75
2011-03-25,80
2011-03-26,74
2011-03-27,75
2011-03-28,76
2011-03-29,79
2011-03-30,79
2011-03-31,82
2011-05-01,86
2011-05-02,87
2011-05-03,82
2011-05-04,84
2011-05-05,78
2011-05-06,76
2011-05-07,83
2011-05-08,76
2011-05-09,77
2011-05-10,78
2011-05-11,86
2011-05-12,81
2011-05-13,83
2011-05-14,91
2011-05-15,83
2011-05-16,82
2011-05-17,83
2011-05-18,79
2011-05-19,77
2011-05-20,82
2011-05-21,75
2011-05-22,80
2011-05-23,79
2011-05-24,81
2011-05-25,84
2011-05-26,87
2011-05-27,87
2011-05-28,90
2011-05-29,96
2011-05-30,87
2011-05-31,99
2011-06-01,85
2011-06-02,84
2011-06-03,83
2011-06-04,88
2011-06-05,81
2011-06-06,81
2011-06-07,79
2011-06-08,78
2011-06-09,78
2011-06-10,76
2011-06-11,80
2011-06-12,76
2011-06-13,77
2011-06-14,78
2011-06-15,79
2011-06-16,82
2011-06-17,82
2011-06-18,84
2011-06-19,84
2011-06-20,83
2011-06-21,85
2011-06-22,92
2011-06-23,85
2011-06-24,87
2011-06-25,93
2011-06-26,87
2011-06-27,87
2011-06-28,87
2011-06-29,87
2011-06-30,87
2011-07-01,89
2011-07-02,92
2011-07-03,86
2011-07-04,86
2011-07-05,90
2011-07-06,85
2011-07-07,92
2011-07-08,85
2011-07-09,88
2011-07-10,81
2011-07-11,77
2011-07-12,73
2011-07-13,70
2011-07-14,66
2011-07-15,65
2011-07-16,59
2011-07-17,62
2011-07-18,66
2011-07-19,71
2011-07-20,73
2011-07-21,81
2011-07-22,81
2011-07-23,93
2011-07-24,91
2011-07-25,87
2011-07-26,90
2011-07-27,92
2011-07-28,91
