Date,Deutsche Bank
2011-05-20,80
2011-05-21,85
2011-05-22,79
2011-05-23,80
2011-05-24,80
2011-05-25,81
2011-05-26,81
2011-05-27,82
2011-05-28,90
2011-05-29,83
2011-05-30,83
2011-05-31,83
2011-06-01,86
2011-06-02,91
2011-06-03,84
2011-06-04,91
2011-06-05,84
2011-06-06,83
2011-06-07,84
2011-06-08,83
2011-06-09,81
2011-06-10,81
2011-06-11,87
2011-06-12,82
2011-06-13,79
2011-06-14,78
2011-06-15,78
2011-06-16,78
2011-06-17,78
2011-06-18,83
2011-06-19,77
2011-06-20,77
2011-06-21,77
2011-06-22,77
2011-06-23,79
2011-06-24,77
2011-06-25,83
2011-06-26,79
2011-06-27,81
2011-06-28,85
2011-06-29,86
2011-06-30,89
2011-07-01,94
2011-07-02,100
2011-07-03,94
2011-07-04,92
2011-07-05,92
2011-07-06,91
2011-07-07,90
2011-07-08,90
2011-07-09,96
2011-07-10,87
2011-07-11,87
2011-07-12,88
2011-07-13,86
2011-07-14,85
2011-07-15,85
2011-07-16,93
2011-07-17,84
2011-07-18,84
2011-07-19,86
2011-07-20,84
2011-07-21,83
2011-07-22,84
2011-07-23,90
2011-07-24,84
2011-07-25,85
2011-07-26,86
2011-07-27,87
2011-07-28,88
2011-07-29,89
2011-07-30,99
2011-07-31,90
2011-08-01,90
2011-08-02,91
2011-08-03,90
2011-08-04,88
2011-08-05,89
2011-08-06,96
2011-08-07,87
2011-08-08,87
2011-08-09,87
2011-08-10,88
2011-08-11,87
2011-08-12,88
2011-08-13,94
2011-08-14,85
2011-08-15,84
2011-08-16,83
2011-08-17,83
2011-08-18,80
2011-08-19,80
2011-08-20,85
2011-08-21,78
2011-08-22,78
2011-08-23,80
2011-08-24,78
2011-08-25,78
2011-08-26,79
2011-08-27,85
2011-08-28,81
2011-08-29,83
2011-08-30,85
2011-08-31,87
2011-09-01,89
2011-09-02,92
2011-09-03,101
2011-09-04,92
2011-09-05,91
2011-09-06,92
2011-09-07,91
2011-09-08,89
2011-09-09,88
2011-09-10,94
2011-09-11,86
2011-09-12,86
2011-09-13,87
2011-09-14,85
2011-09-15,84
2011-09-16,85
2011-09-17,91
2011-09-18,83
2011-09-19,83
2011-09-20,84
2011-09-21,82
2011-09-22,81
2011-09-23,83
2011-09-24,88
2011-09-25,81
2011-09-26,82
2011-09-27,82
2011-09-28,83
2011-09-29,83
2011-09-30,85
2011-10-01,93
2011-10-02,87
2011-10-03,86
2011-10-04,86
2011-10-05,89
2011-10-06,88
2011-10-07,88
2011-10-08,96
2011-10-09,88
2011-10-10,87
2011-10-11,87
2011-10-12,85
2011-10-13,84
2011-10-14,84
2011-10-15,88
2011-10-16,81
2011-10-17,81
2011-10-18,82
2011-10-19,81
2011-10-20,81
2011-10-21,83
2011-10-22,86
2011-10-23,82
2011-10-24,82
2011-10-25,83
2011-10-26,84
2011-10-27,85
2011-10-28,86
2011-10-29,96
2011-10-30,86
2011-10-31,85
2011-11-01,85
2011-11-02,84
2011-11-03,84
2011-11-04,86
2011-11-05,91
2011-11-06,82
2011-11-07,82
2011-11-08,82
2011-11-09,82
2011-11-10,80
2011-11-11,82
2011-11-12,86
2011-11-13,79
2011-11-14,79
2011-11-15,80
2011-11-16,79
2011-11-17,79
2011-11-18,81
2011-11-19,84
2011-11-20,79
2011-11-21,79
2011-11-22,80
2011-11-23,79
2011-11-24,80
2011-11-25,79
2011-11-26,87
2011-11-27,82
2011-11-28,82
2011-11-29,84
2011-11-30,85
2011-12-01,89
2011-12-02,89
2011-12-03,98
2011-12-04,88
2011-12-05,87
2011-12-06,86
2011-12-07,85
2011-12-08,83
2011-12-09,82
2011-12-10,88
2011-12-11,80
2011-12-12,80
2011-12-13,81
2011-12-14,80
2011-12-15,80
2011-12-16,80
2011-12-17,87
2011-12-18,79
2011-12-19,79
2011-12-20,79
2011-12-21,79
2011-12-22,78
2011-12-23,78
2011-12-24,85
2011-12-25,77
2011-12-26,77
2011-12-27,77
2011-12-28,77
2011-12-29,77
2011-12-30,77
2011-12-31,84
2012-01-01,77
2012-01-02,78
2012-01-03,80
2012-01-04,80
2012-01-05,81
2012-01-06,83
2012-01-07,86
2012-01-08,81
2012-01-09,81
2012-01-10,81
2012-01-11,82
2012-01-12,81
2012-01-13,82
2012-01-14,88
2012-01-15,80
2012-01-16,79
2012-01-17,80
2012-01-18,79
2012-01-19,78
2012-01-20,79
2012-01-21,82
2012-01-22,77
2012-01-23,78
2012-01-24,78
2012-01-25,79
2012-01-26,79
2012-01-27,80
2012-01-28,87
2012-01-29,82
2012-01-30,83
2012-01-31,85
2012-02-01,85
2012-02-02,86
2012-02-03,90
2012-02-04,97
2012-02-05,87
2012-02-06,86
2012-02-07,86
2012-02-08,85
2012-02-09,83
2012-02-10,83
2012-02-11,87
2012-02-12,81
2012-02-13,79
2012-02-14,78
2012-02-15,77
2012-02-16,77
2012-02-17,77
2012-02-18,80
2012-02-19,75
2012-02-20,74
2012-02-21,74
2012-02-22,74
2012-02-23,74
2012-02-24,73
2012-02-25,78
2012-02-26,74
2012-02-27,76
2012-02-28,78
2012-02-29,80
2012-03-01,82
2012-03-02,85
2012-03-03,93
2012-03-04,85
2012-03-05,84
2012-03-06,85
2012-03-07,82
2012-03-08,81
2012-03-09,82
2012-03-10,87
2012-03-11,79
2012-03-12,78
2012-03-13,78
2012-03-14,77
2012-03-15,76
2012-03-16,75
2012-03-17,83
2012-03-18,74
2012-03-19,74
2012-03-20,73
2012-03-21,74
2012-03-22,73
2012-03-23,73
2012-03-24,78
2012-03-25,73
2012-03-26,74
2012-03-27,75
2012-03-28,76
2012-03-29,77
2012-03-30,78
2012-03-31,88
2012-04-01,79
2012-04-02,79
2012-04-03,80
2012-04-04,79
2012-04-05,78
2012-04-06,84
2012-04-07,77
2012-04-08,80
2012-04-09,75
2012-04-10,75
2012-04-11,75
2012-04-12,74
2012-04-13,74
2012-04-14,79
2012-04-15,73
2012-04-16,73
2012-04-17,75
2012-04-18,73
2012-04-19,75
2012-04-20,73
2012-04-21,80
2012-04-22,74
2012-04-23,75
2012-04-24,76
2012-04-25,77
2012-04-26,77
2012-04-27,78
2012-04-28,86
2012-04-29,78
2012-04-30,78
