Date,Lazard Capital Markets
2012-02-01,34
2012-02-02,34
2012-02-03,34
2012-02-04,34
2012-02-05,34
2012-02-06,34
2012-02-07,34
2012-02-08,34
2012-02-09,34
2012-02-10,34
2012-02-11,34
2012-02-12,34
2012-02-13,34
2012-02-14,34
2012-02-15,34
2012-02-16,34
2012-02-17,34
2012-02-18,34
2012-02-19,34
2012-02-20,34
2012-02-21,34
2012-02-22,34
2012-02-23,34
2012-02-24,34
2012-02-25,34
2012-02-26,34
2012-02-27,34
2012-02-28,34
2012-02-29,34
2012-03-01,34
2012-03-02,33
2012-03-03,33
2012-03-04,33
2012-03-05,32
2012-03-06,32
2012-03-07,32
2012-03-08,31
2012-03-09,31
2012-03-10,31
2012-03-11,30
2012-03-12,30
2012-03-13,30
2012-03-14,29
2012-03-15,29
2012-03-16,29
2012-03-17,28
2012-03-18,28
2012-03-19,28
2012-03-20,27
2012-03-21,27
2012-03-22,27
2012-03-23,26
2012-03-24,26
2012-03-25,26
2012-03-26,25
2012-03-27,25
2012-03-28,25
2012-03-29,24
2012-03-30,24
2012-03-31,24
2012-04-01,24
2012-04-02,24
2012-04-03,24
2012-04-04,25
2012-04-05,25
2012-04-06,25
2012-04-07,26
2012-04-08,26
2012-04-09,26
2012-04-10,27
2012-04-11,27
2012-04-12,28
2012-04-13,28
2012-04-14,28
2012-04-15,29
2012-04-16,29
2012-04-17,29
2012-04-18,30
2012-04-19,30
2012-04-20,30
2012-04-21,31
2012-04-22,31
2012-04-23,32
2012-04-24,32
2012-04-25,32
2012-04-26,33
2012-04-27,33
2012-04-28,33
2012-04-29,34
2012-04-30,34
2012-05-01,35
2012-05-02,34
2012-05-03,34
2012-05-04,34
2012-05-05,33
2012-05-06,33
2012-05-07,33
2012-05-08,32
2012-05-09,32
2012-05-10,32
2012-05-11,31
2012-05-12,31
2012-05-13,31
2012-05-14,30
2012-05-15,30
2012-05-16,30
2012-05-17,29
2012-05-18,29
2012-05-19,29
2012-05-20,28
2012-05-21,28
2012-05-22,28
2012-05-23,27
2012-05-24,27
2012-05-25,27
2012-05-26,26
2012-05-27,26
2012-05-28,26
2012-05-29,25
2012-05-30,25
2012-05-31,25
2012-06-01,25
2012-06-02,25
2012-06-03,25
2012-06-04,25
2012-06-05,25
2012-06-06,25
2012-06-07,25
2012-06-08,25
2012-06-09,26
2012-06-10,26
2012-06-11,26
2012-06-12,26
2012-06-13,26
2012-06-14,26
2012-06-15,26
2012-06-16,27
2012-06-17,27
2012-06-18,27
2012-06-19,27
2012-06-20,27
2012-06-21,27
2012-06-22,27
2012-06-23,27
2012-06-24,28
2012-06-25,28
2012-06-26,28
2012-06-27,28
2012-06-28,28
2012-06-29,28
2012-06-30,28
2012-07-01,29
2012-07-02,29
2012-07-03,29
2012-07-04,30
2012-07-05,30
2012-07-06,30
2012-07-07,31
2012-07-08,31
2012-07-09,31
2012-07-10,32
