Date,Rodman & Renshaw
2009-08-02,28
2009-08-03,30
2009-08-04,33
2009-08-05,35
2009-08-06,37
2009-08-07,40
2009-08-08,42
2009-08-09,45
2009-08-10,47
2009-08-11,49
2009-08-12,52
2009-08-13,54
2009-08-14,57
2009-08-15,59
2009-08-16,61
2009-08-17,64
2009-08-18,66
2009-08-19,68
2009-08-20,71
2009-08-21,73
2009-08-22,76
2009-08-23,78
2009-08-24,93
2009-08-25,83
2009-08-26,85
2009-08-27,88
2009-08-28,90
2009-08-29,92
2009-08-30,95
2009-08-31,97
2009-09-01,100
2009-09-02,97
2009-09-03,95
2009-09-04,92
2009-09-05,90
2009-09-06,88
2009-09-07,87
2009-09-08,84
2009-09-09,82
2009-09-10,80
2009-09-11,78
2009-09-12,76
2009-09-13,74
2009-09-14,70
2009-09-15,68
2009-09-16,66
2009-09-17,64
2009-09-18,63
2009-09-19,62
2009-09-20,54
2009-09-21,52
2009-09-22,49
2009-09-23,47
2009-09-24,44
2009-09-25,42
2009-09-26,40
2009-09-27,37
2009-09-28,35
2009-09-29,32
2009-09-30,30
2009-10-01,28
2009-10-02,27
2009-10-03,27
2009-10-04,26
2009-10-05,26
2009-10-06,26
2009-10-07,25
2009-10-08,25
2009-10-09,25
2009-10-10,24
2009-10-11,24
2009-10-12,24
2009-10-13,23
2009-10-14,23
2009-10-15,23
2009-10-16,22
2009-10-17,22
2009-10-18,21
2009-10-19,21
2009-10-20,21
2009-10-21,20
2009-10-22,20
2009-10-23,20
2009-10-24,19
2009-10-25,19
2009-11-01,17
2009-11-02,16
2009-11-03,16
2009-11-04,16
2009-11-05,16
2009-11-06,16
2009-11-07,16
2009-11-08,16
2009-11-09,16
2009-11-10,16
2009-11-11,16
2009-11-12,16
2009-11-13,16
2009-11-14,16
2009-11-15,16
2009-11-16,16
2009-11-17,15
2009-11-18,15
2009-11-19,15
2009-11-20,15
2009-11-21,15
2009-11-22,15
2009-11-23,15
2009-11-24,15
2009-11-25,15
2009-11-26,15
2009-11-27,15
2009-11-28,15
2009-11-29,15
2009-11-30,15
2009-12-01,15
2009-12-02,15
2009-12-03,15
2009-12-04,16
2009-12-05,16
2009-12-06,16
2009-12-07,17
2009-12-08,17
2009-12-09,18
2009-12-10,18
2009-12-11,18
2009-12-12,19
2009-12-13,19
2009-12-14,20
2009-12-15,20
2009-12-16,20
2009-12-17,21
2009-12-18,21
2009-12-19,21
2009-12-20,22
2009-12-21,22
2009-12-22,23
2009-12-23,23
2009-12-24,23
2009-12-25,24
2009-12-26,24
2009-12-27,25
2009-12-28,25
2009-12-29,25
2009-12-30,26
2009-12-31,26
2010-01-01,27
2010-01-02,26
2010-01-03,26
2010-01-04,26
2010-01-05,26
2010-01-06,26
2010-01-07,26
2010-01-08,26
2010-01-09,26
2010-01-10,26
2010-01-11,26
2010-01-12,25
2010-01-13,25
2010-01-14,25
2010-01-15,25
2010-01-16,25
2010-01-17,25
2010-01-18,25
2010-01-19,25
2010-01-20,25
2010-01-21,25
2010-01-22,24
2010-01-23,24
2010-01-24,24
2010-01-25,24
2010-01-26,24
2010-01-27,24
2010-01-28,24
2010-01-29,24
2010-01-30,24
2010-01-31,24
2010-02-01,24
2010-02-02,23
2010-02-03,23
2010-02-04,23
2010-02-05,23
2010-02-06,23
2010-02-07,23
2010-02-08,23
2010-02-09,23
2010-02-10,23
2010-02-11,23
2010-02-12,23
2010-02-13,23
2010-02-14,23
2010-02-15,23
2010-02-16,22
2010-02-17,22
2010-02-18,22
2010-02-19,22
2010-02-20,22
2010-02-21,22
2010-02-22,22
2010-02-23,22
2010-02-24,22
2010-02-25,22
2010-02-26,22
2010-02-27,22
2010-02-28,22
2010-03-01,22
2010-03-02,21
2010-03-03,21
2010-03-04,21
2010-03-05,21
2010-03-06,21
2010-03-07,21
2010-03-08,21
2010-03-09,21
2010-03-10,21
2010-03-11,21
2010-03-12,20
2010-03-13,20
2010-03-14,20
2010-03-15,20
2010-03-16,20
2010-03-17,20
2010-03-18,20
2010-03-19,20
2010-03-20,20
2010-03-21,20
2010-03-22,19
2010-03-23,19
2010-03-24,19
2010-03-25,19
2010-03-26,19
2010-03-27,19
2010-03-28,19
2010-03-29,19
2010-03-30,19
2010-03-31,19
2010-04-01,19
2010-04-02,19
2010-04-03,20
2010-04-04,20
2010-04-05,21
2010-04-06,22
2010-04-07,22
2010-04-08,23
2010-04-09,23
2010-04-10,24
2010-04-11,25
2010-04-12,25
2010-04-13,26
2010-04-14,26
2010-04-15,27
2010-04-16,28
2010-04-17,28
2010-04-18,29
2010-04-19,29
2010-04-20,30
2010-04-21,31
2010-04-22,31
2010-04-23,32
2010-04-24,32
2010-04-25,33
2010-04-26,34
2010-04-27,34
2010-04-28,35
2010-04-29,35
2010-04-30,36
2010-05-01,37
2010-05-02,36
2010-05-03,36
2010-05-04,35
2010-05-05,35
2010-05-06,35
2010-05-07,34
2010-05-08,34
2010-05-09,33
2010-05-10,33
2010-05-11,33
2010-05-12,32
2010-05-13,32
2010-05-14,31
2010-05-15,31
2010-05-16,31
2010-05-17,30
2010-05-18,30
2010-05-19,30
2010-05-20,29
2010-05-21,29
2010-05-22,28
2010-05-23,28
2010-05-24,28
2010-05-25,27
2010-05-26,27
2010-05-27,26
2010-05-28,26
2010-05-29,26
2010-05-30,25
2010-05-31,25
2010-06-01,25
2010-06-02,24
2010-06-03,24
2010-06-04,24
2010-06-05,24
2010-06-06,24
2010-06-07,24
2010-06-08,24
2010-06-09,23
2010-06-10,23
2010-06-11,23
2010-06-12,23
2010-06-13,23
2010-06-14,23
2010-06-15,23
2010-06-16,23
2010-06-17,22
2010-06-18,22
2010-06-19,22
2010-06-20,22
2010-06-21,22
2010-06-22,22
2010-06-23,22
2010-06-24,21
2010-06-25,21
2010-06-26,21
2010-06-27,21
2010-06-28,21
2010-06-29,21
2010-06-30,21
2010-07-01,21
2010-07-02,21
2010-07-03,21
2010-07-04,21
2010-07-05,21
2010-07-06,21
2010-07-07,21
2010-07-08,21
2010-07-09,22
2010-07-10,22
2010-07-11,22
2010-07-12,22
2010-07-13,22
2010-07-14,22
2010-07-15,22
2010-07-16,22
2010-07-17,23
2010-07-18,23
2010-07-19,23
2010-07-20,23
2010-07-21,23
2010-07-22,23
2010-07-23,23
2010-07-24,23
2010-07-25,24
2010-07-26,24
2010-07-27,24
2010-07-28,24
2010-07-29,24
2010-07-30,24
2010-07-31,24
2010-08-01,25
2010-08-02,26
2010-08-03,27
2010-08-04,28
2010-08-05,29
2010-08-06,30
2010-08-07,32
2010-08-08,33
2010-08-09,34
2010-08-10,35
2010-08-11,36
2010-08-12,38
2010-08-13,39
