Date,Merriman Curhan Ford
2007-01-01,69
2007-01-02,69
2007-01-03,69
2007-01-04,70
2007-01-05,70
2007-01-06,71
2007-01-07,71
2007-01-08,72
2007-01-09,72
2007-01-10,73
2007-01-11,73
2007-01-12,74
2007-01-13,74
2007-01-14,75
2007-01-15,75
2007-01-16,76
2007-01-17,76
2007-01-18,77
2007-01-19,77
2007-01-20,78
2007-01-21,78
2007-01-22,79
2007-01-23,79
2007-01-24,80
2007-01-25,80
2007-01-26,81
2007-01-27,81
2007-01-28,82
2007-01-29,82
2007-01-30,83
2007-01-31,83
2007-02-01,84
2007-02-02,83
2007-02-03,82
2007-02-04,82
2007-02-05,81
2007-02-06,80
2007-02-07,80
2007-02-08,79
2007-02-09,78
2007-02-10,78
2007-02-11,77
2007-02-12,76
2007-02-13,76
2007-02-14,75
2007-02-15,75
2007-02-16,74
2007-02-17,73
2007-02-18,73
2007-02-19,72
2007-02-20,71
2007-02-21,71
2007-02-22,70
2007-02-23,69
2007-02-24,69
2007-02-25,68
2007-02-26,67
2007-02-27,67
2007-02-28,66
2007-03-01,66
2007-03-02,66
2007-03-03,66
2007-03-04,66
2007-03-05,66
2007-03-06,66
2007-03-07,66
2007-03-08,66
2007-03-09,66
2007-03-10,66
2007-03-11,66
2007-03-12,66
2007-03-13,66
2007-03-14,66
2007-03-15,66
2007-03-16,66
2007-03-17,66
2007-03-18,66
2007-03-19,66
2007-03-20,66
2007-03-21,66
2007-03-22,66
2007-03-23,66
2007-03-24,66
2007-03-25,66
2007-03-26,66
2007-03-27,66
2007-03-28,66
2007-03-29,66
2007-03-30,66
2007-03-31,66
2007-04-01,66
2007-04-02,66
2007-04-03,66
2007-04-04,66
2007-04-05,66
2007-04-06,66
2007-04-07,66
2007-04-08,66
2007-04-09,66
2007-04-10,66
2007-04-11,66
2007-04-12,66
2007-04-13,66
2007-04-14,66
2007-04-15,66
2007-04-16,66
2007-04-17,66
2007-04-18,66
2007-04-19,66
2007-04-20,66
2007-04-21,66
2007-04-22,66
2007-04-23,66
2007-04-24,66
2007-04-25,66
2007-04-26,66
2007-04-27,66
2007-04-28,66
2007-04-29,66
2007-04-30,66
2007-05-01,66
2007-05-02,66
2007-05-03,66
2007-05-04,66
2007-05-05,67
2007-05-06,67
2007-05-07,67
2007-05-08,67
2007-05-09,68
2007-05-10,68
2007-05-11,68
2007-05-12,68
2007-05-13,69
2007-05-14,69
2007-05-15,69
2007-05-16,69
2007-05-17,70
2007-05-18,70
2007-05-19,70
2007-05-20,70
2007-05-21,71
2007-05-22,71
2007-05-23,71
2007-05-24,71
2007-05-25,72
2007-05-26,72
2007-05-27,72
2007-05-28,72
2007-05-29,73
2007-05-30,73
2007-05-31,73
2007-06-01,74
2007-06-02,73
2007-06-03,73
2007-06-04,73
2007-06-05,72
2007-06-06,72
2007-06-07,72
2007-06-08,71
2007-06-09,71
2007-06-10,71
2007-06-11,71
2007-06-12,70
2007-06-13,70
2007-06-14,70
2007-06-15,69
2007-06-16,69
2007-06-17,69
2007-06-18,68
2007-06-19,68
2007-06-20,68
2007-06-21,68
2007-06-22,67
2007-06-23,67
2007-06-24,67
2007-06-25,66
2007-06-26,66
2007-06-27,66
2007-06-28,65
2007-06-29,65
2007-06-30,65
2007-07-01,65
2007-07-02,65
2007-07-03,65
2007-07-04,65
2007-07-05,65
2007-07-06,65
2007-07-07,65
2007-07-08,65
2007-07-09,65
2007-07-10,65
2007-07-11,65
2007-07-12,65
2007-07-13,65
2007-07-14,65
2007-07-15,65
2007-07-16,65
2007-07-17,65
2007-07-18,65
2007-07-19,65
2007-07-20,65
2007-07-21,65
2007-07-22,65
2007-07-23,65
2007-07-24,65
2007-07-25,65
2007-07-26,65
2007-07-27,65
2007-07-28,65
2007-07-29,65
2007-07-30,65
2007-07-31,65
2007-08-01,65
2007-08-02,65
2007-08-03,65
2007-08-04,66
2007-08-05,66
2007-08-06,66
2007-08-07,67
2007-08-08,67
2007-08-09,67
2007-08-10,68
2007-08-11,68
2007-08-12,68
2007-08-13,69
2007-08-14,69
2007-08-15,69
2007-08-16,70
2007-08-17,70
2007-08-18,71
2007-08-19,71
2007-08-20,71
2007-08-21,72
2007-08-22,72
2007-08-23,72
2007-08-24,73
2007-08-25,73
2007-08-26,73
2007-08-27,74
2007-08-28,74
2007-08-29,74
2007-08-30,75
2007-08-31,75
2007-09-01,76
2007-09-02,76
2007-09-03,76
2007-09-04,76
2007-09-05,76
2007-09-06,76
2007-09-07,76
2007-09-08,76
2007-09-09,76
2007-09-10,76
2007-09-11,77
2007-09-12,77
2007-09-13,77
2007-09-14,77
2007-09-15,77
2007-09-16,77
2007-09-17,77
2007-09-18,77
2007-09-19,77
2007-09-20,77
2007-09-21,78
2007-09-22,78
2007-09-23,78
2007-09-24,78
2007-09-25,78
2007-09-26,78
2007-09-27,78
2007-09-28,78
2007-09-29,78
2007-09-30,78
2007-10-01,79
2007-10-02,78
2007-10-03,77
2007-10-04,77
2007-10-05,76
2007-10-06,76
2007-10-07,75
2007-10-08,75
2007-10-09,74
2007-10-10,74
2007-10-11,73
2007-10-12,73
2007-10-13,72
2007-10-14,72
2007-10-15,71
2007-10-16,71
2007-10-17,70
2007-10-18,70
2007-10-19,69
2007-10-20,69
2007-10-21,68
2007-10-22,68
2007-10-23,67
2007-10-24,67
2007-10-25,66
2007-10-26,66
2007-10-27,65
2007-10-28,65
2007-10-29,64
2007-10-30,64
2007-10-31,63
2007-11-01,63
2007-11-02,62
2007-11-03,62
2007-11-04,62
2007-11-05,61
2007-11-06,61
2007-11-07,61
2007-11-08,61
2007-11-09,60
2007-11-10,60
2007-11-11,60
2007-11-12,60
2007-11-13,59
2007-11-14,59
2007-11-15,59
2007-11-16,59
2007-11-17,58
2007-11-18,58
2007-11-19,58
2007-11-20,57
2007-11-21,57
2007-11-22,57
2007-11-23,57
2007-11-24,56
2007-11-25,56
2007-11-26,56
2007-11-27,56
2007-11-28,55
2007-11-29,55
2007-11-30,55
2007-12-01,55
2007-12-02,55
2007-12-03,55
2007-12-04,55
2007-12-05,55
2007-12-06,55
2007-12-07,55
2007-12-08,55
2007-12-09,55
2007-12-10,55
2007-12-11,55
2007-12-12,55
2007-12-13,55
2007-12-14,55
2007-12-15,55
2007-12-16,55
2007-12-17,55
2007-12-18,55
2007-12-19,55
2007-12-20,55
2007-12-21,55
2007-12-22,55
2007-12-23,55
2007-12-24,55
2007-12-25,55
2007-12-26,55
2007-12-27,55
2007-12-28,55
2007-12-29,55
2007-12-30,55
2007-12-31,55
2008-01-01,55
2008-01-02,55
2008-01-03,56
2008-01-04,56
2008-01-05,57
2008-01-06,57
2008-01-07,58
2008-01-08,58
2008-01-09,59
2008-01-10,59
2008-01-11,60
2008-01-12,61
2008-01-13,61
2008-01-14,62
2008-01-15,62
2008-01-16,63
2008-01-17,63
2008-01-18,64
2008-01-19,64
2008-01-20,65
2008-01-21,65
2008-01-22,66
2008-01-23,67
2008-01-24,67
2008-01-25,68
2008-01-26,68
2008-01-27,69
2008-01-28,69
2008-01-29,70
2008-01-30,70
2008-01-31,71
2008-02-01,72
2008-02-02,71
2008-02-03,70
2008-02-04,69
2008-02-05,68
2008-02-06,68
2008-02-07,67
2008-02-08,66
2008-02-09,65
2008-02-10,64
2008-02-11,64
2008-02-12,63
2008-02-13,62
2008-02-14,61
2008-02-15,60
2008-02-16,60
2008-02-17,59
2008-02-18,58
2008-02-19,57
2008-02-20,56
2008-02-21,56
2008-02-22,55
2008-02-23,54
2008-02-24,53
2008-02-25,52
2008-02-26,52
