Date,Maxim Group
2011-06-05,80
2011-06-06,76
2011-06-07,72
2011-06-08,67
2011-06-09,63
2011-06-10,59
2011-06-11,55
2011-06-12,57
2011-06-13,60
2011-06-14,63
2011-06-15,65
2011-06-16,68
2011-06-17,71
2011-06-18,74
2011-06-19,77
2011-06-20,81
2011-06-21,85
2011-06-22,89
2011-06-23,93
2011-06-24,96
2011-06-25,100
2011-06-26,99
2011-06-27,98
2011-06-28,96
2011-06-29,95
2011-06-30,94
2011-07-01,93
2011-07-02,92
2011-07-03,88
2011-07-04,83
2011-07-05,79
2011-07-06,74
2011-07-07,70
2011-07-08,66
2011-07-09,62
2011-07-10,62
2011-07-11,63
2011-07-12,63
2011-07-13,64
2011-07-14,65
2011-07-15,65
2011-07-16,66
2011-07-17,64
2011-07-18,63
2011-07-19,61
2011-07-20,60
2011-07-21,58
2011-07-22,57
2011-07-23,56
2011-07-24,58
2011-07-25,60
2011-07-26,62
2011-07-27,64
2011-07-28,66
2011-07-29,68
2011-07-30,71
2011-07-31,70
2011-08-01,69
2011-08-02,68
2011-08-03,67
2011-08-04,66
2011-08-05,65
2011-08-06,65
2011-08-07,67
2011-08-08,69
2011-08-09,71
2011-08-10,74
2011-08-11,76
2011-08-12,78
2011-08-13,81
2011-08-14,82
2011-08-15,84
2011-08-16,86
2011-08-17,88
2011-08-18,89
2011-08-19,91
2011-08-20,93
2011-08-21,90
2011-08-22,87
2011-08-23,84
2011-08-24,81
2011-08-25,78
2011-08-26,75
2011-08-27,72
2011-08-28,70
2011-09-04,60
2011-09-05,60
2011-09-06,59
2011-09-07,59
2011-09-08,58
2011-09-09,57
2011-09-10,57
2011-09-11,59
2011-09-12,61
2011-09-13,63
2011-09-14,66
2011-09-15,68
2011-09-16,70
2011-09-17,73
2011-09-18,72
2011-09-19,72
2011-09-20,72
2011-09-21,72
2011-09-22,72
2011-09-23,72
2011-09-24,72
2011-09-25,72
2011-09-26,73
2011-09-27,73
2011-09-28,74
2011-09-29,74
2011-09-30,75
2011-10-01,75
2011-10-02,76
2011-10-03,77
2011-10-04,79
2011-10-05,80
2011-10-06,81
2011-10-07,82
2011-10-08,84
2011-10-09,83
2011-10-10,83
2011-10-11,83
2011-10-12,82
2011-10-13,82
2011-10-14,82
2011-10-15,82
2011-10-16,83
2011-10-17,85
2011-10-18,86
2011-10-19,87
2011-10-20,88
2011-10-21,89
2011-10-22,91
2011-10-23,88
2011-10-24,83
2011-10-25,80
2011-10-26,78
2011-10-27,75
2011-10-28,72
2011-10-29,70
2011-10-30,69
2011-10-31,68
2011-11-01,67
2011-11-02,66
2011-11-03,65
2011-11-04,64
2011-11-05,64
2011-11-06,63
2011-11-07,62
2011-11-08,61
2011-11-09,60
2011-11-10,59
2011-11-11,58
2011-11-12,57
2011-11-13,57
2011-11-14,59
2011-11-15,60
2011-11-16,61
2011-11-17,62
2011-11-18,62
2011-11-19,63
2011-11-20,62
2011-11-21,60
2011-11-22,59
2011-11-23,57
2011-11-24,56
2011-11-25,55
2011-11-26,54
2011-11-27,58
2011-12-04,82
2011-12-05,82
2011-12-06,81
2011-12-07,80
2011-12-08,79
2011-12-09,79
2011-12-10,78
2011-12-11,76
2011-12-12,73
2011-12-13,71
2011-12-14,69
2011-12-15,67
2011-12-16,65
2011-12-17,63
2011-12-18,61
2011-12-19,60
2011-12-20,59
2011-12-21,58
2011-12-22,57
2011-12-23,56
2011-12-24,55
2011-12-25,54
2011-12-26,53
2011-12-27,52
2011-12-28,52
2011-12-29,51
2011-12-30,50
2011-12-31,50
2012-01-01,52
2012-01-02,55
2012-01-03,58
2012-01-04,60
2012-01-05,63
2012-01-06,66
2012-01-07,68
2012-01-08,68
2012-01-09,66
2012-01-10,65
2012-01-11,64
2012-01-12,63
2012-01-13,62
2012-01-14,62
2012-01-15,60
2012-01-16,58
2012-01-17,56
2012-01-18,54
2012-01-19,52
2012-01-20,50
2012-01-21,49
2012-01-22,51
2012-01-23,53
2012-01-24,55
2012-01-25,57
2012-01-26,59
2012-01-27,61
2012-01-28,64
2012-01-29,65
2012-01-30,66
2012-01-31,67
2012-02-01,68
2012-02-02,69
2012-02-03,70
2012-02-04,72
2012-02-05,74
2012-02-06,77
2012-02-07,80
2012-02-08,83
2012-02-09,85
2012-02-10,88
2012-02-11,91
2012-02-12,88
2012-02-13,84
2012-02-14,81
2012-02-15,78
2012-02-16,74
2012-02-17,71
2012-02-18,68
2012-02-19,69
2012-02-20,71
2012-02-21,72
2012-02-22,74
2012-02-23,75
2012-02-24,77
2012-02-25,79
2012-02-26,75
2012-03-04,57
2012-03-05,59
2012-03-06,61
2012-03-07,63
2012-03-08,64
2012-03-09,66
2012-03-10,68
2012-03-11,67
2012-03-12,65
2012-03-13,64
2012-03-14,63
2012-03-15,62
2012-03-16,61
2012-03-17,60
2012-03-18,62
2012-03-19,65
2012-03-20,68
2012-03-21,71
2012-03-22,73
2012-03-23,76
2012-03-24,79
2012-03-25,78
2012-03-26,78
2012-03-27,78
2012-03-28,77
2012-03-29,77
2012-03-30,77
2012-03-31,77
2012-04-01,74
2012-04-02,72
2012-04-03,70
2012-04-04,68
2012-04-05,66
2012-04-06,64
2012-04-07,62
2012-04-08,60
2012-04-09,59
2012-04-10,57
2012-04-11,55
2012-04-12,54
2012-04-13,52
2012-04-14,51
2012-04-15,52
2012-04-16,53
2012-04-17,55
2012-04-18,56
2012-04-19,58
2012-04-20,59
2012-04-21,61
2012-04-22,61
2012-04-23,61
2012-04-24,62
2012-04-25,62
2012-04-26,63
2012-04-27,63
2012-04-28,64
2012-04-29,64
2012-04-30,65
2012-05-01,65
2012-05-02,66
2012-05-03,66
2012-05-04,67
2012-05-05,68
2012-05-06,66
2012-05-07,64
2012-05-08,62
2012-05-09,60
2012-05-10,59
2012-05-11,57
2012-05-12,55
2012-05-13,57
2012-05-14,59
2012-05-15,61
2012-05-16,64
2012-05-17,66
2012-05-18,68
2012-05-19,71
2012-05-20,71
2012-05-21,72
2012-05-22,72
2012-05-23,72
2012-05-24,73
2012-05-25,73
2012-05-26,74
2012-05-27,71
2012-06-03,58
2012-06-04,59
2012-06-05,60
2012-06-06,60
2012-06-07,61
2012-06-08,62
2012-06-09,62
2012-06-10,63
2012-06-11,62
2012-06-12,63
2012-06-13,63
2012-06-14,64
2012-06-15,64
2012-06-16,65
2012-06-17,63
2012-06-18,63
2012-06-19,62
2012-06-20,61
2012-06-21,60
2012-06-22,59
2012-06-23,57
2012-06-24,55
2012-06-25,52
2012-06-26,50
2012-06-27,47
2012-06-28,45
2012-06-29,43
2012-06-30,41
2012-07-01,42
2012-07-02,44
2012-07-03,46
2012-07-04,47
2012-07-05,49
2012-07-06,51
2012-07-07,53
2012-07-08,55
2012-07-09,58
2012-07-10,60
2012-07-11,63
2012-07-12,65
2012-07-13,68
2012-07-14,71
2012-07-15,73
2012-07-16,77
2012-07-17,80
2012-07-18,82
2012-07-19,85
2012-07-20,88
2012-07-21,91
2012-07-22,88
2012-07-23,85
2012-07-24,82
2012-07-25,79
2012-07-26,76
2012-07-27,73
2012-07-28,70
2012-07-29,67
2012-07-30,64
2012-07-31,61
2012-08-01,58
2012-08-02,55
2012-08-03,52
2012-08-04,49
2012-08-05,54
2012-08-06,59
2012-08-07,64
2012-08-08,69
2012-08-09,74
2012-08-10,79
2012-08-11,84
2012-08-12,83
2012-08-13,81
2012-08-14,80
2012-08-15,79
2012-08-16,77
2012-08-17,76
2012-08-18,75
2012-08-19,74
2012-08-20,73
2012-08-21,73
2012-08-22,72
2012-08-23,72
2012-08-24,71
2012-08-25,71
2012-08-26,71
2012-09-02,74
2012-09-03,74
2012-09-04,74
2012-09-05,74
2012-09-06,74
2012-09-07,74
2012-09-08,74
2012-09-09,74
2012-09-10,75
2012-09-11,76
2012-09-12,77
2012-09-13,77
2012-09-14,78
2012-09-15,79
2012-09-16,76
2012-09-17,74
2012-09-18,71
2012-09-19,69
2012-09-20,66
2012-09-21,64
2012-09-22,62
2012-09-23,63
2012-09-24,65
2012-09-25,66
2012-09-26,68
2012-09-27,69
2012-09-28,71
2012-09-29,72
2012-09-30,70
2012-10-01,67
2012-10-02,64
2012-10-03,62
2012-10-04,59
2012-10-05,56
2012-10-06,54
2012-10-07,53
2012-10-08,52
2012-10-09,51
2012-10-10,50
2012-10-11,49
2012-10-12,48
2012-10-13,47
2012-10-14,48
2012-10-15,49
2012-10-16,50
2012-10-17,52
2012-10-18,53
2012-10-19,54
2012-10-20,56
2012-10-21,55
2012-10-22,54
2012-10-23,53
2012-10-24,53
2012-10-25,52
2012-10-26,51
2012-10-27,50
2012-10-28,49
2012-10-29,48
2012-10-30,47
2012-10-31,46
2012-11-01,45
