Date,SunTrust Robinson Humphrey
2011-12-01,90
2011-12-02,92
2011-12-03,98
2011-12-04,97
2011-12-05,93
2011-12-06,93
2011-12-07,93
2011-12-08,92
2011-12-09,92
2011-12-10,95
2011-12-11,96
2011-12-12,92
2011-12-13,93
2011-12-14,93
2011-12-15,94
2011-12-16,94
2011-12-17,97
2011-12-18,100
2011-12-19,95
2011-12-20,96
2011-12-21,96
2011-12-22,98
2011-12-23,97
2011-12-24,102
2011-12-25,107
2011-12-26,98
2011-12-27,98
2011-12-28,99
2011-12-29,99
2011-12-30,99
2011-12-31,104
2012-01-01,105
2012-01-02,98
2012-01-03,98
2012-01-04,97
2012-01-05,97
2012-01-06,96
2012-01-07,99
2012-01-08,100
2012-01-09,96
2012-01-10,96
2012-01-11,96
2012-01-12,96
2012-01-13,96
2012-01-14,99
2012-01-15,99
2012-01-16,93
2012-01-17,92
2012-01-18,91
2012-01-19,91
2012-01-20,89
2012-01-21,90
2012-01-22,92
2012-01-23,88
2012-01-24,88
2012-01-25,89
2012-01-26,89
2012-01-27,89
2012-01-28,93
2012-01-29,95
2012-01-30,92
2012-01-31,94
2012-02-01,95
2012-02-02,99
2012-02-03,98
2012-02-04,102
2012-02-05,106
2012-02-06,98
2012-02-07,97
2012-02-08,97
2012-02-09,98
2012-02-10,95
2012-02-11,97
2012-02-12,100
2012-02-13,94
2012-02-14,94
2012-02-15,93
2012-02-16,93
2012-02-17,93
2012-02-18,97
2012-02-19,97
2012-02-20,92
2012-02-21,92
2012-02-22,91
2012-02-23,91
2012-02-24,91
2012-02-25,93
2012-02-26,95
2012-02-27,91
2012-02-28,91
2012-02-29,91
2012-03-01,91
2012-03-02,91
2012-03-03,94
2012-03-04,94
2012-03-05,90
2012-03-06,90
2012-03-07,91
2012-03-08,90
2012-03-09,90
2012-03-10,92
2012-03-11,94
2012-03-12,89
2012-03-13,89
2012-03-14,88
2012-03-15,89
2012-03-16,88
2012-03-17,92
2012-03-18,91
2012-03-19,86
2012-03-20,86
2012-03-21,86
2012-03-22,85
2012-03-23,84
2012-03-24,87
2012-03-25,86
2012-03-26,84
2012-03-27,84
2012-03-28,84
2012-03-29,85
2012-03-30,84
2012-03-31,88
2012-04-01,89
2012-04-02,85
2012-04-03,85
2012-04-04,85
2012-04-05,85
2012-04-06,85
2012-04-07,90
2012-04-08,89
2012-04-09,83
2012-04-10,83
2012-04-11,83
2012-04-12,82
2012-04-13,81
2012-04-14,85
2012-04-15,84
2012-04-16,80
2012-04-17,80
2012-04-18,80
2012-04-19,81
2012-04-20,80
2012-04-21,84
2012-04-22,83
2012-04-23,79
2012-04-24,79
2012-04-25,79
