Date,Cantor Fitzgerald
2011-06-01,5
2011-06-02,5
2011-06-03,5
2011-06-04,5
2011-06-05,5
2011-06-06,5
2011-06-07,5
2011-06-08,5
2011-06-09,5
2011-06-10,5
2011-06-11,5
2011-06-12,5
2011-06-13,5
2011-06-14,5
2011-06-15,5
2011-06-16,6
2011-06-17,5
2011-06-18,6
2011-06-19,5
2011-06-20,5
2011-06-21,5
2011-06-22,5
2011-06-23,5
2011-06-24,5
2011-06-25,5
2011-06-26,5
2011-06-27,5
2011-06-28,5
2011-06-29,6
2011-06-30,6
2011-07-01,6
2011-07-02,7
2011-07-03,6
2011-07-04,6
2011-07-05,5
2011-07-06,5
2011-07-07,5
2011-07-08,4
2011-07-09,4
2011-07-10,4
2011-07-11,4
2011-07-12,4
2011-07-13,5
2011-07-14,5
2011-07-15,5
2011-07-16,6
2011-07-17,6
2011-07-18,6
2011-07-19,6
2011-07-20,6
2011-07-21,6
2011-07-22,6
2011-07-23,7
2011-07-24,6
2011-07-25,6
2011-07-26,6
2011-07-27,5
2011-07-28,5
2011-07-29,5
2011-07-30,5
2011-07-31,5
2011-08-01,5
2011-08-02,5
2011-08-03,5
2011-08-04,5
2011-08-05,5
2011-08-06,5
2011-08-07,5
2011-08-08,5
2011-08-09,5
2011-08-10,5
2011-08-11,5
2011-08-12,5
2011-08-13,5
2011-08-14,5
2011-08-15,5
2011-08-16,6
2011-08-17,6
2011-08-18,7
2011-08-19,7
2011-08-20,8
2011-08-21,7
2011-08-22,7
2011-08-23,7
2011-08-24,6
2011-08-25,6
2011-08-26,6
2011-08-27,6
2011-08-28,7
2011-08-29,8
2011-08-30,10
2011-08-31,11
2011-09-01,13
2011-09-02,14
2011-09-03,16
2011-09-04,24
2011-09-05,33
2011-09-06,41
2011-09-07,50
2011-09-08,58
2011-09-09,67
2011-09-10,76
2011-09-11,79
2011-09-12,90
2011-09-13,97
2011-09-14,97
2011-09-15,100
2011-09-16,102
2011-09-17,109
2011-09-18,87
2011-09-19,74
2011-09-20,64
2011-09-21,48
2011-09-22,35
