Date,Wachovia
2008-02-18,41
2008-02-19,41
2008-02-20,41
2008-02-21,41
2008-02-22,41
2008-02-23,43
2008-02-24,43
2008-02-25,41
2008-02-26,41
2008-02-27,41
2008-02-28,41
2008-02-29,41
2008-03-01,41
2008-03-02,43
2008-03-03,41
2008-03-04,41
2008-03-05,41
2008-03-06,41
2008-03-07,41
2008-03-08,44
2008-03-09,44
2008-03-10,41
2008-03-11,41
2008-03-12,41
2008-03-13,41
2008-03-14,41
2008-03-15,43
2008-03-16,43
2008-03-17,41
2008-03-18,42
2008-03-19,43
2008-03-20,43
2008-03-21,43
2008-03-22,46
2008-03-23,46
2008-03-24,42
2008-03-25,43
2008-03-26,42
2008-03-27,41
2008-03-28,40
2008-03-29,41
2008-03-30,42
2008-03-31,40
2008-04-01,41
2008-04-02,41
2008-04-03,42
2008-04-04,42
2008-04-05,45
2008-04-06,45
2008-04-07,42
2008-04-08,41
2008-04-09,41
2008-04-10,40
2008-04-11,40
2008-04-12,42
2008-04-13,40
2008-04-14,41
2008-04-15,43
2008-04-16,44
2008-04-17,44
2008-04-18,45
2008-04-19,48
2008-04-20,47
2008-04-21,44
2008-04-22,44
2008-04-23,43
2008-04-24,43
2008-04-25,42
2008-04-26,44
2008-04-27,45
2008-04-28,44
2008-04-29,45
2008-04-30,47
2008-05-01,48
2008-05-02,50
2008-05-03,53
2008-05-04,53
2008-05-05,49
2008-05-06,50
2008-05-07,48
2008-05-08,48
2008-05-09,47
2008-05-10,50
2008-05-11,49
2008-05-12,45
2008-05-13,46
2008-05-14,44
2008-05-15,44
2008-05-16,43
2008-05-17,46
2008-05-18,43
2008-05-19,42
2008-05-20,42
2008-05-21,41
2008-05-22,41
2008-05-23,41
2008-05-24,43
2008-05-25,44
2008-05-26,41
2008-05-27,41
2008-05-28,41
2008-05-29,41
2008-05-30,41
2008-05-31,43
2008-06-01,41
2008-06-02,42
2008-06-03,44
2008-06-04,44
2008-06-05,44
2008-06-06,45
2008-06-07,48
2008-06-08,48
2008-06-09,45
2008-06-10,44
2008-06-11,45
2008-06-12,44
2008-06-13,43
2008-06-14,45
2008-06-15,45
2008-06-16,43
2008-06-17,43
2008-06-18,43
2008-06-19,43
2008-06-20,43
2008-06-21,46
2008-06-22,46
2008-06-23,44
2008-06-24,45
2008-06-25,45
2008-06-26,45
2008-06-27,45
2008-06-28,48
2008-06-29,47
2008-06-30,45
2008-07-01,45
2008-07-02,45
2008-07-03,44
2008-07-04,48
2008-07-05,44
2008-07-06,46
2008-07-07,45
2008-07-08,46
2008-07-09,47
2008-07-10,48
2008-07-11,49
2008-07-12,53
2008-07-13,52
2008-07-14,52
2008-07-15,53
2008-07-16,56
2008-07-17,56
2008-07-18,57
2008-07-19,63
2008-07-20,62
2008-07-21,58
2008-07-22,58
2008-07-23,59
2008-07-24,57
2008-07-25,57
2008-07-26,60
2008-07-27,59
2008-07-28,55
2008-07-29,54
2008-07-30,53
2008-07-31,52
2008-08-01,51
2008-08-02,54
2008-08-03,53
2008-08-04,50
2008-08-05,50
2008-08-06,50
2008-08-07,49
2008-08-08,49
2008-08-09,52
2008-08-10,51
2008-08-11,49
2008-08-12,49
2008-08-13,50
2008-08-14,49
2008-08-15,49
2008-08-16,52
2008-08-17,52
2008-08-18,48
2008-08-19,48
2008-08-20,47
2008-08-21,47
2008-08-22,46
2008-08-23,48
2008-08-24,47
2008-08-25,46
2008-08-26,46
2008-08-27,46
2008-08-28,46
2008-08-29,46
2008-08-30,49
2008-08-31,48
2008-09-01,44
2008-09-02,44
2008-09-03,43
2008-09-04,43
2008-09-05,42
2008-09-06,44
2008-09-07,44
2008-09-08,42
2008-09-09,42
2008-09-10,43
2008-09-11,43
2008-09-12,43
2008-09-13,45
2008-09-14,48
2008-09-15,48
2008-09-16,51
2008-09-17,52
2008-09-18,54
2008-09-19,58
2008-09-20,63
2008-09-21,62
2008-09-22,58
2008-09-23,57
2008-09-24,57
2008-09-25,56
2008-09-26,56
2008-09-27,56
2008-09-28,65
2008-09-29,68
2008-09-30,81
2008-10-01,87
2008-10-02,90
2008-10-03,93
2008-10-04,111
2008-10-05,98
2008-10-06,88
2008-10-07,83
2008-10-08,78
2008-10-09,71
2008-10-10,65
2008-10-11,66
2008-10-12,60
2008-10-13,56
2008-10-14,54
2008-10-15,53
2008-10-16,52
2008-10-17,49
2008-10-18,51
2008-10-19,49
2008-10-20,46
2008-10-21,46
2008-10-22,45
2008-10-23,45
2008-10-24,44
2008-10-25,46
2008-10-26,45
2008-10-27,43
2008-10-28,43
2008-10-29,43
2008-10-30,43
2008-10-31,43
2008-11-01,45
2008-11-02,45
2008-11-03,42
2008-11-04,42
2008-11-05,43
2008-11-06,42
2008-11-07,42
2008-11-08,43
2008-11-09,45
2008-11-10,42
2008-11-11,42
2008-11-12,42
2008-11-13,42
2008-11-14,42
2008-11-15,45
2008-11-16,44
2008-11-17,42
2008-11-18,42
2008-11-19,41
2008-11-20,41
2008-11-21,41
2008-11-22,43
2008-11-23,42
2008-11-24,39
2008-11-25,39
2008-11-26,39
2008-11-27,42
2008-11-28,37
2008-11-29,37
2008-11-30,40
2008-12-01,39
2008-12-02,40
2008-12-03,42
2008-12-04,42
2008-12-05,43
2008-12-06,48
2008-12-07,46
2008-12-08,45
2008-12-09,45
2008-12-10,45
2008-12-11,45
2008-12-12,45
2008-12-13,48
2008-12-14,47
2008-12-15,45
2008-12-16,45
2008-12-17,46
2008-12-18,45
2008-12-19,45
2008-12-20,48
2008-12-21,48
2008-12-22,45
2008-12-23,44
2008-12-24,44
2008-12-25,48
2008-12-26,43
2008-12-27,45
2008-12-28,45
2008-12-29,44
2008-12-30,45
2008-12-31,45
2009-01-01,50
2009-01-02,47
2009-01-03,50
2009-01-04,50
2009-01-05,47
2009-01-06,47
2009-01-07,47
2009-01-08,46
2009-01-09,46
2009-01-10,48
2009-01-11,48
2009-01-12,46
2009-01-13,46
2009-01-14,46
2009-01-15,46
2009-01-16,46
2009-01-17,48
2009-01-18,47
2009-01-19,44
2009-01-20,44
2009-01-21,43
2009-01-22,43
2009-01-23,42
2009-01-24,44
2009-01-25,44
2009-01-26,42
2009-01-27,42
2009-01-28,43
2009-01-29,43
2009-01-30,43
2009-01-31,46
2009-02-01,46
2009-02-02,44
2009-02-03,44
2009-02-04,45
2009-02-05,46
2009-02-06,45
2009-02-07,48
2009-02-08,48
2009-02-09,45
2009-02-10,45
2009-02-11,44
2009-02-12,44
2009-02-13,44
2009-02-14,47
2009-02-15,46
2009-02-16,43
2009-02-17,43
2009-02-18,43
2009-02-19,43
2009-02-20,43
2009-02-21,45
2009-02-22,45
2009-02-23,43
2009-02-24,43
2009-02-25,44
2009-02-26,44
2009-02-27,44
2009-02-28,48
