Date,Stifel
2012-07-01,54
2012-07-02,56
2012-07-03,53
2012-07-04,58
2012-07-05,52
2012-07-06,51
2012-07-07,52
2012-07-08,54
2012-07-09,55
2012-07-10,57
2012-07-11,60
2012-07-12,62
2012-07-13,64
2012-07-14,75
2012-07-15,65
2012-07-16,64
2012-07-17,63
2012-07-18,62
2012-07-19,61
2012-07-20,60
2012-07-21,63
2012-07-22,60
2012-07-23,61
2012-07-24,62
2012-07-25,66
2012-07-26,65
2012-07-27,67
2012-07-28,77
2012-07-29,68
2012-07-30,68
2012-07-31,69
2012-08-01,69
2012-08-02,70
2012-08-03,70
2012-08-04,81
2012-08-05,74
2012-08-06,73
2012-08-07,75
2012-08-08,77
2012-08-09,76
2012-08-10,83
2012-08-11,78
2012-08-12,76
2012-08-13,75
2012-08-14,74
2012-08-15,77
2012-08-16,72
2012-08-17,74
2012-08-18,72
2012-08-19,72
2012-08-20,71
2012-08-21,75
2012-08-22,74
2012-08-23,74
2012-08-24,81
2012-08-25,80
2012-08-26,73
2012-08-27,70
2012-08-28,70
2012-08-29,65
2012-08-30,66
2012-08-31,60
2012-09-01,60
2012-09-02,62
2012-09-03,60
2012-09-04,62
2012-09-05,63
2012-09-06,67
2012-09-07,67
2012-09-08,76
2012-09-09,74
2012-09-10,71
2012-09-11,73
2012-09-12,73
2012-09-13,75
2012-09-14,75
2012-09-15,84
2012-09-16,82
2012-09-17,76
2012-09-18,76
2012-09-19,76
2012-09-20,75
2012-09-21,76
2012-09-22,80
2012-09-23,76
2012-09-24,74
2012-09-25,74
2012-09-26,73
2012-09-27,73
2012-09-28,74
2012-09-29,78
2012-09-30,72
2012-10-01,72
2012-10-02,72
2012-10-03,72
2012-10-04,71
2012-10-05,75
2012-10-06,77
2012-10-07,70
2012-10-08,70
2012-10-09,70
2012-10-10,74
2012-10-11,71
2012-10-12,70
2012-10-13,74
2012-10-14,71
2012-10-15,71
2012-10-16,72
2012-10-17,76
2012-10-18,73
2012-10-19,74
2012-10-20,81
2012-10-21,77
2012-10-22,75
2012-10-23,79
2012-10-24,76
2012-10-25,81
2012-10-26,77
2012-10-27,83
2012-10-28,81
2012-10-29,74
2012-10-30,72
2012-10-31,71
2012-11-01,71
2012-11-02,69
2012-11-03,73
2012-11-04,70
2012-11-05,75
2012-11-06,89
2012-11-07,85
2012-11-08,90
2012-11-09,103
2012-11-10,103
2012-11-11,101
2012-11-12,93
2012-11-13,90
2012-11-14,89
2012-11-15,85
2012-11-16,81
2012-11-17,85
2012-11-18,76
2012-11-19,74
2012-11-20,72
2012-11-21,72
2012-11-22,78
2012-11-23,66
2012-11-24,65
2012-11-25,74
2012-11-26,65
2012-11-27,66
2012-11-28,68
2012-11-29,67
2012-11-30,69
2012-12-01,71
2012-12-02,77
2012-12-03,71
2012-12-04,73
2012-12-05,75
2012-12-06,78
2012-12-07,80
2012-12-08,89
2012-12-09,80
2012-12-10,79
2012-12-11,78
2012-12-12,78
2012-12-13,79
2012-12-14,78
2012-12-15,87
2012-12-16,74
2012-12-17,73
2012-12-18,72
2012-12-19,71
2012-12-20,69
2012-12-21,73
2012-12-22,71
2012-12-23,69
2012-12-24,61
2012-12-25,59
2012-12-26,56
2012-12-27,54
2012-12-28,52
2012-12-29,57
2012-12-30,51
2012-12-31,54
2013-01-01,57
2013-01-02,60
2013-01-03,65
2013-01-04,66
2013-01-05,74
2013-01-06,74
2013-01-07,70
2013-01-08,71
2013-01-09,71
2013-01-10,72
2013-01-11,75
2013-01-12,83
2013-01-13,74
2013-01-14,72
2013-01-15,72
2013-01-16,71
2013-01-17,71
2013-01-18,73
2013-01-19,71
2013-01-20,76
2013-01-21,69
2013-01-22,68
2013-01-23,71
2013-01-24,67
2013-01-25,68
2013-01-26,75
2013-01-27,69
2013-01-28,70
2013-01-29,71
2013-01-30,75
2013-01-31,75
2013-02-01,76
2013-02-02,82
2013-02-03,85
2013-02-04,76
2013-02-05,76
2013-02-06,79
2013-02-07,76
2013-02-08,74
2013-02-09,79
2013-02-10,74
2013-02-11,75
2013-02-12,75
2013-02-13,76
2013-02-14,76
2013-02-15,83
2013-02-16,82
2013-02-17,82
2013-02-18,74
2013-02-19,72
2013-02-20,71
2013-02-21,69
2013-02-22,69
2013-02-23,73
2013-02-24,68
2013-02-25,70
2013-02-26,73
2013-02-27,81
2013-02-28,78
2013-03-01,82
2013-03-02,88
2013-03-03,88
2013-03-04,82
2013-03-05,81
2013-03-06,82
2013-03-07,80
2013-03-08,83
2013-03-09,83
2013-03-10,88
2013-03-11,78
2013-03-12,77
2013-03-13,80
2013-03-14,76
2013-03-15,75
2013-03-16,87
2013-03-17,77
2013-03-18,74
2013-03-19,76
2013-03-20,73
2013-03-21,73
2013-03-22,72
2013-03-23,79
2013-03-24,75
2013-03-25,71
2013-03-26,75
2013-03-27,70
2013-03-28,70
2013-03-29,73
2013-03-30,75
2013-03-31,72
2013-04-01,74
