Date,Janney Montgomery Scott
2007-11-04,66
2007-11-05,66
2007-11-06,66
2007-11-07,66
2007-11-08,66
2007-11-09,66
2007-11-10,66
2007-11-11,66
2007-11-12,66
2007-11-13,66
2007-11-14,66
2007-11-15,66
2007-11-16,66
2007-11-17,66
2007-11-18,66
2007-11-19,66
2007-11-20,66
2007-11-21,66
2007-11-22,66
2007-11-23,66
2007-11-24,66
2007-11-25,66
2007-11-26,66
2007-11-27,66
2007-11-28,66
2007-11-29,66
2007-11-30,66
2007-12-01,66
2007-12-02,65
2007-12-03,65
2007-12-04,65
2007-12-05,64
2007-12-06,64
2007-12-07,64
2007-12-08,64
2007-12-09,64
2007-12-10,64
2007-12-11,64
2007-12-12,64
2007-12-13,64
2007-12-14,64
2007-12-15,64
2007-12-16,62
2007-12-17,61
2007-12-18,59
2007-12-19,58
2007-12-20,56
2007-12-21,55
2007-12-22,54
2007-12-23,54
2007-12-24,54
2007-12-25,54
2007-12-26,54
2007-12-27,54
2007-12-28,54
2007-12-29,54
2007-12-30,54
2007-12-31,54
2008-01-01,54
2008-01-02,54
2008-01-03,54
2008-01-04,54
2008-01-05,54
2008-01-06,54
2008-01-07,54
2008-01-08,54
2008-01-09,54
2008-01-10,54
2008-01-11,54
2008-01-12,54
2008-01-13,53
2008-01-14,53
2008-01-15,53
2008-01-16,52
2008-01-17,52
2008-01-18,52
2008-01-19,52
2008-01-20,52
2008-01-21,52
2008-01-22,52
2008-01-23,52
2008-01-24,52
2008-01-25,52
2008-01-26,52
2008-01-27,50
2008-02-03,43
2008-02-04,43
2008-02-05,43
2008-02-06,43
2008-02-07,43
2008-02-08,43
2008-02-09,44
2008-02-10,50
2008-02-11,57
2008-02-12,63
2008-02-13,69
2008-02-14,76
2008-02-15,82
2008-02-16,89
2008-02-17,84
2008-02-18,77
2008-02-19,72
2008-02-20,68
2008-02-21,63
2008-02-22,58
2008-02-23,54
2008-02-24,54
2008-02-25,54
2008-02-26,54
2008-02-27,54
2008-02-28,54
2008-02-29,54
2008-03-01,54
2008-03-02,52
2008-03-03,51
2008-03-04,50
2008-03-05,49
2008-03-06,48
2008-03-07,47
2008-03-08,46
2008-03-09,46
2008-03-10,47
2008-03-11,47
2008-03-12,48
2008-03-13,48
2008-03-14,49
2008-03-15,50
2008-03-16,50
2008-03-17,50
2008-03-18,50
2008-03-19,50
2008-03-20,50
2008-03-21,50
2008-03-22,51
2008-03-23,51
2008-03-24,51
2008-03-25,51
2008-03-26,51
2008-03-27,51
2008-03-28,51
2008-03-29,52
2008-03-30,52
2008-03-31,52
2008-04-01,52
2008-04-02,53
2008-04-03,53
2008-04-04,53
2008-04-05,53
2008-04-06,53
2008-04-07,52
2008-04-08,52
2008-04-09,52
2008-04-10,52
2008-04-11,52
2008-04-12,52
2008-04-13,54
2008-04-14,56
2008-04-15,58
2008-04-16,60
2008-04-17,62
2008-04-18,64
2008-04-19,66
2008-04-20,64
2008-04-21,63
2008-04-22,62
2008-04-23,61
2008-04-24,60
2008-04-25,59
2008-04-26,58
2008-04-27,60
2008-05-04,68
2008-05-05,63
2008-05-06,59
2008-05-07,54
2008-05-08,50
2008-05-09,45
2008-05-10,41
2008-05-11,41
2008-05-12,41
2008-05-13,41
2008-05-14,41
2008-05-15,41
2008-05-16,41
2008-05-17,41
2008-05-18,43
2008-05-19,46
2008-05-20,49
2008-05-21,51
2008-05-22,54
2008-05-23,57
2008-05-24,60
2008-05-25,57
2008-05-26,55
2008-05-27,53
2008-05-28,51
2008-05-29,49
2008-05-30,47
2008-05-31,45
2008-06-01,48
2008-06-02,51
2008-06-03,54
2008-06-04,58
2008-06-05,61
2008-06-06,64
2008-06-07,68
2008-06-08,67
2008-06-09,67
2008-06-10,67
2008-06-11,66
2008-06-12,66
2008-06-13,66
2008-06-14,66
2008-06-15,66
2008-06-16,66
2008-06-17,66
2008-06-18,66
2008-06-19,66
2008-06-20,66
2008-06-21,66
2008-06-22,64
2008-06-23,62
2008-06-24,60
2008-06-25,59
2008-06-26,57
2008-06-27,55
2008-06-28,54
2008-06-29,54
2008-06-30,54
2008-07-01,54
2008-07-02,54
2008-07-03,54
2008-07-04,54
2008-07-05,54
2008-07-06,54
2008-07-07,54
2008-07-08,54
2008-07-09,54
2008-07-10,54
2008-07-11,54
2008-07-12,54
2008-07-13,52
2008-07-14,50
2008-07-15,48
2008-07-16,47
2008-07-17,45
2008-07-18,43
2008-07-19,42
2008-07-20,42
2008-07-21,42
2008-07-22,42
2008-07-23,43
2008-07-24,43
2008-07-25,43
2008-07-26,44
2008-07-27,44
2008-08-03,45
2008-08-04,57
2008-08-05,45
2008-08-06,45
2008-08-07,45
2008-08-08,45
2008-08-09,46
2008-08-10,46
2008-08-11,46
2008-08-12,46
2008-08-13,46
2008-08-14,46
2008-08-15,47
2008-08-16,47
2008-08-17,46
2008-08-18,46
2008-08-19,46
2008-08-20,45
2008-08-21,45
2008-08-22,45
2008-08-23,45
2008-08-24,48
2008-08-25,52
2008-08-26,56
2008-08-27,60
2008-08-28,63
2008-08-29,67
2008-08-30,71
2008-08-31,68
2008-09-01,66
2008-09-02,63
2008-09-03,61
2008-09-04,58
2008-09-05,56
2008-09-06,54
2008-09-07,55
2008-09-08,57
2008-09-09,59
2008-09-10,61
2008-09-11,63
2008-09-12,65
2008-09-13,67
2008-09-14,71
2008-09-15,75
2008-09-16,80
2008-09-17,84
2008-09-18,88
2008-09-19,92
2008-09-20,97
2008-09-21,95
2008-09-22,92
2008-09-23,91
2008-09-24,89
2008-09-25,88
2008-09-26,86
2008-09-27,85
2008-09-28,86
2008-09-29,87
2008-09-30,88
2008-10-01,89
