Date,Imperial Capital
2008-06-01,50
2008-06-02,51
2008-06-03,52
2008-06-04,53
2008-06-05,54
2008-06-06,55
2008-06-07,56
2008-06-08,56
2008-06-09,71
2008-06-10,58
2008-06-11,58
2008-06-12,59
2008-06-13,60
2008-06-14,61
2008-06-15,61
2008-06-16,62
2008-06-17,63
2008-06-18,64
2008-06-19,65
2008-06-20,66
2008-06-21,67
2008-06-22,66
2008-06-23,65
2008-06-24,64
2008-06-25,64
2008-06-26,63
2008-06-27,62
2008-06-28,62
2008-06-29,62
2008-06-30,62
2008-07-01,62
2008-07-02,62
2008-07-03,62
2008-07-04,62
2008-07-05,62
2008-07-06,62
2008-07-07,62
2008-07-08,62
2008-07-09,62
2008-07-10,62
2008-07-11,62
2008-07-12,62
2008-07-13,64
2008-07-14,66
2008-07-15,68
2008-07-16,71
2008-07-17,73
2008-07-18,75
2008-07-19,78
2008-07-20,78
2008-07-21,80
2008-07-22,81
2008-07-23,82
2008-07-24,83
2008-07-25,84
2008-07-26,85
2008-07-27,81
2008-07-28,74
2008-07-29,69
2008-07-30,65
2008-07-31,60
2008-08-01,55
2008-08-02,51
2008-08-03,51
2008-08-04,52
2008-08-05,52
2008-08-06,53
2008-08-07,53
2008-08-08,54
2008-08-09,55
2008-08-10,55
2008-08-11,56
2008-08-12,56
2008-08-13,56
2008-08-14,57
2008-08-15,57
2008-08-16,58
2008-08-17,59
2008-08-18,60
2008-08-19,61
2008-08-20,62
2008-08-21,63
2008-08-22,64
2008-08-23,66
2008-08-24,67
2008-08-25,68
2008-08-26,69
2008-08-27,70
2008-08-28,71
2008-08-29,72
2008-08-30,73
2008-08-31,74
2008-09-07,76
2008-09-08,71
2008-09-09,66
2008-09-10,61
2008-09-11,56
2008-09-12,51
2008-09-13,46
2008-09-14,46
2008-09-15,57
2008-09-16,46
2008-09-17,46
2008-09-18,46
2008-09-19,46
2008-09-20,46
2008-09-21,46
2008-09-22,46
2008-09-23,46
2008-09-24,46
2008-09-25,46
2008-09-26,46
2008-09-27,46
2008-09-28,49
2008-09-29,52
2008-09-30,56
2008-10-01,59
2008-10-02,62
2008-10-03,65
2008-10-04,69
2008-10-05,66
2008-10-06,64
2008-10-07,62
2008-10-08,59
2008-10-09,57
2008-10-10,55
2008-10-11,53
2008-10-12,53
2008-10-13,53
2008-10-14,53
2008-10-15,53
2008-10-16,53
2008-10-17,53
2008-10-18,53
2008-10-19,53
2008-10-20,53
2008-10-21,53
2008-10-22,53
2008-10-23,53
2008-10-24,53
2008-10-25,53
2008-10-26,52
2008-10-27,51
2008-10-28,50
2008-10-29,49
2008-10-30,48
2008-10-31,47
2008-11-01,47
2008-11-02,48
2008-11-03,50
2008-11-04,52
2008-11-05,54
2008-11-06,56
2008-11-07,58
2008-11-08,60
2008-11-09,61
2008-11-10,64
2008-11-11,65
2008-11-12,67
2008-11-13,69
2008-11-14,71
2008-11-15,73
2008-11-16,71
2008-11-17,68
2008-11-18,66
2008-11-19,64
2008-11-20,62
2008-11-21,60
2008-11-22,59
2008-11-23,59
2008-11-24,59
2008-11-25,59
2008-11-26,59
2008-11-27,59
2008-11-28,59
2008-11-29,59
2008-11-30,59
2008-12-07,58
2008-12-08,58
2008-12-09,57
2008-12-10,57
2008-12-11,56
2008-12-12,56
2008-12-13,56
2008-12-14,54
2008-12-15,53
2008-12-16,52
2008-12-17,50
2008-12-18,49
2008-12-19,48
