Date,Piper Jaffray
2006-10-01,75
2006-10-02,72
2006-10-03,69
2006-10-04,65
2006-10-05,62
2006-10-06,59
2006-10-07,56
2006-10-08,58
2006-10-09,61
2006-10-10,64
2006-10-11,67
2006-10-12,70
2006-10-13,73
2006-10-14,76
2006-10-15,77
2006-10-16,78
2006-10-17,79
2006-10-18,80
2006-10-19,81
2006-10-20,83
2006-10-21,84
2006-10-22,83
2006-10-23,83
2006-10-24,82
2006-10-25,82
2006-10-26,81
2006-10-27,81
2006-10-28,80
2006-10-29,80
2006-10-30,79
2006-10-31,78
2006-11-01,78
2006-11-02,77
2006-11-03,77
2006-11-04,77
2006-11-05,77
2006-11-06,77
2006-11-07,77
2006-11-08,77
2006-11-09,77
2006-11-10,77
2006-11-11,77
2006-11-12,77
2006-11-13,78
2006-11-14,78
2006-11-15,79
2006-11-16,79
2006-11-17,80
2006-11-18,80
2006-11-19,75
2006-11-20,67
2006-11-21,62
2006-11-22,56
2006-11-23,51
2006-11-24,45
2006-11-25,40
2006-11-26,45
2006-11-27,50
2006-11-28,56
2006-11-29,61
2006-11-30,66
2006-12-01,71
2006-12-02,77
2006-12-03,74
2006-12-04,71
2006-12-05,69
2006-12-06,66
2006-12-07,64
2006-12-08,62
2006-12-09,60
2006-12-10,60
2006-12-11,60
2006-12-12,60
2006-12-13,60
2006-12-14,60
2006-12-15,61
2006-12-16,61
2006-12-17,59
2006-12-18,57
2006-12-19,56
2006-12-20,54
2006-12-21,52
2006-12-22,50
2006-12-23,48
2006-12-24,50
2006-12-25,52
2006-12-26,54
2006-12-27,56
2006-12-28,58
2006-12-29,60
2006-12-30,62
2006-12-31,64
2007-01-07,71
2007-01-08,67
2007-01-09,62
2007-01-10,57
2007-01-11,53
2007-01-12,48
2007-01-13,44
2007-01-14,45
2007-01-15,46
2007-01-16,47
2007-01-17,48
2007-01-18,50
2007-01-19,51
2007-01-20,52
2007-01-21,51
2007-01-22,50
2007-01-23,49
2007-01-24,48
2007-01-25,47
2007-01-26,46
2007-01-27,45
2007-01-28,44
2007-01-29,44
2007-01-30,43
2007-01-31,43
2007-02-01,42
2007-02-02,42
2007-02-03,42
2007-02-04,43
2007-02-05,45
2007-02-06,47
2007-02-07,49
2007-02-08,51
2007-02-09,53
2007-02-10,55
2007-02-11,57
2007-02-12,60
2007-02-13,63
2007-02-14,65
2007-02-15,68
2007-02-16,70
2007-02-17,73
2007-02-18,69
2007-02-19,65
2007-02-20,62
2007-02-21,58
2007-02-22,55
2007-02-23,51
2007-02-24,48
2007-02-25,50
2007-02-26,52
2007-02-27,54
2007-02-28,56
2007-03-01,58
2007-03-02,60
2007-03-03,63
2007-03-04,65
2007-03-05,68
