Date,Wells Fargo Securities
2012-01-01,77
2012-01-02,77
2012-01-03,77
2012-01-04,77
2012-01-05,77
2012-01-06,77
2012-01-07,80
2012-01-08,80
2012-01-09,76
2012-01-10,75
2012-01-11,75
2012-01-12,74
2012-01-13,74
2012-01-14,76
2012-01-15,77
2012-01-16,73
2012-01-17,73
2012-01-18,73
2012-01-19,73
2012-01-20,73
2012-01-21,75
2012-01-22,77
2012-01-23,73
2012-01-24,73
2012-01-25,73
2012-01-26,73
2012-01-27,73
2012-01-28,76
2012-01-29,79
2012-01-30,76
2012-01-31,77
2012-02-01,79
2012-02-02,81
2012-02-03,81
2012-02-04,85
2012-02-05,86
2012-02-06,81
2012-02-07,80
2012-02-08,79
2012-02-09,78
2012-02-10,77
2012-02-11,78
2012-02-12,80
2012-02-13,76
2012-02-14,77
2012-02-15,77
2012-02-16,78
2012-02-17,78
2012-02-18,81
2012-02-19,82
2012-02-20,77
2012-02-21,77
2012-02-22,76
2012-02-23,76
2012-02-24,75
2012-02-25,77
2012-02-26,79
2012-02-27,75
2012-02-28,75
2012-02-29,75
2012-03-01,75
2012-03-02,75
2012-03-03,78
2012-03-04,80
2012-03-05,75
2012-03-06,75
2012-03-07,75
2012-03-08,75
2012-03-09,75
2012-03-10,77
2012-03-11,78
2012-03-12,75
2012-03-13,75
2012-03-14,75
2012-03-15,75
2012-03-16,75
2012-03-17,79
2012-03-18,78
2012-03-19,75
2012-03-20,75
2012-03-21,74
2012-03-22,74
2012-03-23,74
2012-03-24,76
2012-03-25,77
2012-03-26,74
2012-03-27,74
2012-03-28,74
2012-03-29,74
2012-03-30,74
2012-03-31,77
2012-04-01,75
2012-04-02,76
2012-04-03,76
2012-04-04,77
2012-04-05,77
2012-04-06,78
2012-04-07,83
2012-04-08,83
2012-04-09,78
2012-04-10,77
2012-04-11,77
2012-04-12,76
2012-04-13,76
2012-04-14,79
2012-04-15,79
2012-04-16,76
2012-04-17,76
2012-04-18,77
2012-04-19,76
2012-04-20,76
2012-04-21,79
2012-04-22,78
2012-04-23,74
2012-04-24,74
2012-04-25,73
2012-04-26,73
2012-04-27,72
2012-04-28,74
2012-04-29,76
2012-04-30,74
2012-05-01,75
2012-05-02,79
2012-05-03,78
2012-05-04,79
2012-05-05,84
2012-05-06,83
2012-05-07,79
2012-05-08,78
2012-05-09,77
2012-05-10,76
2012-05-11,75
2012-05-12,77
2012-05-13,78
2012-05-14,74
2012-05-15,74
2012-05-16,75
2012-05-17,75
2012-05-18,75
2012-05-19,79
2012-05-20,79
2012-05-21,75
2012-05-22,75
2012-05-23,75
2012-05-24,74
2012-05-25,74
2012-05-26,77
2012-05-27,78
2012-05-28,74
2012-05-29,74
2012-05-30,74
2012-05-31,74
2012-06-01,74
2012-06-02,78
2012-06-03,79
2012-06-04,75
2012-06-05,75
2012-06-06,76
2012-06-07,75
2012-06-08,75
2012-06-09,79
2012-06-10,80
2012-06-11,76
2012-06-12,76
2012-06-13,76
2012-06-14,76
2012-06-15,76
2012-06-16,79
2012-06-17,80
2012-06-18,76
2012-06-19,76
2012-06-20,76
2012-06-21,76
2012-06-22,76
2012-06-23,80
2012-06-24,80
2012-06-25,77
2012-06-26,77
2012-06-27,78
2012-06-28,77
2012-06-29,77
2012-06-30,80
2012-07-01,78
2012-07-02,78
2012-07-03,78
2012-07-04,83
2012-07-05,78
2012-07-06,78
2012-07-07,81
2012-07-08,81
2012-07-09,78
2012-07-10,78
2012-07-11,79
2012-07-12,79
2012-07-13,79
2012-07-14,83
2012-07-15,83
2012-07-16,79
2012-07-17,79
2012-07-18,79
2012-07-19,79
2012-07-20,79
2012-07-21,81
2012-07-22,82
2012-07-23,78
