Date,WR Hambrecht + Co
2006-03-01,83
2006-03-02,83
2006-03-03,83
2006-03-04,83
2006-03-05,83
2006-03-06,83
2006-03-07,83
2006-03-08,83
2006-03-09,83
2006-03-10,83
2006-03-11,83
2006-03-12,83
2006-03-13,83
2006-03-14,83
2006-03-15,83
2006-03-16,83
2006-03-17,83
2006-03-18,83
2006-03-19,83
2006-03-20,83
2006-03-21,83
2006-03-22,83
2006-03-23,83
2006-03-24,83
2006-03-25,83
2006-03-26,83
2006-03-27,83
2006-03-28,83
2006-03-29,83
2006-03-30,83
2006-03-31,83
2006-04-01,84
2006-04-02,83
2006-04-03,83
2006-04-04,83
2006-04-05,83
2006-04-06,83
2006-04-07,83
2006-04-08,83
2006-04-09,83
2006-04-10,83
2006-04-11,83
2006-04-12,83
2006-04-13,83
2006-04-14,83
2006-04-15,83
2006-04-16,83
2006-04-17,83
2006-04-18,83
2006-04-19,83
2006-04-20,83
2006-04-21,83
2006-04-22,83
2006-04-23,83
2006-04-24,83
2006-04-25,83
2006-04-26,83
2006-04-27,83
2006-04-28,83
2006-04-29,83
2006-04-30,83
2006-05-01,83
2006-05-02,82
2006-05-03,82
2006-05-04,82
2006-05-05,82
2006-05-06,82
2006-05-07,82
2006-05-08,82
2006-05-09,82
2006-05-10,82
2006-05-11,82
2006-05-12,82
2006-05-13,82
2006-05-14,82
2006-05-15,82
2006-05-16,82
2006-05-17,81
2006-05-18,81
2006-05-19,81
2006-05-20,81
2006-05-21,81
2006-05-22,81
2006-05-23,81
2006-05-24,81
2006-05-25,81
2006-05-26,81
2006-05-27,81
2006-05-28,81
2006-05-29,81
2006-05-30,81
2006-05-31,81
2006-06-01,81
2006-06-02,80
2006-06-03,80
2006-06-04,80
2006-06-05,80
2006-06-06,80
2006-06-07,80
2006-06-08,80
2006-06-09,80
2006-06-10,80
2006-06-11,80
2006-06-12,80
2006-06-13,80
2006-06-14,80
2006-06-15,80
2006-06-16,80
2006-06-17,80
2006-06-18,80
2006-06-19,80
2006-06-20,80
2006-06-21,80
2006-06-22,80
2006-06-23,80
2006-06-24,80
2006-06-25,80
2006-06-26,80
2006-06-27,80
2006-06-28,80
2006-06-29,80
2006-06-30,80
2006-07-01,80
2006-07-02,80
2006-07-03,80
2006-07-04,81
2006-07-05,81
2006-07-06,81
2006-07-07,82
2006-07-08,82
2006-07-09,83
2006-07-10,83
2006-07-11,83
2006-07-12,84
2006-07-13,84
2006-07-14,85
2006-07-15,85
2006-07-16,85
2006-07-17,86
2006-07-18,86
2006-07-19,86
2006-07-20,87
2006-07-21,87
2006-07-22,88
2006-07-23,88
2006-07-24,88
2006-07-25,89
2006-07-26,89
2006-07-27,90
2006-07-28,90
2006-07-29,90
2006-07-30,91
2006-07-31,91
2006-08-01,92
2006-08-02,91
2006-08-03,90
2006-08-04,89
2006-08-05,88
2006-08-06,88
2006-08-07,87
2006-08-08,86
2006-08-09,85
2006-08-10,85
2006-08-11,84
2006-08-12,83
2006-08-13,82
2006-08-14,81
2006-08-15,81
2006-08-16,80
2006-08-17,79
2006-08-18,78
2006-08-19,78
2006-08-20,77
2006-08-21,76
2006-08-22,75
2006-08-23,74
2006-08-24,74
2006-08-25,73
2006-08-26,72
2006-08-27,71
2006-08-28,71
2006-08-29,70
2006-08-30,69
2006-08-31,68
2006-09-01,68
2006-09-02,68
2006-09-03,68
2006-09-04,68
2006-09-05,68
2006-09-06,68
2006-09-07,69
2006-09-08,69
2006-09-09,69
2006-09-10,69
2006-09-11,69
2006-09-12,69
2006-09-13,70
2006-09-14,70
2006-09-15,70
2006-09-16,70
2006-09-17,70
2006-09-18,70
2006-09-19,71
2006-09-20,71
2006-09-21,71
2006-09-22,71
2006-09-23,71
2006-09-24,71
2006-09-25,72
2006-09-26,72
2006-09-27,72
2006-09-28,72
2006-09-29,72
2006-09-30,72
2006-10-01,73
2006-10-02,72
2006-10-03,72
2006-10-04,72
2006-10-05,72
2006-10-06,72
2006-10-07,72
2006-10-08,72
2006-10-09,72
2006-10-10,72
2006-10-11,72
2006-10-12,72
2006-10-13,72
2006-10-14,72
2006-10-15,72
2006-10-16,72
2006-10-17,71
2006-10-18,71
2006-10-19,71
2006-10-20,71
2006-10-21,71
2006-10-22,71
2006-10-23,71
2006-10-24,71
2006-10-25,71
2006-10-26,71
2006-10-27,71
2006-10-28,71
2006-10-29,71
2006-10-30,71
2006-10-31,71
2006-11-01,71
2006-11-02,71
2006-11-03,71
2006-11-04,72
2006-11-05,72
2006-11-06,72
2006-11-07,73
2006-11-08,73
2006-11-09,73
2006-11-10,74
2006-11-11,74
2006-11-12,74
2006-11-13,75
2006-11-14,75
2006-11-15,75
2006-11-16,76
2006-11-17,76
2006-11-18,76
2006-11-19,77
2006-11-20,77
2006-11-21,77
2006-11-22,78
2006-11-23,78
2006-11-24,78
2006-11-25,79
2006-11-26,79
2006-11-27,79
2006-11-28,80
2006-11-29,80
2006-11-30,80
2006-12-01,81
2006-12-02,81
2006-12-03,82
2006-12-04,82
2006-12-05,83
2006-12-06,84
2006-12-07,84
2006-12-08,85
2006-12-09,85
2006-12-10,86
2006-12-11,87
2006-12-12,87
2006-12-13,88
2006-12-14,88
2006-12-15,89
2006-12-16,90
2006-12-17,90
2006-12-18,91
2006-12-19,92
2006-12-20,92
2006-12-21,93
2006-12-22,93
2006-12-23,94
2006-12-24,95
2006-12-25,95
2006-12-26,96
2006-12-27,96
2006-12-28,97
2006-12-29,98
2006-12-30,98
2006-12-31,99
2007-01-01,100
2007-01-02,99
2007-01-03,98
2007-01-04,98
2007-01-05,97
2007-01-06,97
2007-01-07,96
2007-01-08,96
2007-01-09,95
2007-01-10,95
2007-01-11,94
2007-01-12,94
2007-01-13,93
2007-01-14,93
2007-01-15,92
2007-01-16,92
2007-01-17,91
2007-01-18,91
2007-01-19,90
2007-01-20,90
2007-01-21,89
2007-01-22,89
2007-01-23,88
2007-01-24,88
2007-01-25,87
2007-01-26,87
2007-01-27,86
2007-01-28,86
