Date,FBR Capital Markets
2013-04-07,88
2013-04-08,86
2013-04-09,84
2013-04-10,81
2013-04-11,79
2013-04-12,76
2013-04-13,74
2013-04-14,73
2013-04-15,73
2013-04-16,72
2013-04-17,71
2013-04-18,71
2013-04-19,70
2013-04-20,70
2013-04-21,69
2013-04-22,67
2013-04-23,66
2013-04-24,65
2013-04-25,64
2013-04-26,63
2013-04-27,62
2013-04-28,59
2013-04-29,57
2013-04-30,55
2013-05-01,52
2013-05-02,50
2013-05-03,48
2013-05-04,46
2013-05-05,47
2013-05-06,48
2013-05-07,49
2013-05-08,50
2013-05-09,51
2013-05-10,52
2013-05-11,54
2013-05-12,53
2013-05-13,52
2013-05-14,51
2013-05-15,51
2013-05-16,50
2013-05-17,49
2013-05-18,49
2013-05-19,49
2013-05-20,49
2013-05-21,49
2013-05-22,49
2013-05-23,49
2013-05-24,49
2013-05-25,49
2013-05-26,49
2013-05-27,49
2013-05-28,49
2013-05-29,49
2013-05-30,49
2013-05-31,49
2013-06-01,49
2013-06-02,52
2013-06-03,55
2013-06-04,58
2013-06-05,61
2013-06-06,64
2013-06-07,67
2013-06-08,70
2013-06-09,70
2013-06-10,70
2013-06-11,70
2013-06-12,70
2013-06-13,70
2013-06-14,70
2013-06-15,70
2013-06-16,67
2013-06-17,65
2013-06-18,62
2013-06-19,60
2013-06-20,57
2013-06-21,55
2013-06-22,54
2013-06-23,49
2013-06-24,50
2013-06-25,51
2013-06-26,51
2013-06-27,52
2013-06-28,53
2013-06-29,54
2013-06-30,54
2013-07-07,59
2013-07-08,60
2013-07-09,60
2013-07-10,61
2013-07-11,61
2013-07-12,62
2013-07-13,63
2013-07-14,61
2013-07-15,60
2013-07-16,58
2013-07-17,56
2013-07-18,55
2013-07-19,53
2013-07-20,52
2013-07-21,52
2013-07-22,52
2013-07-23,53
2013-07-24,53
2013-07-25,54
2013-07-26,54
2013-07-27,55
2013-07-28,56
2013-07-29,56
2013-07-30,57
2013-07-31,58
2013-08-01,59
2013-08-02,60
2013-08-03,61
2013-08-04,61
2013-08-05,62
2013-08-06,63
2013-08-07,64
2013-08-08,65
2013-08-09,66
2013-08-10,67
2013-08-11,66
2013-08-12,65
2013-08-13,64
2013-08-14,63
2013-08-15,62
2013-08-16,61
2013-08-17,60
2013-08-18,61
2013-08-19,63
2013-08-20,64
2013-08-21,66
2013-08-22,67
2013-08-23,69
2013-08-24,70
2013-08-25,66
2013-08-26,62
2013-08-27,59
2013-08-28,55
2013-08-29,52
2013-08-30,48
2013-08-31,45
2013-09-01,46
2013-09-02,47
2013-09-03,48
2013-09-04,49
2013-09-05,50
2013-09-06,51
2013-09-07,52
2013-09-08,53
2013-09-09,54
2013-09-10,55
2013-09-11,56
2013-09-12,57
2013-09-13,58
2013-09-14,59
2013-09-15,57
2013-09-16,56
2013-09-17,55
2013-09-18,53
2013-09-19,52
2013-09-20,51
2013-09-21,50
2013-09-22,51
2013-09-23,53
2013-09-24,54
2013-09-25,55
2013-09-26,57
2013-09-27,58
2013-09-28,59
2013-09-29,59
2013-10-06,59
2013-10-07,60
2013-10-08,61
2013-10-09,63
2013-10-10,64
2013-10-11,65
2013-10-12,67
2013-10-13,69
2013-10-14,71
2013-10-15,73
2013-10-16,76
2013-10-17,78
2013-10-18,80
2013-10-19,83
2013-10-20,82
2013-10-21,83
2013-10-22,82
2013-10-23,82
2013-10-24,82
2013-10-25,82
2013-10-26,81
2013-10-27,79
2013-10-28,76
2013-10-29,74
2013-10-30,72
2013-10-31,70
2013-11-01,68
2013-11-02,66
2013-11-03,66
2013-11-04,67
2013-11-05,68
2013-11-06,69
2013-11-07,70
2013-11-08,71
2013-11-09,72
2013-11-10,69
2013-11-11,66
2013-11-12,62
2013-11-13,59
2013-11-14,56
2013-11-15,53
2013-11-16,50
2013-11-17,53
2013-11-18,56
2013-11-19,59
2013-11-20,62
2013-11-21,65
2013-11-22,68
2013-11-23,72
2013-11-24,70
2013-11-25,69
2013-11-26,67
2013-11-27,66
2013-11-28,64
2013-11-29,62
2013-11-30,61
2013-12-01,59
2013-12-02,56
2013-12-03,54
2013-12-04,51
2013-12-05,49
2013-12-06,47
2013-12-07,45
2013-12-08,44
2013-12-09,44
2013-12-10,43
2013-12-11,43
2013-12-12,42
2013-12-13,42
2013-12-14,42
2013-12-15,42
2013-12-16,44
2013-12-17,45
2013-12-18,46
2013-12-19,47
2013-12-20,49
2013-12-21,51
2013-12-22,48
2013-12-23,50
2013-12-24,52
2013-12-25,53
2013-12-26,55
2013-12-27,57
2013-12-28,59
2013-12-29,60
2014-01-05,73
2014-01-06,76
2014-01-07,78
2014-01-08,79
2014-01-09,81
2014-01-10,83
2014-01-11,85
2014-01-12,79
2014-01-13,72
2014-01-14,65
2014-01-15,59
2014-01-16,52
2014-01-17,46
2014-01-18,40
2014-01-19,46
2014-01-20,53
2014-01-21,60
2014-01-22,67
2014-01-23,74
2014-01-24,81
2014-01-25,87
2014-01-26,82
2014-01-27,77
2014-01-28,71
2014-01-29,66
2014-01-30,61
2014-01-31,56
2014-02-01,51
2014-02-02,49
2014-02-03,48
2014-02-04,46
2014-02-05,45
2014-02-06,43
2014-02-07,42
2014-02-08,41
2014-02-09,41
2014-02-10,42
2014-02-11,43
2014-02-12,43
2014-02-13,44
2014-02-14,45
2014-02-15,46
2014-02-16,47
2014-02-17,48
2014-02-18,49
2014-02-19,50
2014-02-20,51
2014-02-21,52
2014-02-22,53
2014-02-23,59
