Date,Roth Capital Partners
2010-11-07,29
2010-11-08,37
2010-11-09,29
2010-11-10,29
2010-11-11,29
2010-11-12,29
2010-11-13,30
2010-11-14,30
2010-11-15,30
2010-11-16,30
2010-11-17,30
2010-11-18,30
2010-11-19,30
2010-11-20,30
2010-11-21,30
2010-11-22,30
2010-11-23,30
2010-11-24,30
2010-11-25,30
2010-11-26,30
2010-11-27,30
2010-11-28,25
2010-11-29,21
2010-11-30,17
2010-12-01,12
2010-12-02,8
2010-12-03,4
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-01,0
2011-01-02,5
2011-01-03,11
2011-01-04,16
2011-01-05,22
2011-01-06,28
2011-01-07,33
2011-01-08,39
2011-01-09,38
2011-01-10,37
2011-01-11,36
2011-01-12,36
2011-01-13,35
2011-01-14,34
2011-01-15,34
2011-01-16,33
2011-01-17,33
2011-01-18,32
2011-01-19,32
2011-01-20,31
2011-01-21,31
2011-01-22,31
2011-01-23,31
2011-01-24,32
2011-01-25,32
2011-01-26,33
2011-01-27,34
2011-01-28,34
2011-01-29,36
2011-01-30,33
2011-02-06,33
2011-02-07,33
2011-02-08,33
2011-02-09,33
2011-02-10,33
2011-02-11,33
2011-02-12,33
2011-02-13,34
2011-02-14,35
2011-02-15,36
2011-02-16,37
2011-02-17,38
2011-02-18,39
2011-02-19,40
2011-02-20,41
2011-02-21,42
2011-02-22,43
2011-02-23,44
2011-02-24,45
2011-02-25,46
2011-02-26,47
2011-02-27,47
2011-02-28,47
2011-03-01,47
2011-03-02,48
2011-03-03,48
2011-03-04,48
2011-03-05,49
2011-03-06,51
2011-03-07,53
2011-03-08,55
2011-03-09,58
2011-03-10,60
2011-03-11,62
2011-03-12,65
2011-03-13,70
2011-03-14,76
2011-03-15,81
2011-03-16,86
2011-03-17,91
2011-03-18,96
2011-03-19,102
2011-03-20,92
2011-03-21,80
2011-03-22,70
2011-03-23,61
2011-03-24,51
2011-03-25,41
2011-03-26,32
2011-03-27,32
2011-05-01,30
2011-05-02,30
2011-05-03,30
2011-05-04,30
2011-05-05,30
2011-05-06,30
2011-05-07,30
2011-05-08,30
2011-05-09,30
2011-05-10,30
2011-05-11,31
2011-05-12,31
2011-05-13,31
2011-05-14,32
2011-05-15,32
2011-05-16,32
2011-05-17,32
2011-05-18,32
2011-05-19,32
2011-05-20,32
2011-05-21,32
2011-05-22,33
2011-05-23,34
2011-05-24,35
2011-05-25,36
2011-05-26,37
2011-05-27,38
2011-05-28,40
2011-05-29,38
2011-05-30,37
2011-05-31,35
2011-06-01,34
2011-06-02,32
2011-06-03,31
2011-06-04,30
2011-06-05,30
2011-06-06,30
2011-06-07,30
2011-06-08,30
2011-06-09,30
2011-06-10,30
2011-06-11,30
2011-06-12,30
2011-06-13,30
2011-06-14,30
2011-06-15,30
2011-06-16,30
2011-06-17,30
2011-06-18,30
2011-06-19,30
2011-06-20,31
2011-06-21,32
2011-06-22,33
2011-06-23,33
2011-06-24,34
2011-06-25,35
2011-06-26,35
2011-06-27,34
2011-06-28,34
2011-06-29,33
2011-06-30,33
2011-07-01,33
2011-07-02,33
2011-07-03,33
2011-07-04,33
2011-07-05,33
2011-07-06,33
2011-07-07,33
2011-07-08,33
2011-07-09,33
2011-07-10,33
2011-07-11,33
2011-07-12,33
2011-07-13,33
2011-07-14,33
2011-07-15,33
2011-07-16,33
2011-07-17,33
2011-07-18,34
2011-07-19,34
2011-07-20,35
2011-07-21,35
2011-07-22,36
2011-07-23,37
2011-07-24,37
2011-07-25,38
2011-07-26,39
2011-07-27,40
2011-07-28,41
2011-07-29,42
2011-07-30,44
2011-07-31,37
2011-08-07,24
2011-08-08,24
2011-08-09,24
2011-08-10,24
2011-08-11,24
2011-08-12,24
2011-08-13,24
2011-08-14,24
2011-08-15,24
2011-08-16,24
2011-08-17,24
2011-08-18,24
2011-08-19,24
2011-08-20,24
2011-08-21,24
2011-08-22,25
2011-08-23,25
2011-08-24,26
2011-08-25,27
2011-08-26,27
2011-08-27,28
2011-08-28,27
2011-08-29,26
2011-08-30,25
2011-08-31,25
2011-09-01,24
2011-09-02,23
2011-09-03,23
2011-09-04,23
2011-09-05,23
2011-09-06,23
2011-09-07,23
2011-09-08,23
2011-09-09,23
2011-09-10,23
2011-09-11,23
2011-09-12,23
2011-09-13,24
2011-09-14,24
2011-09-15,25
2011-09-16,25
2011-09-17,26
2011-09-18,26
2011-09-19,27
2011-09-20,27
2011-09-21,28
2011-09-22,28
2011-09-23,29
2011-09-24,30
2011-09-25,30
2011-09-26,31
2011-09-27,31
2011-09-28,32
2011-09-29,32
2011-09-30,33
2011-10-01,34
2011-10-02,34
2011-10-03,35
2011-10-04,35
2011-10-05,36
2011-10-06,36
2011-10-07,37
2011-10-08,38
2011-10-09,36
2011-10-10,35
2011-10-11,34
2011-10-12,32
2011-10-13,31
2011-10-14,30
2011-10-15,29
2011-10-16,29
2011-10-17,29
2011-10-18,29
2011-10-19,29
2011-10-20,29
2011-10-21,29
2011-10-22,29
2011-10-23,29
2011-10-24,29
2011-10-25,29
2011-10-26,29
2011-10-27,29
2011-10-28,29
2011-10-29,29
2011-10-30,30
2011-11-06,36
2011-11-07,43
2011-11-08,31
2011-11-09,29
2011-11-10,26
2011-11-11,24
2011-11-12,22
2011-11-13,22
2011-11-14,22
2011-11-15,22
2011-11-16,22
2011-11-17,22
2011-11-18,22
2011-11-19,22
2011-11-20,22
2011-11-21,22
2011-11-22,22
2011-11-23,22
2011-11-24,22
2011-11-25,22
2011-11-26,22
2011-11-27,23
2011-11-28,25
2011-11-29,27
2011-11-30,29
2011-12-01,30
2011-12-02,32
2011-12-03,34
2011-12-04,32
2011-12-05,30
2011-12-06,29
2011-12-07,27
2011-12-08,26
2011-12-09,24
2011-12-10,23
2011-12-11,23
2011-12-12,23
2011-12-13,23
2011-12-14,23
2011-12-15,23
2011-12-16,23
2011-12-17,23
2011-12-18,23
2011-12-19,22
2011-12-20,22
2011-12-21,22
2011-12-22,22
2011-12-23,22
2011-12-24,22
2011-12-25,22
2011-12-26,22
2011-12-27,22
2011-12-28,22
2011-12-29,22
2011-12-30,22
2011-12-31,22
2012-01-01,22
2012-01-02,22
2012-01-03,22
2012-01-04,22
2012-01-05,22
2012-01-06,22
2012-01-07,22
2012-01-08,22
2012-01-09,22
2012-01-10,22
2012-01-11,22
2012-01-12,22
2012-01-13,22
2012-01-14,22
2012-01-15,24
2012-01-16,26
2012-01-17,28
2012-01-18,30
2012-01-19,32
2012-01-20,34
2012-01-21,36
2012-01-22,35
2012-01-23,34
2012-01-24,33
2012-01-25,32
2012-01-26,31
2012-01-27,30
2012-01-28,30
2012-01-29,30
2012-02-05,33
2012-02-06,33
2012-02-07,33
2012-02-08,33
2012-02-09,33
2012-02-10,33
2012-02-11,33
2012-02-12,34
2012-02-13,35
2012-02-14,37
2012-02-15,38
2012-02-16,39
2012-02-17,41
2012-02-18,42
2012-02-19,41
2012-02-20,40
2012-02-21,39
2012-02-22,39
2012-02-23,38
2012-02-24,37
2012-02-25,37
2012-02-26,36
2012-02-27,36
2012-02-28,36
2012-02-29,36
2012-03-01,36
2012-03-02,36
2012-03-03,36
2012-03-04,40
2012-03-05,45
2012-03-06,49
2012-03-07,54
2012-03-08,58
2012-03-09,63
2012-03-10,68
2012-03-11,71
2012-03-12,75
2012-03-13,79
2012-03-14,82
2012-03-15,86
2012-03-16,89
2012-03-17,93
2012-03-18,87
2012-03-19,80
2012-03-20,73
2012-03-21,67
2012-03-22,61
2012-03-23,55
2012-03-24,49
2012-03-25,47
2012-03-26,45
2012-03-27,44
2012-03-28,42
2012-03-29,40
2012-03-30,38
2012-03-31,36
2012-04-01,35
2012-04-02,32
2012-04-03,30
2012-04-04,29
2012-04-05,27
2012-04-06,25
2012-04-07,24
2012-04-08,24
2012-04-09,25
2012-04-10,26
2012-04-11,26
2012-04-12,27
2012-04-13,28
2012-04-14,29
2012-04-15,27
2012-04-16,26
2012-04-17,24
2012-04-18,23
2012-04-19,21
2012-04-20,20
2012-04-21,19
2012-04-22,19
2012-04-23,19
2012-04-24,19
2012-04-25,19
2012-04-26,19
2012-04-27,20
2012-04-28,20
2012-04-29,19
2012-05-06,22
2012-05-07,22
2012-05-08,23
2012-05-09,23
2012-05-10,24
2012-05-11,24
2012-05-12,25
2012-05-13,24
2012-05-14,24
2012-05-15,24
2012-05-16,24
2012-05-17,24
2012-05-18,24
2012-05-19,24
2012-05-20,24
2012-05-21,24
2012-05-22,24
2012-05-23,24
2012-05-24,24
2012-05-25,24
2012-05-26,24
2012-05-27,23
2012-05-28,22
2012-05-29,22
2012-05-30,21
2012-05-31,21
2012-06-01,20
2012-06-02,20
2012-06-03,20
2012-06-04,20
2012-06-05,20
2012-06-06,20
2012-06-07,20
2012-06-08,20
2012-06-09,21
2012-06-10,21
2012-06-11,21
2012-06-12,21
2012-06-13,22
2012-06-14,22
2012-06-15,22
2012-06-16,23
2012-06-17,23
2012-06-18,23
2012-06-19,23
2012-06-20,23
2012-06-21,23
2012-06-22,23
2012-06-23,24
2012-06-24,24
2012-06-25,24
2012-06-26,24
2012-06-27,25
2012-06-28,25
2012-06-29,25
2012-06-30,26
2012-07-01,26
2012-07-02,26
2012-07-03,26
