Date,Aegis Capital
2012-11-04,67
2012-11-05,68
2012-11-06,68
2012-11-07,69
2012-11-08,69
2012-11-09,70
2012-11-10,71
2012-11-11,71
2012-11-12,71
2012-11-13,71
2012-11-14,71
2012-11-15,71
2012-11-16,71
2012-11-17,72
2012-11-18,68
2012-11-19,65
2012-11-20,62
2012-11-21,58
2012-11-22,55
2012-11-23,52
2012-11-24,49
2012-11-25,53
2012-11-26,57
2012-11-27,61
2012-11-28,65
2012-11-29,69
2012-11-30,73
2012-12-01,78
2012-12-02,79
2012-12-03,79
2012-12-04,80
2012-12-05,82
2012-12-06,83
2012-12-07,84
2012-12-08,86
2012-12-09,84
2012-12-10,82
2012-12-11,80
2012-12-12,79
2012-12-13,77
2012-12-14,75
2012-12-15,74
2012-12-16,72
2012-12-17,70
2012-12-18,68
2012-12-19,67
2012-12-20,65
2012-12-21,63
2012-12-22,62
2012-12-23,61
2012-12-24,61
2012-12-25,61
2012-12-26,61
2012-12-27,61
2012-12-28,61
2012-12-29,61
2012-12-30,61
2012-12-31,61
2013-01-01,61
2013-01-02,61
2013-01-03,61
2013-01-04,61
2013-01-05,61
2013-01-06,61
2013-01-07,61
2013-01-08,61
2013-01-09,61
2013-01-10,61
2013-01-11,61
2013-01-12,61
2013-01-13,61
2013-01-14,61
2013-01-15,61
2013-01-16,61
2013-01-17,61
2013-01-18,61
2013-01-19,61
2013-01-20,62
2013-01-21,64
2013-01-22,65
2013-01-23,66
2013-01-24,68
2013-01-25,69
2013-01-26,70
2013-01-27,72
2013-02-03,79
2013-02-04,77
2013-02-05,75
2013-02-06,72
2013-02-07,70
2013-02-08,68
2013-02-09,65
2013-02-10,62
2013-02-11,59
2013-02-12,56
2013-02-13,53
2013-02-14,50
2013-02-15,47
2013-02-16,45
2013-02-17,50
2013-02-18,56
2013-02-19,61
2013-02-20,67
2013-02-21,72
2013-02-22,78
2013-02-23,84
2013-02-24,83
2013-02-25,82
2013-02-26,81
2013-02-27,81
2013-02-28,80
2013-03-01,79
2013-03-02,79
2013-03-03,82
2013-03-04,85
2013-03-05,88
2013-03-06,91
2013-03-07,94
2013-03-08,97
2013-03-09,100
2013-03-10,96
2013-03-11,90
2013-03-12,85
2013-03-13,81
2013-03-14,76
2013-03-15,71
2013-03-16,67
2013-03-17,64
2013-03-18,61
2013-03-19,58
2013-03-20,55
2013-03-21,52
2013-03-22,49
2013-03-23,47
2013-03-24,53
2013-03-25,59
2013-03-26,66
2013-03-27,72
2013-03-28,78
2013-03-29,84
2013-03-30,91
2013-03-31,84
2013-05-05,49
2013-05-06,51
2013-05-07,53
2013-05-08,55
2013-05-09,57
2013-05-10,59
2013-05-11,60
2013-05-12,59
2013-05-13,57
2013-05-14,56
2013-05-15,55
2013-05-16,53
2013-05-17,52
2013-05-18,51
2013-05-19,51
2013-05-20,51
2013-05-21,51
2013-05-22,51
2013-05-23,51
2013-05-24,51
2013-05-25,51
2013-05-26,50
2013-05-27,50
2013-05-28,49
2013-05-29,49
2013-05-30,48
2013-05-31,48
2013-06-01,48
2013-06-02,50
2013-06-03,52
2013-06-04,54
2013-06-05,57
2013-06-06,59
2013-06-07,61
2013-06-08,63
2013-06-09,63
2013-06-10,62
2013-06-11,61
2013-06-12,61
2013-06-13,60
2013-06-14,60
2013-06-15,60
2013-06-16,60
2013-06-17,60
2013-06-18,60
2013-06-19,60
2013-06-20,60
2013-06-21,60
2013-06-22,60
2013-06-23,60
2013-06-24,61
2013-06-25,61
2013-06-26,62
2013-06-27,62
2013-06-28,63
2013-06-29,64
2013-06-30,65
2013-07-01,66
2013-07-02,67
2013-07-03,69
2013-07-04,70
2013-07-05,71
2013-07-06,73
2013-07-07,74
2013-07-08,75
2013-07-09,77
2013-07-10,78
2013-07-11,79
2013-07-12,81
2013-07-13,82
2013-07-14,77
2013-07-15,71
2013-07-16,66
2013-07-17,61
2013-07-18,56
2013-07-19,51
2013-07-20,46
2013-07-21,49
2013-07-22,53
2013-07-23,57
2013-07-24,61
2013-07-25,65
2013-07-26,69
2013-07-27,73
2013-07-28,73
2013-08-04,76
2013-08-05,76
2013-08-06,76
2013-08-07,76
2013-08-08,76
2013-08-09,76
2013-08-10,77
2013-08-11,76
2013-08-12,75
2013-08-13,74
2013-08-14,73
2013-08-15,72
2013-08-16,72
2013-08-17,71
2013-08-18,69
2013-08-19,66
2013-08-20,64
2013-08-21,62
2013-08-22,60
2013-08-23,58
2013-08-24,56
2013-08-25,56
2013-08-26,56
2013-08-27,56
2013-08-28,56
2013-08-29,56
2013-08-30,56
2013-08-31,56
2013-09-01,55
2013-09-02,54
2013-09-03,53
2013-09-04,52
2013-09-05,51
2013-09-06,50
2013-09-07,49
2013-09-08,49
2013-09-09,49
2013-09-10,49
2013-09-11,49
2013-09-12,49
2013-09-13,49
2013-09-14,49
2013-09-15,49
2013-09-16,50
2013-09-17,50
2013-09-18,51
2013-09-19,51
2013-09-20,52
2013-09-21,53
2013-09-22,55
2013-09-23,58
2013-09-24,61
2013-09-25,63
2013-09-26,66
2013-09-27,69
2013-09-28,72
2013-09-29,71
2013-09-30,70
2013-10-01,69
2013-10-02,69
2013-10-03,68
2013-10-04,67
2013-10-05,67
2013-10-06,65
2013-10-07,63
2013-10-08,61
2013-10-09,59
2013-10-10,57
2013-10-11,55
2013-10-12,53
2013-10-13,55
2013-10-14,57
2013-10-15,59
2013-10-16,62
2013-10-17,64
2013-10-18,66
2013-10-19,69
2013-10-20,70
2013-10-21,73
2013-10-22,74
2013-10-23,76
2013-10-24,78
