Date,BMO Capital Markets
2013-05-05,60
2013-05-06,54
2013-05-07,48
2013-05-08,42
2013-05-09,36
2013-05-10,30
2013-05-11,24
2013-05-12,28
2013-05-13,33
2013-05-14,38
2013-05-15,42
2013-05-16,47
2013-05-17,51
2013-05-18,56
2013-05-19,55
2013-05-20,53
2013-05-21,52
2013-05-22,51
2013-05-23,49
2013-05-24,48
2013-05-25,47
2013-05-26,45
2013-05-27,43
2013-05-28,42
2013-05-29,40
2013-05-30,39
2013-05-31,37
2013-06-01,36
2013-06-02,37
2013-06-03,38
2013-06-04,40
2013-06-05,41
2013-06-06,43
2013-06-07,44
2013-06-08,46
2013-06-09,44
2013-06-10,42
2013-06-11,40
2013-06-12,39
2013-06-13,37
2013-06-14,35
2013-06-15,34
2013-06-16,33
2013-06-17,32
2013-06-18,31
2013-06-19,30
2013-06-20,29
2013-06-21,28
2013-06-22,28
2013-06-23,30
2013-06-24,32
2013-06-25,34
2013-06-26,36
2013-06-27,38
2013-06-28,40
2013-06-29,42
2013-06-30,44
2013-07-01,45
2013-07-02,47
2013-07-03,48
2013-07-04,50
2013-07-05,52
2013-07-06,54
2013-07-07,53
2013-07-08,53
2013-07-09,52
2013-07-10,52
2013-07-11,51
2013-07-12,51
2013-07-13,51
2013-07-14,49
2013-07-15,48
2013-07-16,47
2013-07-17,45
2013-07-18,44
2013-07-19,43
2013-07-20,42
2013-07-21,42
2013-07-22,43
2013-07-23,44
2013-07-24,44
2013-07-25,45
2013-07-26,46
2013-07-27,47
2013-07-28,49
2013-08-04,68
2013-08-05,69
2013-08-06,70
2013-08-07,71
2013-08-08,72
2013-08-09,73
2013-08-10,74
2013-08-11,69
2013-08-12,63
2013-08-13,58
2013-08-14,52
2013-08-15,47
2013-08-16,42
2013-08-17,37
2013-08-18,39
2013-08-19,41
2013-08-20,43
2013-08-21,45
2013-08-22,47
2013-08-23,49
2013-08-24,51
2013-08-25,52
2013-08-26,53
2013-08-27,54
2013-08-28,55
2013-08-29,56
2013-08-30,57
2013-08-31,58
2013-09-01,57
2013-09-02,56
2013-09-03,55
2013-09-04,54
2013-09-05,53
2013-09-06,52
2013-09-07,52
2013-09-08,58
2013-09-09,66
2013-09-10,73
2013-09-11,80
2013-09-12,87
2013-09-13,94
2013-09-14,100
2013-09-15,96
2013-09-16,90
2013-09-17,85
2013-09-18,80
2013-09-19,75
2013-09-20,70
2013-09-21,66
2013-09-22,66
2013-09-23,67
2013-09-24,68
2013-09-25,69
2013-09-26,69
2013-09-27,70
2013-09-28,71
2013-09-29,70
2013-09-30,68
2013-10-01,67
2013-10-02,66
2013-10-03,64
2013-10-04,63
2013-10-05,62
2013-10-06,60
2013-10-07,58
2013-10-08,57
2013-10-09,55
2013-10-10,54
2013-10-11,52
2013-10-12,51
2013-10-13,53
2013-10-14,56
2013-10-15,59
2013-10-16,62
2013-10-17,65
2013-10-18,68
2013-10-19,71
2013-10-20,69
2013-10-21,67
2013-10-22,65
2013-10-23,63
2013-10-24,61
2013-10-25,59
2013-10-26,57
2013-10-27,54
2013-11-03,45
2013-11-04,48
2013-11-05,51
2013-11-06,55
2013-11-07,58
2013-11-08,61
2013-11-09,65
2013-11-10,65
2013-11-11,65
2013-11-12,66
2013-11-13,66
2013-11-14,66
2013-11-15,66
2013-11-16,67
2013-11-17,66
2013-11-18,66
2013-11-19,65
2013-11-20,64
2013-11-21,64
2013-11-22,63
2013-11-23,62
2013-11-24,59
2013-11-25,55
2013-11-26,52
2013-11-27,48
2013-11-28,45
2013-11-29,42
2013-11-30,39
2013-12-01,40
2013-12-02,42
2013-12-03,44
2013-12-04,45
2013-12-05,47
2013-12-06,49
2013-12-07,51
2013-12-08,52
2013-12-09,53
2013-12-10,54
2013-12-11,55
2013-12-12,56
2013-12-13,57
2013-12-14,58
2013-12-15,56
2013-12-16,55
2013-12-17,53
2013-12-18,52
2013-12-19,50
2013-12-20,49
2013-12-21,47
2013-12-22,44
2013-12-23,41
2013-12-24,38
2013-12-25,35
2013-12-26,32
2013-12-27,29
2013-12-28,27
2013-12-29,28
2013-12-30,30
2013-12-31,32
2014-01-01,34
2014-01-02,36
2014-01-03,38
2014-01-04,40
2014-01-05,46
2014-01-06,54
2014-01-07,61
2014-01-08,68
2014-01-09,75
2014-01-10,82
2014-01-11,88
2014-01-12,86
2014-01-13,82
2014-01-14,79
2014-01-15,77
2014-01-16,74
2014-01-17,71
2014-01-18,69
2014-01-19,70
2014-01-20,71
2014-01-21,72
2014-01-22,73
2014-01-23,74
2014-01-24,75
2014-01-25,76
2014-01-26,73
2014-02-02,58
2014-02-03,58
2014-02-04,58
2014-02-05,58
2014-02-06,58
2014-02-07,58
2014-02-08,58
2014-02-09,60
2014-02-10,63
2014-02-11,66
2014-02-12,68
2014-02-13,71
2014-02-14,74
2014-02-15,76
2014-02-16,71
2014-02-17,64
2014-02-18,59
2014-02-19,53
2014-02-20,48
2014-02-21,43
2014-02-22,38
2014-02-23,40
