Date,Cantor Fitzgerald
2006-08-06,12
2006-08-07,13
2006-08-08,13
2006-08-09,14
2006-08-10,15
2006-08-11,15
2006-08-12,16
2006-08-13,15
2006-08-14,15
2006-08-15,14
2006-08-16,14
2006-08-17,13
2006-08-18,13
2006-08-19,13
2006-08-20,13
2006-08-21,14
2006-08-22,15
2006-08-23,16
2006-08-24,16
2006-08-25,17
2006-08-26,18
2006-08-27,16
2006-08-28,15
2006-08-29,13
2006-08-30,12
2006-08-31,10
2006-09-01,9
2006-09-02,8
2006-09-03,12
2006-09-04,16
2006-09-05,20
2006-09-06,25
2006-09-07,29
2006-09-08,33
2006-09-09,38
2006-09-10,46
2006-09-11,56
2006-09-12,66
2006-09-13,75
2006-09-14,85
2006-09-15,95
2006-09-16,105
2006-09-17,94
2006-09-18,76
2006-09-19,64
2006-09-20,52
2006-09-21,40
2006-09-22,28
2006-09-23,16
2006-09-24,15
2006-09-25,15
2006-09-26,15
2006-09-27,14
2006-09-28,14
2006-09-29,14
2006-09-30,14
2006-10-01,14
2006-10-02,14
2006-10-03,14
2006-10-04,14
2006-10-05,14
2006-10-06,14
2006-10-07,14
2006-10-08,13
2006-10-09,12
2006-10-10,12
2006-10-11,11
2006-10-12,11
2006-10-13,10
2006-10-14,10
2006-10-15,9
2006-10-16,9
2006-10-17,9
2006-10-18,8
2006-10-19,8
2006-10-20,8
2006-10-21,8
2006-10-22,9
2006-10-23,10
2006-10-24,11
2006-10-25,12
2006-10-26,13
2006-10-27,14
2006-10-28,15
2006-10-29,14
2006-11-05,10
2006-11-06,10
2006-11-07,10
2006-11-08,10
2006-11-09,10
2006-11-10,10
2006-11-11,10
2006-11-12,10
2006-11-13,10
2006-11-14,10
2006-11-15,10
2006-11-16,10
2006-11-17,10
2006-11-18,10
2006-11-19,9
2006-11-20,9
2006-11-21,9
2006-11-22,8
2006-11-23,8
2006-11-24,8
2006-11-25,8
2006-11-26,7
2006-11-27,7
2006-11-28,7
2006-11-29,6
2006-11-30,6
2006-12-01,6
2006-12-02,6
2006-12-03,6
2006-12-04,6
2006-12-05,7
2006-12-06,7
2006-12-07,8
2006-12-08,8
2006-12-09,9
2006-12-10,9
2006-12-11,10
2006-12-12,10
2006-12-13,10
2006-12-14,11
2006-12-15,11
2006-12-16,12
2006-12-17,11
2006-12-18,10
2006-12-19,9
2006-12-20,9
2006-12-21,8
2006-12-22,7
2006-12-23,7
2006-12-24,7
2006-12-25,7
2006-12-26,7
2006-12-27,8
2006-12-28,8
2006-12-29,8
2006-12-30,9
2006-12-31,9
2007-01-01,9
2007-01-02,9
2007-01-03,10
2007-01-04,10
2007-01-05,10
2007-01-06,11
2007-01-07,10
2007-01-08,10
2007-01-09,10
2007-01-10,9
2007-01-11,9
2007-01-12,9
2007-01-13,9
2007-01-14,9
2007-01-15,9
2007-01-16,9
2007-01-17,9
2007-01-18,9
2007-01-19,9
2007-01-20,10
2007-01-21,10
2007-01-22,10
2007-01-23,10
2007-01-24,11
2007-01-25,11
2007-01-26,11
2007-01-27,12
2007-01-28,11
2007-02-04,10
2007-02-05,10
2007-02-06,10
2007-02-07,9
2007-02-08,9
2007-02-09,9
2007-02-10,9
2007-02-11,9
2007-02-12,9
2007-02-13,9
2007-02-14,9
2007-02-15,9
2007-02-16,9
2007-02-17,10
2007-02-18,9
2007-02-19,9
2007-02-20,9
2007-02-21,9
2007-02-22,9
2007-02-23,9
2007-02-24,9
2007-02-25,9
2007-02-26,9
