Date,Cohen and Company
2007-11-01,49
2007-11-02,49
2007-11-03,49
2007-11-04,49
2007-11-05,49
2007-11-06,49
2007-11-07,49
2007-11-08,49
2007-11-09,49
2007-11-10,49
2007-11-11,49
2007-11-12,49
2007-11-13,49
2007-11-14,49
2007-11-15,49
2007-11-16,49
2007-11-17,49
2007-11-18,49
2007-11-19,49
2007-11-20,49
2007-11-21,49
2007-11-22,49
2007-11-23,49
2007-11-24,49
2007-11-25,49
2007-11-26,49
2007-11-27,49
2007-11-28,49
2007-11-29,49
2007-11-30,49
2007-12-01,49
2007-12-02,49
2007-12-03,49
2007-12-04,50
2007-12-05,50
2007-12-06,50
2007-12-07,51
2007-12-08,51
2007-12-09,51
2007-12-10,52
2007-12-11,52
2007-12-12,52
2007-12-13,53
2007-12-14,53
2007-12-15,53
2007-12-16,54
2007-12-17,54
2007-12-18,55
2007-12-19,55
2007-12-20,55
2007-12-21,56
2007-12-22,56
2007-12-23,56
2007-12-24,57
2007-12-25,57
2007-12-26,57
2007-12-27,58
2007-12-28,58
2007-12-29,58
2007-12-30,59
2007-12-31,59
2008-01-01,60
2008-01-02,60
2008-01-03,61
2008-01-04,62
2008-01-05,63
2008-01-06,63
2008-01-07,64
2008-01-08,65
2008-01-09,66
2008-01-10,66
2008-01-11,67
2008-01-12,68
2008-01-13,69
2008-01-14,70
2008-01-15,70
2008-01-16,71
2008-01-17,72
2008-01-18,73
2008-01-19,73
2008-01-20,74
2008-01-21,75
2008-01-22,76
2008-01-23,77
2008-01-24,77
2008-01-25,78
2008-01-26,79
2008-01-27,80
2008-01-28,80
2008-01-29,81
2008-01-30,82
2008-01-31,83
2008-02-01,84
2008-02-02,83
2008-02-03,83
2008-02-04,82
2008-02-05,82
2008-02-06,82
2008-02-07,81
2008-02-08,81
2008-02-09,81
2008-02-10,80
2008-02-11,80
2008-02-12,80
2008-02-13,79
2008-02-14,79
2008-02-15,79
2008-02-16,78
2008-02-17,78
2008-02-18,78
2008-02-19,77
2008-02-20,77
2008-02-21,77
2008-02-22,76
2008-02-23,76
2008-02-24,76
2008-02-25,75
2008-02-26,75
2008-02-27,75
2008-02-28,74
2008-02-29,74
2008-03-01,74
2008-03-02,74
2008-03-03,74
2008-03-04,75
2008-03-05,75
2008-03-06,75
2008-03-07,76
2008-03-08,76
2008-03-09,77
2008-03-10,77
2008-03-11,77
2008-03-12,78
2008-03-13,78
2008-03-14,79
2008-03-15,79
2008-03-16,79
2008-03-17,80
2008-03-18,80
2008-03-19,80
2008-03-20,81
2008-03-21,81
2008-03-22,82
2008-03-23,82
2008-03-24,82
2008-03-25,83
2008-03-26,83
2008-03-27,84
2008-03-28,84
2008-03-29,84
2008-03-30,85
2008-03-31,85
2008-04-01,86
2008-04-02,85
2008-04-03,84
2008-04-04,84
2008-04-05,83
2008-04-06,83
2008-04-07,82
2008-04-08,82
2008-04-09,81
2008-04-10,80
2008-04-11,80
2008-04-12,79
2008-04-13,79
2008-04-14,78
2008-04-15,78
2008-04-16,77
2008-04-17,76
2008-04-18,76
2008-04-19,75
2008-04-20,75
2008-04-21,74
2008-04-22,74
2008-04-23,73
2008-04-24,72
2008-04-25,72
2008-04-26,71
2008-04-27,71
2008-04-28,70
2008-04-29,70
2008-04-30,69
2008-05-01,69
2008-05-02,68
2008-05-03,67
2008-05-04,67
2008-05-05,66
2008-05-06,65
2008-05-07,65
2008-05-08,64
2008-05-09,64
2008-05-10,63
2008-05-11,62
2008-05-12,62
2008-05-13,61
2008-05-14,61
2008-05-15,60
2008-05-16,59
2008-05-17,59
2008-05-18,58
2008-05-19,57
2008-05-20,57
2008-05-21,56
2008-05-22,56
2008-05-23,55
2008-05-24,54
2008-05-25,54
2008-05-26,53
2008-05-27,53
2008-05-28,52
2008-05-29,51
2008-05-30,51
2008-05-31,50
2008-06-01,50
2008-06-02,50
2008-06-03,51
2008-06-04,52
2008-06-05,53
2008-06-06,53
2008-06-07,54
2008-06-08,55
2008-06-09,56
2008-06-10,56
2008-06-11,57
2008-06-12,58
2008-06-13,59
2008-06-14,59
2008-06-15,60
2008-06-16,61
2008-06-17,62
2008-06-18,63
2008-06-19,63
2008-06-20,64
2008-06-21,65
2008-06-22,66
2008-06-23,66
2008-06-24,67
2008-06-25,68
2008-06-26,69
2008-06-27,69
2008-06-28,70
2008-06-29,71
2008-06-30,72
2008-07-01,73
2008-07-02,73
2008-07-03,73
2008-07-04,74
2008-07-05,74
2008-07-06,74
2008-07-07,75
2008-07-08,75
2008-07-09,76
2008-07-10,76
2008-07-11,76
2008-07-12,77
2008-07-13,77
2008-07-14,78
2008-07-15,78
2008-07-16,78
2008-07-17,79
2008-07-18,79
2008-07-19,79
2008-07-20,80
2008-07-21,80
2008-07-22,81
2008-07-23,81
2008-07-24,81
2008-07-25,82
2008-07-26,82
2008-07-27,83
2008-07-28,83
2008-07-29,83
2008-07-30,84
2008-07-31,84
2008-08-01,85
2008-08-02,84
2008-08-03,84
2008-08-04,83
2008-08-05,83
2008-08-06,82
2008-08-07,82
2008-08-08,81
2008-08-09,81
2008-08-10,80
2008-08-11,80
2008-08-12,79
2008-08-13,79
2008-08-14,78
2008-08-15,78
2008-08-16,77
2008-08-17,77
2008-08-18,76
2008-08-19,76
2008-08-20,75
2008-08-21,75
2008-08-22,74
2008-08-23,74
2008-08-24,73
2008-08-25,73
2008-08-26,72
2008-08-27,72
2008-08-28,71
2008-08-29,71
2008-08-30,70
2008-08-31,70
2008-09-01,70
2008-09-02,71
2008-09-03,72
2008-09-04,73
2008-09-05,74
2008-09-06,75
2008-09-07,76
2008-09-08,77
2008-09-09,78
2008-09-10,79
2008-09-11,80
2008-09-12,81
2008-09-13,82
2008-09-14,83
2008-09-15,84
2008-09-16,85
2008-09-17,86
2008-09-18,87
2008-09-19,88
2008-09-20,89
2008-09-21,90
2008-09-22,91
2008-09-23,92
2008-09-24,93
2008-09-25,94
2008-09-26,95
2008-09-27,96
2008-09-28,97
2008-09-29,98
2008-09-30,99
2008-10-01,100
2008-10-02,99
2008-10-03,99
2008-10-04,99
2008-10-05,98
2008-10-06,98
2008-10-07,98
2008-10-08,98
2008-10-09,97
2008-10-10,97
2008-10-11,97
2008-10-12,97
2008-10-13,96
2008-10-14,96
2008-10-15,96
2008-10-16,96
2008-10-17,95
2008-10-18,95
2008-10-19,95
2008-10-20,95
2008-10-21,94
2008-10-22,94
2008-10-23,94
2008-10-24,94
2008-10-25,93
