Date,JPMorgan Chase
2004-01-01,100
2004-02-01,84
2004-03-01,89
2004-04-01,92
2004-05-01,45
2004-06-01,67
2004-07-01,63
2004-08-01,64
2004-09-01,65
2004-10-01,42
2004-11-01,73
2004-12-01,68
2005-01-02,100
2005-01-09,78
2005-01-16,88
2005-01-23,97
2005-01-30,82
2005-02-06,82
2005-02-13,82
2005-02-20,70
2005-02-27,70
2005-03-06,70
2005-03-13,70
2005-03-20,70
2005-03-27,69
2005-04-03,71
2005-04-10,74
2005-04-17,77
2005-04-24,68
2005-05-01,68
2005-05-08,68
2005-05-15,0
2005-05-22,0
2005-05-29,0
2005-06-05,0
2005-06-12,0
2005-06-19,0
2005-06-26,0
2005-07-03,0
2005-07-10,92
2005-07-17,95
2005-07-24,63
2005-07-31,63
2005-08-07,63
2005-08-14,67
2005-08-21,70
2005-08-28,74
2005-09-04,78
2005-09-11,82
2005-09-18,80
2005-09-25,80
2005-10-02,64
2005-10-09,64
2005-10-16,93
2005-10-23,63
2005-10-30,52
2005-11-06,58
2005-11-13,65
2005-11-20,61
2005-11-27,63
2005-12-04,83
2005-12-11,79
2005-12-18,0
2005-12-25,0
2006-01-01,65
2006-01-08,100
2006-01-15,44
2006-01-22,72
2006-01-29,74
2006-02-05,40
2006-02-12,43
2006-02-19,66
2006-02-26,54
2006-03-05,44
2006-03-12,63
2006-03-19,77
2006-03-26,59
2006-04-02,64
2006-04-09,43
2006-04-16,50
2006-04-23,59
2006-04-30,45
2006-05-07,40
2006-05-14,40
2006-05-21,58
2006-05-28,66
2006-06-04,74
2006-06-11,38
2006-06-18,52
2006-06-25,41
2006-07-02,46
2006-07-09,58
2006-07-16,70
2006-07-23,59
2006-07-30,47
2006-08-06,51
2006-08-13,40
2006-08-20,41
2006-08-27,33
2006-09-03,52
2006-09-10,70
2006-09-17,89
2006-09-24,35
2006-10-01,51
2006-10-08,56
2006-10-15,49
2006-10-22,46
2006-10-29,94
2006-11-05,47
2006-11-12,45
2006-11-19,44
2006-11-26,42
2006-12-03,68
2006-12-10,56
2006-12-17,56
2006-12-24,69
2006-12-31,59
2007-01-07,92
2007-01-14,89
2007-01-21,80
2007-01-28,98
2007-02-04,49
2007-02-11,69
2007-02-18,50
2007-02-25,78
2007-03-04,66
2007-03-11,66
2007-03-18,56
2007-03-25,100
2007-04-01,59
2007-04-08,68
2007-04-15,64
2007-04-22,56
2007-04-29,62
2007-05-06,62
2007-05-13,66
2007-05-20,68
2007-05-27,70
2007-06-03,89
2007-06-10,59
2007-06-17,78
2007-06-24,39
2007-07-01,41
2007-07-08,54
2007-07-15,74
2007-07-22,64
2007-07-29,60
2007-08-05,72
2007-08-12,48
2007-08-19,69
2007-08-26,53
2007-09-02,53
2007-09-09,48
2007-09-16,61
2007-09-23,71
2007-09-30,77
2007-10-07,79
2007-10-14,94
2007-10-21,98
2007-10-28,69
2007-11-04,80
2007-11-11,88
2007-11-18,47
2007-11-25,95
2007-12-02,89
2007-12-09,66
2007-12-16,57
2007-12-23,69
2007-12-30,72
2008-01-06,23
2008-01-13,50
2008-01-20,26
2008-01-27,29
2008-02-03,20
2008-02-10,33
2008-02-17,19
2008-02-24,19
2008-03-02,27
2008-03-09,30
2008-03-16,81
2008-03-23,37
2008-03-30,32
2008-04-06,28
2008-04-13,41
2008-04-20,23
2008-04-27,41
2008-05-04,23
2008-05-11,27
2008-05-18,22
2008-05-25,19
2008-06-01,24
2008-06-08,22
2008-06-15,24
2008-06-22,23
2008-06-29,15
2008-07-06,22
2008-07-13,53
2008-07-20,36
2008-07-27,29
2008-08-03,20
2008-08-10,24
2008-08-17,34
2008-08-24,24
2008-08-31,16
2008-09-07,31
2008-09-14,70
2008-09-21,100
2008-09-28,85
2008-10-05,76
2008-10-12,79
2008-10-19,46
2008-10-26,50
2008-11-02,39
2008-11-09,34
2008-11-16,57
2008-11-23,47
2008-11-30,40
2008-12-07,38
2008-12-14,31
2008-12-21,27
2008-12-28,31
2009-01-04,42
2009-01-11,88
2009-01-18,47
2009-01-25,45
2009-02-01,50
2009-02-08,49
2009-02-15,44
2009-02-22,62
2009-03-01,66
2009-03-08,68
2009-03-15,48
2009-03-22,58
2009-03-29,51
2009-04-05,48
2009-04-12,100
2009-04-19,53
2009-04-26,38
2009-05-03,43
2009-05-10,36
2009-05-17,33
2009-05-24,31
2009-05-31,36
2009-06-07,26
2009-06-14,37
2009-06-21,41
2009-06-28,28
2009-07-05,37
2009-07-12,66
2009-07-19,42
2009-07-26,28
2009-08-02,40
2009-08-09,40
2009-08-16,37
2009-08-23,28
2009-08-30,31
2009-09-06,29
2009-09-13,39
2009-09-20,37
2009-09-27,35
2009-10-04,38
2009-10-11,75
2009-10-18,46
2009-10-25,39
2009-11-01,44
2009-11-08,41
2009-11-15,37
2009-11-22,29
2009-11-29,37
2009-12-06,32
2009-12-13,33
2009-12-20,29
2009-12-27,24
2010-01-03,46
2010-01-10,100
2010-01-17,67
2010-01-24,55
2010-01-31,51
2010-02-07,59
2010-02-14,41
2010-02-21,41
2010-02-28,45
2010-03-07,61
2010-03-14,45
2010-03-21,40
2010-03-28,37
2010-04-04,35
2010-04-11,68
2010-04-18,58
2010-04-25,45
2010-05-02,48
2010-05-09,40
2010-05-16,46
2010-05-23,33
2010-05-30,30
2010-06-06,41
2010-06-13,37
2010-06-20,33
2010-06-27,30
2010-07-04,36
2010-07-11,73
2010-07-18,44
2010-07-25,36
2010-08-01,43
2010-08-08,41
2010-08-15,31
2010-08-22,31
2010-08-29,37
2010-09-05,33
2010-09-12,44
2010-09-19,43
2010-09-26,44
2010-10-03,43
2010-10-10,68
2010-10-17,45
2010-10-24,41
2010-10-31,52
2010-11-07,41
2010-11-14,44
2010-11-21,52
2010-11-28,48
2010-12-05,44
2010-12-12,36
2010-12-19,35
2010-12-26,36
2011-01-02,55
2011-01-09,87
2011-01-16,79
2011-01-23,54
2011-01-30,70
2011-02-06,67
2011-02-13,71
2011-02-20,54
2011-02-27,52
2011-03-06,44
2011-03-13,43
2011-03-20,61
2011-03-27,60
2011-04-03,56
2011-04-10,97
2011-04-17,53
2011-04-24,59
2011-05-01,54
2011-05-08,53
2011-05-15,39
2011-05-22,35
2011-05-29,36
2011-06-05,42
2011-06-12,44
2011-06-19,56
2011-06-26,60
2011-07-03,57
2011-07-10,83
2011-07-17,66
2011-07-24,46
2011-07-31,55
2011-08-07,86
2011-08-14,63
2011-08-21,81
2011-08-28,43
2011-09-04,47
2011-09-11,46
2011-09-18,70
2011-09-25,56
2011-10-02,58
2011-10-09,100
2011-10-16,63
2011-10-23,66
2011-10-30,74
2011-11-06,62
2011-11-13,57
2011-11-20,35
2011-11-27,61
2011-12-04,53
2011-12-11,50
2011-12-18,40
2011-12-25,26
2012-01-01,13
2012-01-08,23
2012-01-15,20
2012-01-22,14
2012-01-29,17
2012-02-05,16
2012-02-12,14
2012-02-19,12
2012-02-26,15
2012-03-04,16
2012-03-11,20
2012-03-18,18
2012-03-25,21
2012-04-01,17
2012-04-08,26
2012-04-15,15
2012-04-22,14
2012-04-29,14
2012-05-06,59
2012-05-13,100
2012-05-20,39
2012-05-27,22
2012-06-03,22
2012-06-10,23
2012-06-17,22
2012-06-24,26
2012-07-01,20
2012-07-08,39
2012-07-15,26
2012-07-22,18
2012-07-29,17
2012-08-05,12
2012-08-12,13
2012-08-19,14
2012-08-26,12
2012-09-02,15
2012-09-09,16
2012-09-16,20
2012-09-23,15
2012-09-30,19
2012-10-07,24
2012-10-14,20
2012-10-21,17
2012-10-28,20
2012-11-04,14
2012-11-11,24
2012-11-18,17
2012-11-25,16
2012-12-02,14
2012-12-09,16
2012-12-16,11
2012-12-23,9
2012-12-30,16
2013-01-06,56
2013-01-13,72
2013-01-20,48
2013-01-27,65
2013-02-03,41
2013-02-10,37
2013-02-17,38
2013-02-24,64
2013-03-03,54
2013-03-10,59
2013-03-17,53
2013-03-24,54
2013-03-31,47
2013-04-07,60
2013-04-14,51
2013-04-21,47
2013-04-28,54
2013-05-05,54
2013-05-12,51
2013-05-19,55
2013-05-26,44
2013-06-02,44
2013-06-09,47
2013-06-16,50
2013-06-23,35
2013-06-30,46
2013-07-07,62
2013-07-14,55
2013-07-21,51
2013-07-28,55
2013-08-04,57
2013-08-11,48
2013-08-18,47
2013-08-25,45
2013-09-01,51
2013-09-08,48
2013-09-15,67
2013-09-22,63
2013-09-29,48
2013-10-06,75
2013-10-13,72
2013-10-20,100
2013-10-27,67
2013-11-03,52
2013-11-10,63
2013-11-17,73
2013-11-24,47
