Date,Santander
2004-01-01,0
2005-01-01,0
2006-01-01,59
2006-02-01,61
2006-03-01,84
2006-04-01,85
2006-05-01,88
2006-06-01,54
2006-07-01,85
2006-08-01,69
2006-09-01,47
2006-10-01,100
2006-11-01,72
2006-12-01,79
2007-01-07,0
2007-01-14,0
2007-01-21,0
2007-01-28,0
2007-02-04,0
2007-02-11,0
2007-02-18,0
2007-02-25,0
2007-03-04,0
2007-03-11,0
2007-03-18,0
2007-03-25,0
2007-04-01,0
2007-04-08,0
2007-04-15,0
2007-04-22,96
2007-04-29,90
2007-05-06,90
2007-05-13,90
2007-05-20,92
2007-05-27,95
2007-06-03,98
2007-06-10,80
2007-06-17,80
2007-06-24,80
2007-07-01,81
2007-07-08,81
2007-07-15,81
2007-07-22,0
2007-07-29,0
2007-08-05,0
2007-08-12,0
2007-08-19,0
2007-08-26,0
2007-09-02,0
2007-09-09,79
2007-09-16,70
2007-09-23,70
2007-09-30,70
2007-10-07,69
2007-10-14,69
2007-10-21,79
2007-10-28,90
2007-11-04,100
2007-11-11,0
2007-11-18,0
2007-11-25,0
2007-12-02,0
2007-12-09,0
2007-12-16,0
2007-12-23,0
2007-12-30,75
2008-01-06,0
2008-01-13,51
2008-01-20,64
2008-01-27,100
2008-02-03,36
2008-02-10,36
2008-02-17,39
2008-02-24,42
2008-03-02,35
2008-03-09,41
2008-03-16,48
2008-03-23,49
2008-03-30,62
2008-04-06,34
2008-04-13,46
2008-04-20,58
2008-04-27,38
2008-05-04,38
2008-05-11,37
2008-05-18,47
2008-05-25,44
2008-06-01,45
2008-06-08,46
2008-06-15,48
2008-06-22,45
2008-06-29,45
2008-07-06,45
2008-07-13,45
2008-07-20,47
2008-07-27,48
2008-08-03,44
2008-08-10,44
2008-08-17,44
2008-08-24,45
2008-08-31,45
2008-09-07,31
2008-09-14,47
2008-09-21,33
2008-09-28,34
2008-10-05,98
2008-10-12,89
2008-10-19,29
2008-10-26,76
2008-11-02,74
2008-11-09,83
2008-11-16,54
2008-11-23,92
2008-11-30,82
2008-12-07,66
2008-12-14,84
2008-12-21,72
2008-12-28,72
2009-01-04,70
2009-01-11,75
2009-01-18,77
2009-01-25,71
2009-02-01,100
2009-02-08,49
2009-02-15,60
2009-02-22,63
2009-03-01,49
2009-03-08,80
2009-03-15,74
2009-03-22,69
2009-03-29,73
2009-04-05,45
2009-04-12,98
2009-04-19,65
2009-04-26,63
2009-05-03,61
2009-05-10,42
2009-05-17,34
2009-05-24,48
2009-05-31,47
2009-06-07,49
2009-06-14,31
2009-06-21,42
2009-06-28,58
2009-07-05,70
2009-07-12,59
2009-07-19,53
2009-07-26,61
2009-08-02,54
2009-08-09,59
2009-08-16,37
2009-08-23,48
2009-08-30,82
2009-09-06,49
2009-09-13,46
2009-09-20,56
2009-09-27,75
2009-10-04,61
2009-10-11,56
2009-10-18,63
2009-10-25,67
2009-11-01,71
2009-11-08,49
2009-11-15,47
2009-11-22,39
2009-11-29,55
2009-12-06,33
2009-12-13,30
2009-12-20,39
2009-12-27,48
2010-01-03,70
2010-01-10,48
2010-01-17,80
2010-01-24,73
2010-01-31,84
2010-02-07,37
2010-02-14,56
2010-02-21,85
2010-02-28,31
2010-03-07,54
2010-03-14,64
2010-03-21,60
2010-03-28,60
2010-04-04,97
2010-04-11,82
2010-04-18,65
2010-04-25,74
2010-05-02,86
2010-05-09,77
2010-05-16,82
2010-05-23,79
2010-05-30,76
2010-06-06,100
2010-06-13,75
2010-06-20,67
2010-06-27,69
2010-07-04,62
2010-07-11,71
2010-07-18,94
2010-07-25,70
2010-08-01,72
2010-08-08,77
2010-08-15,47
2010-08-22,45
