Date,Barclays Capital
2004-01-01,0
2005-01-01,0
2006-01-01,0
2007-01-01,0
2008-01-01,100
2008-02-01,51
2008-03-01,51
2008-04-01,51
2008-05-01,51
2008-06-01,52
2008-07-01,53
2008-08-01,54
2008-09-01,54
2008-10-01,71
2008-11-01,83
2008-12-01,86
2009-01-04,0
2009-01-11,0
2009-01-18,0
2009-01-25,78
2009-02-01,0
2009-02-08,0
2009-02-15,0
2009-02-22,0
2009-03-01,0
2009-03-08,0
2009-03-15,0
2009-03-22,0
2009-03-29,81
2009-04-05,86
2009-04-12,90
2009-04-19,73
2009-04-26,73
2009-05-03,73
2009-05-10,72
2009-05-17,72
2009-05-24,71
2009-05-31,71
2009-06-07,71
2009-06-14,71
2009-06-21,71
2009-06-28,71
2009-07-05,72
2009-07-12,72
2009-07-19,72
2009-07-26,73
2009-08-02,94
2009-08-09,100
2009-08-16,0
2009-08-23,0
2009-08-30,0
2009-09-06,0
2009-09-13,0
2009-09-20,0
2009-09-27,83
2009-10-04,74
2009-10-11,74
2009-10-18,74
2009-10-25,74
2009-11-01,74
2009-11-08,89
2009-11-15,67
2009-11-22,65
2009-11-29,65
2009-12-06,69
2009-12-13,72
2009-12-20,76
2009-12-27,79
2010-01-03,0
2010-01-10,0
2010-01-17,82
2010-01-24,100
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,65
2010-04-25,75
2010-05-02,78
2010-05-09,82
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,91
2010-07-18,64
2010-07-25,64
2010-08-01,64
2010-08-08,64
2010-08-15,60
2010-08-22,60
2010-08-29,60
2010-09-05,68
2010-09-12,76
2010-09-19,74
2010-09-26,74
2010-10-03,93
2010-10-10,69
2010-10-17,62
2010-10-24,62
2010-10-31,73
2010-11-07,72
2010-11-14,89
2010-11-21,65
2010-11-28,65
2010-12-05,70
2010-12-12,75
2010-12-19,81
2010-12-26,86
2011-01-02,0
2011-01-09,92
2011-01-16,55
2011-01-23,100
2011-01-30,45
2011-02-06,63
2011-02-13,63
2011-02-20,63
2011-02-27,45
2011-03-06,47
2011-03-13,50
2011-03-20,49
2011-03-27,57
2011-04-03,49
2011-04-10,49
2011-04-17,52
2011-04-24,55
2011-05-01,57
2011-05-08,59
2011-05-15,62
2011-05-22,44
2011-05-29,44
2011-06-05,44
2011-06-12,49
2011-06-19,54
2011-06-26,59
2011-07-03,64
2011-07-10,45
2011-07-17,49
2011-07-24,62
2011-07-31,75
2011-08-07,77
2011-08-14,79
2011-08-21,42
2011-08-28,66
2011-09-04,40
2011-09-11,40
2011-09-18,40
2011-09-25,40
2011-10-02,45
2011-10-09,50
2011-10-16,59
2011-10-23,51
2011-10-30,47
2011-11-06,50
2011-11-13,57
2011-11-20,59
2011-11-27,61
2011-12-04,38
2011-12-11,0
2011-12-18,0
2011-12-25,0
2012-01-01,0
2012-01-08,100
2012-01-15,64
2012-01-22,69
2012-01-29,80
2012-02-05,88
2012-02-12,55
2012-02-19,55
2012-02-26,54
2012-03-04,54
2012-03-11,54
2012-03-18,54
2012-03-25,56
2012-04-01,59
2012-04-08,61
2012-04-15,54
2012-04-22,54
2012-04-29,54
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-07-08,0
2012-07-15,54
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,0
2012-09-02,0
2012-09-09,51
2012-09-16,46
2012-09-23,45
2012-09-30,54
2012-10-07,44
2012-10-14,52
2012-10-21,56
2012-10-28,61
2012-11-04,43
2012-11-11,56
2012-11-18,50
2012-11-25,50
2012-12-02,43
2012-12-09,43
2012-12-16,43
2012-12-23,0
2012-12-30,0
2013-01-06,73
2013-01-13,73
2013-01-20,66
2013-01-27,66
2013-02-03,66
2013-02-10,66
2013-02-17,74
2013-02-24,82
2013-03-03,70
2013-03-10,69
2013-03-17,57
2013-03-24,57
2013-03-31,57
2013-04-07,57
2013-04-14,63
2013-04-21,70
2013-04-28,70
2013-05-05,70
2013-05-12,70
2013-05-19,64
2013-05-26,58
2013-06-02,70
2013-06-09,70
2013-06-16,70
2013-06-23,70
2013-06-30,59
2013-07-07,59
2013-07-14,60
2013-07-21,60
2013-07-28,60
2013-08-04,84
2013-08-11,86
2013-08-18,88
2013-08-25,90
2013-09-01,92
2013-09-08,94
2013-09-15,96
2013-09-22,97
2013-09-29,99
2013-10-06,100
2013-10-13,65
2013-10-20,65
2013-10-27,65
2013-11-03,65
2013-11-10,63
2013-11-17,63
2013-11-24,0
