Date,SunTrust Banks
2004-01-01,0
2005-01-01,0
2006-01-01,0
2007-01-01,73
2007-02-01,66
2007-03-01,54
2007-04-01,55
2007-05-01,100
2007-06-01,81
2007-07-01,48
2007-08-01,59
2007-09-01,62
2007-10-01,65
2007-11-01,54
2007-12-01,49
2008-01-06,60
2008-01-13,57
2008-01-20,57
2008-01-27,0
2008-02-03,0
2008-02-10,0
2008-02-17,0
2008-02-24,0
2008-03-02,0
2008-03-09,0
2008-03-16,0
2008-03-23,0
2008-03-30,0
2008-04-06,0
2008-04-13,0
2008-04-20,0
2008-04-27,51
2008-05-04,50
2008-05-11,0
2008-05-18,0
2008-05-25,0
2008-06-01,0
2008-06-08,0
2008-06-15,50
2008-06-22,50
2008-06-29,51
2008-07-06,51
2008-07-13,51
2008-07-20,56
2008-07-27,60
2008-08-03,0
2008-08-10,0
2008-08-17,0
2008-08-24,0
2008-08-31,0
2008-09-07,0
2008-09-14,74
2008-09-21,87
2008-09-28,100
2008-10-05,83
2008-10-12,47
2008-10-19,47
2008-10-26,42
2008-11-02,44
2008-11-09,46
2008-11-16,42
2008-11-23,44
2008-11-30,47
2008-12-07,50
2008-12-14,0
2008-12-21,0
2008-12-28,0
2009-01-04,0
2009-01-11,0
2009-01-18,100
2009-01-25,100
2009-02-01,92
2009-02-08,57
2009-02-15,57
2009-02-22,56
2009-03-01,56
2009-03-08,77
2009-03-15,62
2009-03-22,62
2009-03-29,62
2009-04-05,65
2009-04-12,80
2009-04-19,95
2009-04-26,57
2009-05-03,94
2009-05-10,59
2009-05-17,59
2009-05-24,59
2009-05-31,59
2009-06-07,59
2009-06-14,59
2009-06-21,59
2009-06-28,60
2009-07-05,60
2009-07-12,60
2009-07-19,60
2009-07-26,56
2009-08-02,56
2009-08-09,56
2009-08-16,52
2009-08-23,52
2009-08-30,53
2009-09-06,54
2009-09-13,55
2009-09-20,0
2009-09-27,0
2009-10-04,0
2009-10-11,0
2009-10-18,0
2009-10-25,0
2009-11-01,0
2009-11-08,0
2009-11-15,47
2009-11-22,0
2009-11-29,0
2009-12-06,0
2009-12-13,0
2009-12-20,0
2009-12-27,0
2010-01-03,78
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,77
2010-04-04,75
2010-04-11,74
2010-04-18,74
2010-04-25,74
2010-05-02,73
2010-05-09,73
2010-05-16,73
2010-05-23,74
2010-05-30,74
2010-06-06,75
2010-06-13,75
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,100
2010-08-29,65
2010-09-05,65
2010-09-12,64
2010-09-19,64
2010-09-26,74
2010-10-03,73
2010-10-10,73
2010-10-17,73
2010-10-24,73
2010-10-31,73
2010-11-07,75
2010-11-14,77
2010-11-21,79
2010-11-28,81
2010-12-05,83
2010-12-12,60
2010-12-19,0
2010-12-26,0
2011-01-02,0
2011-01-09,83
2011-01-16,67
2011-01-23,79
2011-01-30,91
2011-02-06,54
2011-02-13,0
2011-02-20,0
2011-02-27,0
2011-03-06,0
2011-03-13,0
2011-03-20,81
2011-03-27,59
2011-04-03,59
2011-04-10,55
2011-04-17,55
2011-04-24,55
2011-05-01,53
2011-05-08,53
2011-05-15,53
2011-05-22,53
2011-05-29,53
2011-06-05,54
2011-06-12,54
2011-06-19,53
2011-06-26,53
2011-07-03,53
2011-07-10,53
2011-07-17,53
2011-07-24,69
2011-07-31,84
2011-08-07,100
