Date,JPMorgan Chase
2012-03-20,16
2012-03-21,16
2012-03-22,17
2012-03-23,17
2012-03-24,18
2012-03-25,17
2012-03-26,18
2012-03-27,19
2012-03-28,19
2012-03-29,19
2012-03-30,21
2012-03-31,21
2012-04-01,20
2012-04-02,20
2012-04-03,19
2012-04-04,19
2012-04-05,18
2012-04-06,20
2012-04-07,19
2012-04-08,18
2012-04-09,18
2012-04-10,19
2012-04-11,20
2012-04-12,20
2012-04-13,20
2012-04-14,24
2012-04-15,20
2012-04-16,19
2012-04-17,19
2012-04-18,19
2012-04-19,18
2012-04-20,18
2012-04-21,17
2012-04-22,16
2012-04-23,15
2012-04-24,14
2012-04-25,15
2012-04-26,13
2012-04-27,13
2012-04-28,12
2012-04-29,12
2012-04-30,12
2012-05-01,12
2012-05-02,13
2012-05-03,13
2012-05-04,12
2012-05-05,14
2012-05-06,20
2012-05-07,27
2012-05-08,34
2012-05-09,41
2012-05-10,48
2012-05-11,55
2012-05-12,70
2012-05-13,68
2012-05-14,72
2012-05-15,80
2012-05-16,90
2012-05-17,91
2012-05-18,94
2012-05-19,111
2012-05-20,96
2012-05-21,82
2012-05-22,73
2012-05-23,64
2012-05-24,57
2012-05-25,47
2012-05-26,40
2012-05-27,35
2012-05-28,33
2012-05-29,31
2012-05-30,29
2012-05-31,29
2012-06-01,25
2012-06-02,25
2012-06-03,23
2012-06-04,22
2012-06-05,22
2012-06-06,21
2012-06-07,21
2012-06-08,20
2012-06-09,21
2012-06-10,21
2012-06-11,22
2012-06-12,23
2012-06-13,24
2012-06-14,25
2012-06-15,28
2012-06-16,30
2012-06-17,26
2012-06-18,25
2012-06-19,24
2012-06-20,24
2012-06-21,23
2012-06-22,22
2012-06-23,24
2012-06-24,22
2012-06-25,22
2012-06-26,22
2012-06-27,22
2012-06-28,22
2012-06-29,24
2012-06-30,24
2012-07-01,22
2012-07-02,21
2012-07-03,21
2012-07-04,20
2012-07-05,20
2012-07-06,19
2012-07-07,20
2012-07-08,21
2012-07-09,24
2012-07-10,26
2012-07-11,30
2012-07-12,31
2012-07-13,34
2012-07-14,45
2012-07-15,38
2012-07-16,33
2012-07-17,34
2012-07-18,30
2012-07-19,28
2012-07-20,28
2012-07-21,25
2012-07-22,25
2012-07-23,23
2012-07-24,22
2012-07-25,21
2012-07-26,21
2012-07-27,19
2012-07-28,18
2012-07-29,17
2012-07-30,17
2012-07-31,17
2012-08-01,16
2012-08-02,15
2012-08-03,16
2012-08-04,15
2012-08-05,14
2012-08-06,14
2012-08-07,15
2012-08-08,14
2012-08-09,14
2012-08-10,14
2012-08-11,15
2012-08-12,13
2012-08-13,13
2012-08-14,13
2012-08-15,13
2012-08-16,12
2012-08-17,12
2012-08-18,12
2012-08-19,12
2012-08-20,12
2012-08-21,13
2012-08-22,13
2012-08-23,15
2012-08-24,14
2012-08-25,15
2012-08-26,14
2012-08-27,14
2012-08-28,14
2012-08-29,14
2012-08-30,13
2012-08-31,14
2012-09-01,13
2012-09-02,13
2012-09-03,13
2012-09-04,13
2012-09-05,14
2012-09-06,13
2012-09-07,13
2012-09-08,14
2012-09-09,14
