Date,Paulson & Co
2012-11-19,27
2012-11-20,27
2012-11-21,27
2012-11-22,27
2012-11-23,27
2012-11-24,27
2012-11-25,27
2012-11-26,27
2012-11-27,27
2012-11-28,27
2012-11-29,27
2012-11-30,27
2012-12-01,27
2012-12-02,27
2012-12-03,27
2012-12-04,27
2012-12-05,27
2012-12-06,27
2012-12-07,27
2012-12-08,27
2012-12-09,27
2012-12-10,27
2012-12-11,27
2012-12-12,27
2012-12-13,27
2012-12-14,27
2012-12-15,27
2012-12-16,27
2012-12-17,27
2012-12-18,27
2012-12-19,27
2012-12-20,27
2012-12-21,27
2012-12-22,27
2012-12-23,27
2012-12-24,27
2012-12-25,27
2012-12-26,27
2012-12-27,27
2012-12-28,27
2012-12-29,27
2012-12-30,27
2012-12-31,27
2013-01-01,27
2013-01-02,26
2013-01-03,26
2013-01-04,26
2013-01-05,26
2013-01-06,26
2013-01-07,26
2013-01-08,26
2013-01-09,26
2013-01-10,26
2013-01-11,26
2013-01-12,26
2013-01-13,26
2013-01-14,26
2013-01-15,26
2013-01-16,26
2013-01-17,26
2013-01-18,26
2013-01-19,26
2013-01-20,26
2013-01-21,26
2013-01-22,26
2013-01-23,26
2013-01-24,26
2013-01-25,26
2013-01-26,26
2013-01-27,26
2013-01-28,26
2013-01-29,26
2013-01-30,26
2013-01-31,26
2013-02-01,26
2013-02-02,26
2013-02-03,26
2013-02-04,27
2013-02-05,27
2013-02-06,27
2013-02-07,28
2013-02-08,28
2013-02-09,29
2013-02-10,29
2013-02-11,29
2013-02-12,30
2013-02-13,30
2013-02-14,31
2013-02-15,31
2013-02-16,31
2013-02-17,32
2013-02-18,32
2013-02-19,33
2013-02-20,33
2013-02-21,33
2013-02-22,34
2013-02-23,34
2013-02-24,35
2013-02-25,35
2013-02-26,35
2013-02-27,36
2013-02-28,36
2013-03-01,37
2013-03-02,37
2013-03-03,38
2013-03-04,39
2013-03-05,40
2013-03-06,40
2013-03-07,41
2013-03-08,42
2013-03-09,43
2013-03-10,43
2013-03-11,44
2013-03-12,45
2013-03-13,46
2013-03-14,47
2013-03-15,47
2013-03-16,48
2013-03-17,49
2013-03-18,50
2013-03-19,50
2013-03-20,51
2013-03-21,52
2013-03-22,53
2013-03-23,54
2013-03-24,54
2013-03-25,55
2013-03-26,56
2013-03-27,57
2013-03-28,57
2013-03-29,58
2013-03-30,59
2013-03-31,60
2013-04-01,61
2013-04-02,60
2013-04-03,59
2013-04-04,58
2013-04-05,57
2013-04-06,57
2013-04-07,56
2013-04-08,55
2013-04-09,54
2013-04-10,53
2013-04-11,53
2013-04-12,52
2013-04-13,51
2013-04-14,50
2013-04-15,49
2013-04-16,49
2013-04-17,48
2013-04-18,47
2013-04-19,46
2013-04-20,45
2013-04-21,45
2013-04-22,44
2013-04-23,43
2013-04-24,42
2013-04-25,41
2013-04-26,41
2013-04-27,40
2013-04-28,39
2013-04-29,38
2013-04-30,37
2013-05-01,37
2013-05-02,36
2013-05-03,36
2013-05-04,36
2013-05-05,36
2013-05-06,36
2013-05-07,36
2013-05-08,36
2013-05-09,35
2013-05-10,35
2013-05-11,35
2013-05-12,35
2013-05-13,35
2013-05-14,35
2013-05-15,35
2013-05-16,35
2013-05-17,34
2013-05-18,34
2013-05-19,34
2013-05-20,34
2013-05-21,34
2013-05-22,34
2013-05-23,34
2013-05-24,34
2013-05-25,33
2013-05-26,33
2013-05-27,33
2013-05-28,33
2013-05-29,33
2013-05-30,33
2013-05-31,33
2013-06-01,33
2013-06-02,33
2013-06-03,33
2013-06-04,33
2013-06-05,33
2013-06-06,34
2013-06-07,34
2013-06-08,34
2013-06-09,34
2013-06-10,34
2013-06-11,35
2013-06-12,35
2013-06-13,35
2013-06-14,35
2013-06-15,35
2013-06-16,36
2013-06-17,36
2013-06-18,36
2013-06-19,36
2013-06-20,36
2013-06-21,37
2013-06-22,37
2013-06-23,37
2013-06-24,37
2013-06-25,37
2013-06-26,38
2013-06-27,38
2013-06-28,38
2013-06-29,38
2013-06-30,38
2013-07-01,39
2013-07-02,39
2013-07-03,39
2013-07-04,40
2013-07-05,40
2013-07-06,40
2013-07-07,41
2013-07-08,41
2013-07-09,42
2013-07-10,42
2013-07-11,42
2013-07-12,43
2013-07-13,43
2013-07-14,44
2013-07-15,44
2013-07-16,44
2013-07-17,45
2013-07-18,45
2013-07-19,45
2013-07-20,46
2013-07-21,46
2013-07-22,47
2013-07-23,47
2013-07-24,47
2013-07-25,48
2013-07-26,48
2013-07-27,49
2013-07-28,49
2013-07-29,49
2013-07-30,50
2013-07-31,50
2013-08-01,51
2013-08-02,50
2013-08-03,49
2013-08-04,49
2013-08-05,48
2013-08-06,48
2013-08-07,47
2013-08-08,47
2013-08-09,46
2013-08-10,46
2013-08-11,45
2013-08-12,44
2013-08-13,44
2013-08-14,43
2013-08-15,43
2013-08-16,42
2013-08-17,42
2013-08-18,41
2013-08-19,41
2013-08-20,40
2013-08-21,40
2013-08-22,39
2013-08-23,38
2013-08-24,38
2013-08-25,37
2013-08-26,37
2013-08-27,36
2013-08-28,36
2013-08-29,35
2013-08-30,35
2013-08-31,34
2013-09-01,34
2013-09-02,34
2013-09-03,34
2013-09-04,34
2013-09-05,34
2013-09-06,34
2013-09-07,34
2013-09-08,34
2013-09-09,35
2013-09-10,35
2013-09-11,35
2013-09-12,35
2013-09-13,35
2013-09-14,35
2013-09-15,35
2013-09-16,36
2013-09-17,36
2013-09-18,36
2013-09-19,36
2013-09-20,36
2013-09-21,36
2013-09-22,36
2013-09-23,36
2013-09-24,37
2013-09-25,37
2013-09-26,37
2013-09-27,37
2013-09-28,37
2013-09-29,37
2013-09-30,37
2013-10-01,38
2013-10-02,37
2013-10-03,37
2013-10-04,36
2013-10-05,36
2013-10-06,36
2013-10-07,35
2013-10-08,35
2013-10-09,34
2013-10-10,34
2013-10-11,34
2013-10-12,33
2013-10-13,33
2013-10-14,32
2013-10-15,32
2013-10-16,32
2013-10-17,31
2013-10-18,31
2013-10-19,31
2013-10-20,30
2013-10-21,30
2013-10-22,29
2013-10-23,29
2013-10-24,29
2013-10-25,28
2013-10-26,28
2013-10-27,27
2013-10-28,27
2013-10-29,27
2013-10-30,26
2013-10-31,26
2013-11-01,26
