Date,Wells Fargo Securities
2010-09-01,56
2010-09-02,55
2010-09-03,57
2010-09-04,57
2010-09-05,53
2010-09-06,51
2010-09-07,49
2010-09-08,47
2010-09-09,46
2010-09-10,43
2010-09-11,42
2010-09-12,42
2010-09-13,43
2010-09-14,45
2010-09-15,45
2010-09-16,48
2010-09-17,50
2010-09-18,49
2010-09-19,49
2010-09-20,49
2010-09-21,49
2010-09-22,49
2010-09-23,53
2010-09-24,49
2010-09-25,54
2010-09-26,50
2010-09-27,50
2010-09-28,53
2010-09-29,50
2010-09-30,50
2010-10-01,50
2010-10-02,52
2010-10-03,51
2010-10-04,53
2010-10-05,55
2010-10-06,57
2010-10-07,59
2010-10-08,61
2010-10-09,72
2010-10-10,62
2010-10-11,61
2010-10-12,63
2010-10-13,60
2010-10-14,60
2010-10-15,58
2010-10-16,65
2010-10-17,62
2010-10-18,64
2010-10-19,67
2010-10-20,71
2010-10-21,81
2010-10-22,78
2010-10-23,89
2010-10-24,77
2010-10-25,74
2010-10-26,71
2010-10-27,68
2010-10-28,65
2010-10-29,63
2010-10-30,61
2010-10-31,59
2010-11-01,59
2010-11-02,59
2010-11-03,60
2010-11-04,60
2010-11-05,62
2010-11-06,67
2010-11-07,61
2010-11-08,57
2010-11-09,56
2010-11-10,54
2010-11-11,53
2010-11-12,54
2010-11-13,53
2010-11-14,51
2010-11-15,52
2010-11-16,53
2010-11-17,57
2010-11-18,55
2010-11-19,56
2010-11-20,64
2010-11-21,55
2010-11-22,53
2010-11-23,52
2010-11-24,48
2010-11-25,48
2010-11-26,44
2010-11-27,42
2010-11-28,44
2010-11-29,46
2010-11-30,48
2010-12-01,50
2010-12-02,52
2010-12-03,55
2010-12-04,62
2010-12-05,55
2010-12-06,55
2010-12-07,55
2010-12-08,57
2010-12-09,56
2010-12-10,55
2010-12-11,58
2010-12-12,60
2010-12-13,54
2010-12-14,55
2010-12-15,53
2010-12-16,52
2010-12-17,55
2010-12-18,52
2010-12-19,53
2010-12-20,54
2010-12-21,55
2010-12-22,59
2010-12-23,57
2010-12-24,62
2010-12-25,59
2010-12-26,61
2010-12-27,57
2010-12-28,57
2010-12-29,57
2010-12-30,56
2010-12-31,55
2011-01-01,61
2011-01-02,56
2011-01-03,57
2011-01-04,58
2011-01-05,59
2011-01-06,64
2011-01-07,61
2011-01-08,70
2011-01-09,63
2011-01-10,61
2011-01-11,62
2011-01-12,61
2011-01-13,62
2011-01-14,63
2011-01-15,63
2011-01-16,64
2011-01-17,61
2011-01-18,61
2011-01-19,62
