Date,Robert W Baird
2013-12-21,96
2013-12-22,97
2013-12-23,97
2013-12-24,97
2013-12-25,97
2013-12-26,98
2013-12-27,98
2013-12-28,98
2013-12-29,99
2013-12-30,99
2013-12-31,99
2014-01-01,100
2014-01-02,99
2014-01-03,98
2014-01-04,97
2014-01-05,96
2014-01-06,95
2014-01-07,94
2014-01-08,93
2014-01-09,92
2014-01-10,91
2014-01-11,90
2014-01-12,90
2014-01-13,89
2014-01-14,88
2014-01-15,87
2014-01-16,86
2014-01-17,85
2014-01-18,84
2014-01-19,83
2014-01-20,82
2014-01-21,81
2014-01-22,81
2014-01-23,80
2014-01-24,79
2014-01-25,78
2014-01-26,77
2014-01-27,76
2014-01-28,75
2014-01-29,74
2014-01-30,73
2014-01-31,72
2014-02-01,72
