Date,Lehman Brothers
2007-12-23,1
2007-12-24,1
2007-12-25,1
2007-12-26,1
2007-12-27,1
2007-12-28,1
2007-12-29,1
2007-12-30,1
2007-12-31,1
2008-01-01,1
2008-01-02,1
2008-01-03,1
2008-01-04,1
2008-01-05,1
2008-01-06,1
2008-01-07,1
2008-01-08,1
2008-01-09,1
2008-01-10,1
2008-01-11,1
2008-01-12,1
2008-01-13,1
2008-01-14,1
2008-01-15,1
2008-01-16,1
2008-01-17,1
2008-01-18,1
2008-01-19,2
2008-01-20,2
2008-01-21,2
2008-01-22,2
2008-01-23,2
2008-01-24,2
2008-01-25,2
2008-01-26,2
2008-01-27,2
2008-02-03,1
2008-02-04,1
2008-02-05,1
2008-02-06,1
2008-02-07,1
2008-02-08,1
2008-02-09,1
2008-02-10,1
2008-02-11,1
2008-02-12,1
2008-02-13,1
2008-02-14,1
2008-02-15,1
2008-02-16,1
2008-02-17,1
2008-02-18,1
2008-02-19,1
2008-02-20,1
2008-02-21,1
2008-02-22,1
2008-02-23,2
2008-02-24,1
2008-02-25,1
2008-02-26,1
2008-02-27,1
2008-02-28,1
2008-02-29,1
2008-03-01,1
2008-03-02,1
2008-03-03,1
2008-03-04,1
2008-03-05,1
2008-03-06,1
2008-03-07,1
2008-03-08,2
2008-03-09,2
2008-03-10,2
2008-03-11,2
2008-03-12,2
2008-03-13,2
2008-03-14,2
2008-03-15,3
2008-03-16,3
2008-03-17,4
2008-03-18,4
2008-03-19,5
2008-03-20,6
2008-03-21,6
2008-03-22,7
2008-03-23,6
2008-03-24,5
2008-03-25,4
2008-03-26,4
2008-03-27,3
2008-03-28,2
2008-03-29,2
2008-03-30,2
2008-03-31,2
2008-04-01,2
2008-04-02,2
2008-04-03,2
2008-04-04,2
2008-04-05,3
2008-04-06,2
2008-04-07,2
2008-04-08,2
2008-04-09,2
2008-04-10,2
2008-04-11,2
2008-04-12,2
2008-04-13,1
2008-04-14,1
2008-04-15,1
2008-04-16,1
2008-04-17,1
2008-04-18,1
2008-04-19,1
2008-04-20,1
2008-04-21,1
2008-04-22,1
2008-04-23,1
2008-04-24,1
2008-04-25,1
2008-04-26,2
2008-04-27,1
2008-05-04,1
2008-05-05,1
2008-05-06,1
2008-05-07,1
2008-05-08,1
2008-05-09,1
2008-05-10,2
2008-05-11,1
2008-05-12,1
2008-05-13,1
2008-05-14,1
2008-05-15,1
2008-05-16,1
2008-05-17,1
2008-05-18,1
2008-05-19,1
2008-05-20,1
2008-05-21,1
2008-05-22,1
2008-05-23,1
2008-05-24,2
2008-05-25,1
2008-05-26,1
2008-05-27,1
2008-05-28,1
2008-05-29,1
2008-05-30,1
2008-05-31,1
2008-06-01,1
2008-06-02,1
2008-06-03,1
2008-06-04,2
2008-06-05,2
2008-06-06,2
2008-06-07,3
2008-06-08,3
2008-06-09,3
2008-06-10,3
2008-06-11,3
2008-06-12,3
2008-06-13,3
2008-06-14,4
2008-06-15,3
2008-06-16,3
2008-06-17,3
2008-06-18,3
2008-06-19,3
2008-06-20,3
2008-06-21,3
2008-06-22,2
2008-06-23,2
2008-06-24,2
2008-06-25,1
2008-06-26,1
2008-06-27,1
2008-06-28,1
2008-06-29,1
2008-06-30,1
2008-07-01,1
2008-07-02,1
2008-07-03,1
2008-07-04,1
2008-07-05,2
2008-07-06,2
2008-07-07,2
2008-07-08,2
2008-07-09,2
2008-07-10,2
2008-07-11,2
2008-07-12,3
2008-07-13,3
2008-07-14,3
2008-07-15,3
2008-07-16,3
2008-07-17,3
2008-07-18,3
2008-07-19,3
2008-07-20,2
2008-07-21,2
2008-07-22,2
2008-07-23,2
2008-07-24,2
2008-07-25,2
2008-07-26,2
2008-07-27,2
2008-08-01,2
2008-08-02,2
2008-08-03,1
2008-08-04,1
2008-08-05,1
2008-08-06,1
2008-08-07,1
2008-08-08,1
2008-08-09,1
2008-08-10,1
2008-08-11,1
2008-08-12,1
2008-08-13,1
2008-08-14,1
2008-08-15,1
2008-08-16,2
2008-08-17,2
2008-08-18,2
2008-08-19,2
2008-08-20,2
2008-08-21,2
2008-08-22,2
2008-08-23,3
2008-08-24,3
2008-08-25,3
2008-08-26,3
2008-08-27,3
2008-08-28,3
2008-08-29,3
2008-08-30,3
2008-08-31,3
2008-09-01,3
2008-09-02,3
2008-09-03,3
2008-09-04,3
2008-09-05,3
2008-09-06,3
2008-09-07,5
2008-09-08,7
2008-09-09,9
2008-09-10,11
2008-09-11,13
2008-09-12,15
2008-09-13,17
2008-09-14,28
2008-09-15,40
2008-09-16,53
2008-09-17,69
2008-09-18,77
2008-09-19,95
2008-09-20,105
2008-09-21,95
2008-09-22,79
2008-09-23,70
2008-09-24,61
