Date,Goldman Sachs
2011-11-20,20
2011-11-21,20
2011-11-22,20
2011-11-23,21
2011-11-24,21
2011-11-25,20
2011-11-26,20
2011-11-27,20
2011-11-28,20
2011-11-29,20
2011-11-30,21
2011-12-01,21
2011-12-02,22
2011-12-03,23
2011-12-04,21
2011-12-05,20
2011-12-06,19
2011-12-07,22
2011-12-08,18
2011-12-09,18
2011-12-10,18
2011-12-11,17
2011-12-12,17
2011-12-13,17
2011-12-14,17
2011-12-15,17
2011-12-16,17
2011-12-17,20
2011-12-18,17
2011-12-19,16
2011-12-20,16
2011-12-21,15
2011-12-22,15
2011-12-23,14
2011-12-24,14
2011-12-25,13
2011-12-26,13
2011-12-27,13
2011-12-28,14
2011-12-29,13
2011-12-30,14
2011-12-31,13
2012-01-01,13
2012-01-02,13
2012-01-03,13
2012-01-04,14
2012-01-05,14
2012-01-06,13
2012-01-07,15
2012-01-08,14
2012-01-09,15
2012-01-10,15
2012-01-11,16
2012-01-12,18
2012-01-13,17
2012-01-14,18
2012-01-15,19
2012-01-16,20
2012-01-17,21
2012-01-18,22
2012-01-19,25
2012-01-20,27
2012-01-21,28
2012-01-22,24
2012-01-23,23
2012-01-24,22
2012-01-25,20
2012-01-26,20
2012-01-27,19
2012-01-28,17
2012-01-29,17
2012-01-30,17
2012-01-31,17
2012-02-01,17
2012-02-02,17
2012-02-03,19
2012-02-04,18
2012-02-05,19
2012-02-06,17
2012-02-07,17
2012-02-08,16
2012-02-09,16
2012-02-10,16
2012-02-11,17
2012-02-12,16
2012-02-13,17
2012-02-14,17
2012-02-15,18
2012-02-16,20
2012-02-17,19
2012-02-18,20
2012-02-19,19
2012-02-20,18
2012-02-21,17
2012-02-22,16
2012-02-23,15
2012-02-24,14
2012-02-25,13
2012-02-26,13
2012-02-27,13
2012-02-28,13
2012-02-29,13
2012-03-01,13
2012-03-02,13
2012-03-03,13
2012-03-04,13
2012-03-05,13
2012-03-06,13
2012-03-07,13
2012-03-08,14
2012-03-09,14
2012-03-10,14
2012-03-11,26
2012-03-12,38
2012-03-13,50
2012-03-14,63
2012-03-15,75
2012-03-16,97
2012-03-17,113
2012-03-18,91
2012-03-19,81
2012-03-20,71
2012-03-21,61
2012-03-22,48
2012-03-23,39
2012-03-24,30
2012-03-25,27
2012-03-26,25
2012-03-27,23
2012-03-28,22
2012-03-29,20
2012-03-30,20
2012-03-31,19
2012-04-01,17
2012-04-02,16
2012-04-03,16
2012-04-04,16
2012-04-05,15
2012-04-06,15
2012-04-07,14
2012-04-08,14
2012-04-09,13
2012-04-10,13
2012-04-11,13
2012-04-12,13
2012-04-13,13
2012-04-14,13
2012-04-15,14
2012-04-16,15
2012-04-17,16
2012-04-18,17
2012-04-19,19
2012-04-20,19
2012-04-21,20
2012-04-22,19
2012-04-23,18
2012-04-24,19
2012-04-25,17
2012-04-26,18
2012-04-27,16
2012-04-28,18
2012-04-29,15
2012-04-30,15
2012-05-01,14
2012-05-02,15
2012-05-03,13
2012-05-04,13
2012-05-05,13
2012-05-06,12
2012-05-07,12
2012-05-08,12
2012-05-09,12
2012-05-10,11
2012-05-11,11
2012-05-12,11
2012-05-13,11
2012-05-14,11
2012-05-15,11
2012-05-16,12
2012-05-17,12
2012-05-18,12
2012-05-19,13
2012-05-20,12
2012-05-21,12
2012-05-22,12
2012-05-23,12
2012-05-24,12
2012-05-25,12
2012-05-26,12
2012-05-27,12
2012-05-28,11
2012-05-29,10
2012-05-30,10
2012-05-31,10
2012-06-01,9
2012-06-02,9
2012-06-03,9
2012-06-04,9
2012-06-05,10
2012-06-06,11
2012-06-07,11
2012-06-08,12
2012-06-09,12
2012-06-10,12
2012-06-11,12
2012-06-12,13
2012-06-13,14
2012-06-14,14
2012-06-15,14
2012-06-16,15
2012-06-17,14
2012-06-18,14
2012-06-19,14
2012-06-20,15
2012-06-21,14
2012-06-22,14
2012-06-23,15
2012-06-24,13
2012-06-25,13
2012-06-26,12
2012-06-27,13
2012-06-28,11
2012-06-29,11
2012-06-30,11
2012-07-01,10
2012-07-02,10
2012-07-03,11
2012-07-04,10
2012-07-05,10
2012-07-06,10
2012-07-07,10
2012-07-08,10
2012-07-09,10
2012-07-10,11
2012-07-11,11
2012-07-12,11
2012-07-13,12
2012-07-14,12
2012-07-15,13
2012-07-16,14
2012-07-17,15
2012-07-18,18
2012-07-19,18
2012-07-20,20
2012-07-21,20
2012-07-22,18
2012-07-23,17
2012-07-24,17
2012-07-25,15
2012-07-26,15
2012-07-27,13
2012-07-28,13
2012-07-29,12
2012-07-30,12
2012-07-31,13
2012-08-01,12
2012-08-02,12
2012-08-03,13
2012-08-04,13
2012-08-05,12
2012-08-06,12
2012-08-07,13
2012-08-08,11
2012-08-09,11
2012-08-10,11
2012-08-11,11
2012-08-12,11
2012-08-13,10
2012-08-14,10
2012-08-15,9
2012-08-16,10
2012-08-17,9
2012-08-18,9
2012-08-19,9
2012-08-20,10
2012-08-21,10
2012-08-22,11
2012-08-23,12
2012-08-24,12
2012-08-25,14
2012-08-26,12
2012-08-27,12
2012-08-28,12
2012-08-29,12
2012-08-30,12
2012-08-31,11
2012-09-01,11
2012-09-02,11
2012-09-03,12
2012-09-04,13
2012-09-05,13
2012-09-06,14
2012-09-07,16
2012-09-08,17
2012-09-09,16
2012-09-10,16
2012-09-11,16
2012-09-12,16
2012-09-13,17
2012-09-14,16
2012-09-15,19
2012-09-16,16
2012-09-17,16
2012-09-18,15
2012-09-19,14
2012-09-20,15
2012-09-21,13
2012-09-22,13
2012-09-23,12
2012-09-24,12
2012-09-25,12
2012-09-26,11
2012-09-27,12
2012-09-28,11
2012-09-29,11
2012-09-30,12
2012-10-01,11
2012-10-02,11
2012-10-03,11
2012-10-04,12
2012-10-05,11
2012-10-06,13
2012-10-07,12
2012-10-08,13
2012-10-09,14
2012-10-10,14
2012-10-11,14
2012-10-12,15
2012-10-13,17
2012-10-14,17
2012-10-15,17
2012-10-16,17
2012-10-17,20
2012-10-18,18
2012-10-19,20
2012-10-20,21
2012-10-21,19
2012-10-22,19
2012-10-23,20
2012-10-24,18
2012-10-25,20
2012-10-26,18
2012-10-27,19
2012-10-28,17
2012-10-29,16
2012-10-30,15
2012-10-31,14
2012-11-01,13
2012-11-02,12
2012-11-03,11
2012-11-04,11
2012-11-05,11
2012-11-06,12
2012-11-07,13
2012-11-08,13
2012-11-09,13
2012-11-10,15
2012-11-11,13
2012-11-12,13
2012-11-13,13
2012-11-14,12
2012-11-15,14
2012-11-16,12
2012-11-17,12
2012-11-18,12
2012-11-19,12
2012-11-20,13
2012-11-21,13
2012-11-22,15
2012-11-23,14
2012-11-24,15
2012-11-25,15
2012-11-26,15
2012-11-27,15
2012-11-28,15
2012-11-29,15
2012-11-30,16
