Date,SunTrust Robinson Humphrey
2011-12-04,78
2011-12-05,76
2011-12-06,73
2011-12-07,70
2011-12-08,68
2011-12-09,65
2011-12-10,62
2011-12-11,59
2011-12-12,55
2011-12-13,51
2011-12-14,47
2011-12-15,44
2011-12-16,40
2011-12-17,37
2011-12-18,39
2011-12-19,41
2011-12-20,44
2011-12-21,46
2011-12-22,49
2011-12-23,51
2011-12-24,54
2011-12-25,55
2011-12-26,56
2011-12-27,58
2011-12-28,59
2011-12-29,61
2011-12-30,62
2011-12-31,64
2012-01-01,65
2012-01-02,66
2012-01-03,68
2012-01-04,69
2012-01-05,71
2012-01-06,72
2012-01-07,74
2012-01-08,75
2012-01-09,76
2012-01-10,77
2012-01-11,78
2012-01-12,79
2012-01-13,80
2012-01-14,81
2012-01-15,81
2012-01-16,83
2012-01-17,84
2012-01-18,84
2012-01-19,85
2012-01-20,86
2012-01-21,87
2012-01-22,85
2012-01-23,83
2012-01-24,81
2012-01-25,80
2012-01-26,78
2012-01-27,77
2012-01-28,76
2012-01-29,72
2012-01-30,68
2012-01-31,65
2012-02-01,61
2012-02-02,58
2012-02-03,54
2012-02-04,51
2012-02-05,51
2012-02-06,52
2012-02-07,53
2012-02-08,53
2012-02-09,54
2012-02-10,55
2012-02-11,55
2012-02-12,54
2012-02-13,53
2012-02-14,52
2012-02-15,51
2012-02-16,50
2012-02-17,49
2012-02-18,48
2012-02-19,46
2012-02-20,45
2012-02-21,43
2012-02-22,42
2012-02-23,40
2012-02-24,39
2012-02-25,38
2012-02-26,41
2012-03-04,66
2012-03-05,70
2012-03-06,75
2012-03-07,79
2012-03-08,84
2012-03-09,88
2012-03-10,93
2012-03-11,91
2012-03-12,91
2012-03-13,90
2012-03-14,89
2012-03-15,88
2012-03-16,86
2012-03-17,85
2012-03-18,79
2012-03-19,71
2012-03-20,65
2012-03-21,58
2012-03-22,51
2012-03-23,44
2012-03-24,38
2012-03-25,39
2012-03-26,41
2012-03-27,43
2012-03-28,45
2012-03-29,47
2012-03-30,49
2012-03-31,51
2012-04-01,51
2012-04-02,50
2012-04-03,50
2012-04-04,49
2012-04-05,49
2012-04-06,49
2012-04-07,49
2012-04-08,49
2012-04-09,49
2012-04-10,50
2012-04-11,50
2012-04-12,51
2012-04-13,51
2012-04-14,52
2012-04-15,52
2012-04-16,52
2012-04-17,52
2012-04-18,53
2012-04-19,53
2012-04-20,53
2012-04-21,54
2012-04-22,54
2012-04-23,55
2012-04-24,55
2012-04-25,56
2012-04-26,56
2012-04-27,57
2012-04-28,57
2012-04-29,54
2012-04-30,50
2012-05-01,47
2012-05-02,43
2012-05-03,40
2012-05-04,37
2012-05-05,34
2012-05-06,37
2012-05-07,41
2012-05-08,45
2012-05-09,49
2012-05-10,52
2012-05-11,56
2012-05-12,60
2012-05-13,58
2012-05-14,55
2012-05-15,53
2012-05-16,50
2012-05-17,48
2012-05-18,46
2012-05-19,44
2012-05-20,43
2012-05-21,42
2012-05-22,41
2012-05-23,40
2012-05-24,39
2012-05-25,38
2012-05-26,37
2012-05-27,38
2012-06-03,46
2012-06-04,57
2012-06-05,43
2012-06-06,41
2012-06-07,40
2012-06-08,38
2012-06-09,37
2012-06-10,38
2012-06-11,41
2012-06-12,42
2012-06-13,44
2012-06-14,46
2012-06-15,48
2012-06-16,50
2012-06-17,48
2012-06-18,46
2012-06-19,44
2012-06-20,42
2012-06-21,40
2012-06-22,38
2012-06-23,37
2012-06-24,41
2012-06-25,46
2012-06-26,51
2012-06-27,55
2012-06-28,60
2012-06-29,65
2012-06-30,70
2012-07-01,64
2012-07-02,59
2012-07-03,54
2012-07-04,49
2012-07-05,44
2012-07-06,39
2012-07-07,34
2012-07-08,42
2012-07-09,50
2012-07-10,58
2012-07-11,66
2012-07-12,74
2012-07-13,82
2012-07-14,91
2012-07-15,90
2012-07-16,91
2012-07-17,90
2012-07-18,90
2012-07-19,89
2012-07-20,89
2012-07-21,88
2012-07-22,84
2012-07-23,77
2012-07-24,73
2012-07-25,68
2012-07-26,64
2012-07-27,59
2012-07-28,55
2012-07-29,53
2012-07-30,51
2012-07-31,49
2012-08-01,47
2012-08-02,45
2012-08-03,43
2012-08-04,41
