Date,Wells Fargo Securities
2012-01-01,63
2012-01-02,64
2012-01-03,65
2012-01-04,65
2012-01-05,66
2012-01-06,70
2012-01-07,73
2012-01-08,71
2012-01-09,68
2012-01-10,68
2012-01-11,69
2012-01-12,70
2012-01-13,69
2012-01-14,78
2012-01-15,72
2012-01-16,72
2012-01-17,74
2012-01-18,82
2012-01-19,77
2012-01-20,80
2012-01-21,85
2012-01-22,86
2012-01-23,78
2012-01-24,78
2012-01-25,77
2012-01-26,77
2012-01-27,77
2012-01-28,88
2012-01-29,76
2012-01-30,77
2012-01-31,78
2012-02-01,78
2012-02-02,82
2012-02-03,80
2012-02-04,88
2012-02-05,85
2012-02-06,79
2012-02-07,78
2012-02-08,81
2012-02-09,76
2012-02-10,75
2012-02-11,83
2012-02-12,80
2012-02-13,74
2012-02-14,75
2012-02-15,74
2012-02-16,73
2012-02-17,73
2012-02-18,85
2012-02-19,72
2012-02-20,71
2012-02-21,71
2012-02-22,72
2012-02-23,70
2012-02-24,72
2012-02-25,72
2012-02-26,78
2012-02-27,75
2012-02-28,79
2012-02-29,82
2012-03-01,86
2012-03-02,89
2012-03-03,104
2012-03-04,92
2012-03-05,90
2012-03-06,91
2012-03-07,87
2012-03-08,86
2012-03-09,85
2012-03-10,86
2012-03-11,88
2012-03-12,80
2012-03-13,78
2012-03-14,77
2012-03-15,75
2012-03-16,75
2012-03-17,80
2012-03-18,78
2012-03-19,75
2012-03-20,76
2012-03-21,81
2012-03-22,78
2012-03-23,83
2012-03-24,83
2012-03-25,84
2012-03-26,77
2012-03-27,76
2012-03-28,74
2012-03-29,74
2012-03-30,71
2012-03-31,78
2012-04-01,71
2012-04-02,72
2012-04-03,73
2012-04-04,77
2012-04-05,75
2012-04-06,80
2012-04-07,86
2012-04-08,80
2012-04-09,80
2012-04-10,85
2012-04-11,84
2012-04-12,83
2012-04-13,84
2012-04-14,95
2012-04-15,91
2012-04-16,84
2012-04-17,83
2012-04-18,82
2012-04-19,84
2012-04-20,80
2012-04-21,88
2012-04-22,85
2012-04-23,75
2012-04-24,74
2012-04-25,70
2012-04-26,71
2012-04-27,66
2012-04-28,66
2012-04-29,70
2012-04-30,64
2012-05-01,64
2012-05-02,66
2012-05-03,66
2012-05-04,65
2012-05-05,74
2012-05-06,66
2012-05-07,66
2012-05-08,66
2012-05-09,68
2012-05-10,66
2012-05-11,66
2012-05-12,77
2012-05-13,66
2012-05-14,64
2012-05-15,63
2012-05-16,63
2012-05-17,61
2012-05-18,63
2012-05-19,63
2012-05-20,67
2012-05-21,61
2012-05-22,62
2012-05-23,66
2012-05-24,64
2012-05-25,65
2012-05-26,76
2012-05-27,64
2012-05-28,64
2012-05-29,61
2012-05-30,63
2012-05-31,58
2012-06-01,58
2012-06-02,60
2012-06-03,59
2012-06-04,59
2012-06-05,61
2012-06-06,68
2012-06-07,64
2012-06-08,66
2012-06-09,75
2012-06-10,73
2012-06-11,65
2012-06-12,63
2012-06-13,62
2012-06-14,63
2012-06-15,59
2012-06-16,61
2012-06-17,68
2012-06-18,60
2012-06-19,64
2012-06-20,63
2012-06-21,64
2012-06-22,65
2012-06-23,76
2012-06-24,69
2012-06-25,67
2012-06-26,68
2012-06-27,71
2012-06-28,69
2012-06-29,69
2012-06-30,73
2012-07-01,67
2012-07-02,65
2012-07-03,63
