Date,JP Morgan Securities
2007-12-01,35
2007-12-02,34
2007-12-03,33
2007-12-04,33
2007-12-05,32
2007-12-06,32
2007-12-07,31
2007-12-08,31
2007-12-09,30
2007-12-10,30
2007-12-11,29
2007-12-12,29
2007-12-13,28
2007-12-14,28
2007-12-15,28
2007-12-16,27
2007-12-17,26
2007-12-18,25
2007-12-19,24
2007-12-20,23
2007-12-21,22
2007-12-22,22
2007-12-23,21
2007-12-24,20
2007-12-25,20
2007-12-26,19
2007-12-27,19
2007-12-28,18
2007-12-29,18
2007-12-30,19
2007-12-31,20
2008-01-01,21
2008-01-02,23
2008-01-03,24
2008-01-04,25
2008-01-05,27
2008-01-06,28
2008-01-07,29
2008-01-08,30
2008-01-09,31
2008-01-10,32
2008-01-11,33
2008-01-12,35
2008-01-13,36
2008-01-14,38
2008-01-15,40
2008-01-16,42
2008-01-17,49
2008-01-18,48
2008-01-19,48
2008-01-20,46
2008-01-21,45
2008-01-22,43
2008-01-23,42
2008-01-24,40
2008-01-25,39
2008-01-26,40
2008-01-27,38
2008-01-28,39
2008-01-29,41
2008-01-30,40
2008-01-31,40
2008-02-01,42
2008-02-02,42
2008-02-03,40
2008-02-04,38
2008-02-05,36
2008-02-06,34
2008-02-07,32
2008-02-08,30
2008-02-09,28
2008-02-10,27
2008-02-11,26
2008-02-12,25
2008-02-13,25
2008-02-14,25
2008-02-15,23
2008-02-16,23
2008-02-17,22
2008-02-18,22
2008-02-19,22
2008-02-20,22
2008-02-21,22
2008-02-22,22
2008-02-23,22
2008-02-24,22
2008-02-25,23
2008-02-26,24
2008-02-27,24
2008-02-28,25
2008-02-29,26
2008-03-01,27
2008-03-02,26
2008-03-03,26
2008-03-04,27
2008-03-05,26
2008-03-06,26
2008-03-07,26
2008-03-08,26
2008-03-09,27
2008-03-10,29
2008-03-11,31
2008-03-12,32
2008-03-13,33
2008-03-14,35
2008-03-15,38
2008-03-16,44
2008-03-17,52
2008-03-18,65
2008-03-19,72
2008-03-20,83
2008-03-21,86
2008-03-22,92
2008-03-23,84
2008-03-24,77
2008-03-25,70
2008-03-26,66
2008-03-27,56
2008-03-28,50
2008-03-29,42
2008-03-30,42
2008-03-31,42
2008-04-01,43
2008-04-02,43
2008-04-03,46
2008-04-04,44
2008-04-05,47
2008-04-06,44
2008-04-07,43
2008-04-08,42
2008-04-09,46
2008-04-10,41
2008-04-11,41
2008-04-12,40
2008-04-13,40
2008-04-14,41
2008-04-15,41
2008-04-16,42
2008-04-17,47
2008-04-18,43
2008-04-19,44
2008-04-20,41
2008-04-21,39
2008-04-22,36
2008-04-23,34
2008-04-24,32
2008-04-25,29
2008-04-26,27
2008-04-27,27
2008-04-28,28
2008-04-29,28
2008-04-30,29
2008-05-01,29
2008-05-02,30
2008-05-03,32
2008-05-04,30
2008-05-05,29
2008-05-06,29
2008-05-07,28
2008-05-08,28
2008-05-09,27
2008-05-10,27
2008-05-11,26
2008-05-12,26
2008-05-13,26
2008-05-14,26
2008-05-15,27
2008-05-16,26
2008-05-17,26
2008-05-18,26
2008-05-19,26
2008-05-20,26
2008-05-21,26
2008-05-22,26
2008-05-23,26
2008-05-24,26
2008-05-25,25
2008-05-26,24
2008-05-27,23
2008-05-28,23
2008-05-29,22
2008-05-30,21
2008-05-31,21
2008-06-01,22
2008-06-02,24
2008-06-03,26
2008-06-04,27
2008-06-05,31
2008-06-06,31
2008-06-07,33
2008-06-08,31
2008-06-09,30
2008-06-10,28
2008-06-11,27
2008-06-12,25
2008-06-13,24
2008-06-14,23
2008-06-15,23
2008-06-16,23
2008-06-17,23
2008-06-18,25
2008-06-19,24
2008-06-20,25
2008-06-21,25
2008-06-22,25
2008-06-23,26
2008-06-24,28
2008-06-25,28
2008-06-26,29
2008-06-27,30
2008-06-28,31
2008-06-29,30
2008-06-30,30
2008-07-01,30
2008-07-02,29
2008-07-03,29
2008-07-04,29
2008-07-05,29
2008-07-06,28
2008-07-07,27
2008-07-08,26
2008-07-09,26
2008-07-10,25
2008-07-11,24
2008-07-12,24
2008-07-13,27
2008-07-14,31
2008-07-15,34
2008-07-16,38
2008-07-17,41
2008-07-18,49
2008-07-19,49
2008-07-20,45
2008-07-21,42
2008-07-22,39
2008-07-23,37
2008-07-24,34
2008-07-25,32
2008-07-26,29
2008-07-27,29
2008-07-28,29
2008-07-29,29
2008-07-30,30
2008-07-31,32
2008-08-01,30
2008-08-02,31
2008-08-03,29
2008-08-04,28
2008-08-05,27
2008-08-06,25
2008-08-07,24
2008-08-08,23
2008-08-09,22
2008-08-10,23
2008-08-11,25
2008-08-12,27
2008-08-13,30
2008-08-14,30
2008-08-15,36
2008-08-16,34
2008-08-17,34
2008-08-18,34
2008-08-19,34
2008-08-20,34
2008-08-21,34
2008-08-22,37
2008-08-23,35
2008-08-24,34
2008-08-25,33
2008-08-26,33
2008-08-27,32
2008-08-28,34
2008-08-29,32
2008-08-30,31
2008-08-31,30
2008-09-01,29
2008-09-02,28
2008-09-03,28
2008-09-04,29
2008-09-05,26
2008-09-06,26
2008-09-07,26
2008-09-08,27
2008-09-09,27
2008-09-10,30
2008-09-11,29
2008-09-12,29
2008-09-13,30
2008-09-14,38
2008-09-15,47
2008-09-16,56
2008-09-17,64
2008-09-18,74
2008-09-19,86
2008-09-20,101
2008-09-21,92
2008-09-22,93
2008-09-23,94
2008-09-24,98
2008-09-25,97
2008-09-26,98
2008-09-27,115
2008-09-28,109
2008-09-29,99
2008-09-30,98
2008-10-01,107
2008-10-02,110
2008-10-03,97
2008-10-04,109
2008-10-05,94
2008-10-06,91
2008-10-07,88
2008-10-08,86
2008-10-09,84
2008-10-10,79
2008-10-11,90
2008-10-12,78
2008-10-13,80
2008-10-14,81
2008-10-15,86
2008-10-16,89
2008-10-17,87
2008-10-18,93
2008-10-19,82
2008-10-20,76
2008-10-21,70
2008-10-22,64
2008-10-23,60
2008-10-24,52
2008-10-25,47
2008-10-26,47
2008-10-27,47
2008-10-28,47
2008-10-29,47
2008-10-30,49
2008-10-31,47
2008-11-01,47
2008-11-02,45
2008-11-03,44
2008-11-04,46
2008-11-05,44
2008-11-06,42
2008-11-07,39
2008-11-08,38
2008-11-09,38
2008-11-10,39
2008-11-11,42
2008-11-12,40
2008-11-13,41
2008-11-14,45
2008-11-15,43
2008-11-16,45
2008-11-17,47
2008-11-18,51
2008-11-19,53
2008-11-20,54
2008-11-21,56
2008-11-22,61
2008-11-23,59
2008-11-24,54
2008-11-25,52
2008-11-26,49
2008-11-27,52
2008-11-28,45
2008-11-29,43
2008-11-30,42
2008-12-01,41
2008-12-02,40
2008-12-03,41
2008-12-04,40
2008-12-05,40
2008-12-06,38
2008-12-07,38
2008-12-08,38
2008-12-09,38
2008-12-10,42
2008-12-11,38
2008-12-12,38
2008-12-13,42
2008-12-14,38
