Date,Deutsche Bank
2008-05-20,30
2008-05-21,32
2008-05-22,33
2008-05-23,34
2008-05-24,35
2008-05-25,35
2008-05-26,36
2008-05-27,37
2008-05-28,37
2008-05-29,37
2008-05-30,40
2008-05-31,39
2008-06-01,38
2008-06-02,38
2008-06-03,39
2008-06-04,37
2008-06-05,36
2008-06-06,36
2008-06-07,38
2008-06-08,36
2008-06-09,36
2008-06-10,36
2008-06-11,36
2008-06-12,39
2008-06-13,36
2008-06-14,36
2008-06-15,36
2008-06-16,37
2008-06-17,37
2008-06-18,38
2008-06-19,38
2008-06-20,40
2008-06-21,41
2008-06-22,39
2008-06-23,39
2008-06-24,39
2008-06-25,39
2008-06-26,39
2008-06-27,40
2008-06-28,39
2008-06-29,39
2008-06-30,40
2008-07-01,44
2008-07-02,43
2008-07-03,42
2008-07-04,45
2008-07-05,46
2008-07-06,44
2008-07-07,44
2008-07-08,44
2008-07-09,44
2008-07-10,46
2008-07-11,44
2008-07-12,49
2008-07-13,45
2008-07-14,45
2008-07-15,46
2008-07-16,45
2008-07-17,50
2008-07-18,45
2008-07-19,48
2008-07-20,45
2008-07-21,45
2008-07-22,45
2008-07-23,44
2008-07-24,46
2008-07-25,43
2008-07-26,43
2008-07-27,43
2008-07-28,43
2008-07-29,44
2008-07-30,44
2008-07-31,45
2008-08-01,48
2008-08-02,48
2008-08-03,45
2008-08-04,44
2008-08-05,43
2008-08-06,44
2008-08-07,41
2008-08-08,40
2008-08-09,40
2008-08-10,38
2008-08-11,38
2008-08-12,38
2008-08-13,40
2008-08-14,38
2008-08-15,38
2008-08-16,38
2008-08-17,37
2008-08-18,36
2008-08-19,36
2008-08-20,37
2008-08-21,35
2008-08-22,34
2008-08-23,36
2008-08-24,33
2008-08-25,33
2008-08-26,33
2008-08-27,32
2008-08-28,32
2008-08-29,35
2008-08-30,34
2008-08-31,32
2008-09-01,33
2008-09-02,34
2008-09-03,35
2008-09-04,38
2008-09-05,37
2008-09-06,39
2008-09-07,38
2008-09-08,38
2008-09-09,38
2008-09-10,38
2008-09-11,38
2008-09-12,38
2008-09-13,41
2008-09-14,42
2008-09-15,42
2008-09-16,46
2008-09-17,47
2008-09-18,50
2008-09-19,54
2008-09-20,62
2008-09-21,53
2008-09-22,51
2008-09-23,50
2008-09-24,50
2008-09-25,47
2008-09-26,46
2008-09-27,47
2008-09-28,45
2008-09-29,46
2008-09-30,48
2008-10-01,49
2008-10-02,51
2008-10-03,55
2008-10-04,56
2008-10-05,59
2008-10-06,64
2008-10-07,69
2008-10-08,76
2008-10-09,80
2008-10-10,85
2008-10-11,104
2008-10-12,92
2008-10-13,93
2008-10-14,94
2008-10-15,101
2008-10-16,97
2008-10-17,105
2008-10-18,104
2008-10-19,105
2008-10-20,90
2008-10-21,85
2008-10-22,82
2008-10-23,79
2008-10-24,71
2008-10-25,73
2008-10-26,74
2008-10-27,72
2008-10-28,74
2008-10-29,81
2008-10-30,79
2008-10-31,82
2008-11-01,95
2008-11-02,82
2008-11-03,80
2008-11-04,81
2008-11-05,81
2008-11-06,74
2008-11-07,72
2008-11-08,77
2008-11-09,68
2008-11-10,65
2008-11-11,63
2008-11-12,60
2008-11-13,58
2008-11-14,58
2008-11-15,59
2008-11-16,55
2008-11-17,57
2008-11-18,59
2008-11-19,60
2008-11-20,62
2008-11-21,68
2008-11-22,73
2008-11-23,65
2008-11-24,65
2008-11-25,65
2008-11-26,67
2008-11-27,65
2008-11-28,65
2008-11-29,72
2008-11-30,65
2008-12-01,65
2008-12-02,65
2008-12-03,68
2008-12-04,65
2008-12-05,67
2008-12-06,75
2008-12-07,66
2008-12-08,66
2008-12-09,71
2008-12-10,67
2008-12-11,67
2008-12-12,67
2008-12-13,78
2008-12-14,67
2008-12-15,66
2008-12-16,65
2008-12-17,64
2008-12-18,64
2008-12-19,63
2008-12-20,65
2008-12-21,64
2008-12-22,55
2008-12-23,52
2008-12-24,56
2008-12-25,48
2008-12-26,44
2008-12-27,45
2008-12-28,43
2008-12-29,44
2008-12-30,46
2008-12-31,55
2009-01-01,48
2009-01-02,49
2009-01-03,53
2009-01-04,52
2009-01-05,51
2009-01-06,52
2009-01-07,55
2009-01-08,53
2009-01-09,53
2009-01-10,62
2009-01-11,56
2009-01-12,59
2009-01-13,61
2009-01-14,64
2009-01-15,66
2009-01-16,75
2009-01-17,72
2009-01-18,81
2009-01-19,71
2009-01-20,71
2009-01-21,72
2009-01-22,71
2009-01-23,71
2009-01-24,84
2009-01-25,69
2009-01-26,67
2009-01-27,65
2009-01-28,63
2009-01-29,62
2009-01-30,59
2009-01-31,61
2009-02-01,60
2009-02-02,59
2009-02-03,61
2009-02-04,61
2009-02-05,62
2009-02-06,65
2009-02-07,71
2009-02-08,66
2009-02-09,60
2009-02-10,59
2009-02-11,59
2009-02-12,56
2009-02-13,54
2009-02-14,61
2009-02-15,52
2009-02-16,52
2009-02-17,54
2009-02-18,53
2009-02-19,52
2009-02-20,52
2009-02-21,58
2009-02-22,52
2009-02-23,53
2009-02-24,53
2009-02-25,58
2009-02-26,54
2009-02-27,58
2009-02-28,57
2009-03-01,54
2009-03-02,53
2009-03-03,54
2009-03-04,51
2009-03-05,51
2009-03-06,49
2009-03-07,54
2009-03-08,49
2009-03-09,51
2009-03-10,54
2009-03-11,54
2009-03-12,55
2009-03-13,59
2009-03-14,67
2009-03-15,58
2009-03-16,58
2009-03-17,62
2009-03-18,57
2009-03-19,56
2009-03-20,58
2009-03-21,60
2009-03-22,61
2009-03-23,58
2009-03-24,61
2009-03-25,61
2009-03-26,63
2009-03-27,65
2009-03-28,75
2009-03-29,71
2009-03-30,64
2009-03-31,65
2009-04-01,64
2009-04-02,61
2009-04-03,62
2009-04-04,68
2009-04-05,59
2009-04-06,58
2009-04-07,57
2009-04-08,56
2009-04-09,55
2009-04-10,61
2009-04-11,57
2009-04-12,53
2009-04-13,53
2009-04-14,53
2009-04-15,53
2009-04-16,54
2009-04-17,53
2009-04-18,63
2009-04-19,55
2009-04-20,53
2009-04-21,55
2009-04-22,52
2009-04-23,54
2009-04-24,52
2009-04-25,59
2009-04-26,52
2009-04-27,53
2009-04-28,53
2009-04-29,55
2009-04-30,54
2009-05-01,62
2009-05-02,59
2009-05-03,55
2009-05-04,54
2009-05-05,56
2009-05-06,54
2009-05-07,52
2009-05-08,54
2009-05-09,57
2009-05-10,50
2009-05-11,50
2009-05-12,52
2009-05-13,51
2009-05-14,50
2009-05-15,52
2009-05-16,57
2009-05-17,49
2009-05-18,49
2009-05-19,49
2009-05-20,49
2009-05-21,52
2009-05-22,48
2009-05-23,52
2009-05-24,49
2009-05-25,50
2009-05-26,51
2009-05-27,54
2009-05-28,57
2009-05-29,56
2009-05-30,64
2009-05-31,54
