Date,Morgan Stanley
2013-05-20,35
2013-05-21,33
2013-05-22,33
2013-05-23,30
2013-05-24,28
2013-05-25,30
2013-05-26,27
2013-05-27,27
2013-05-28,27
2013-05-29,27
2013-05-30,28
2013-05-31,27
2013-06-01,29
2013-06-02,28
2013-06-03,28
2013-06-04,28
2013-06-05,29
2013-06-06,31
2013-06-07,29
2013-06-08,30
2013-06-09,31
2013-06-10,32
2013-06-11,34
2013-06-12,34
2013-06-13,35
2013-06-14,37
2013-06-15,38
2013-06-16,37
2013-06-17,37
2013-06-18,37
2013-06-19,40
2013-06-20,36
2013-06-21,36
2013-06-22,37
2013-06-23,35
2013-06-24,34
2013-06-25,33
2013-06-26,33
2013-06-27,32
2013-06-28,30
2013-06-29,30
2013-06-30,30
2013-07-01,31
2013-07-02,32
2013-07-03,35
2013-07-04,34
2013-07-05,34
2013-07-06,35
2013-07-07,35
2013-07-08,35
2013-07-09,36
2013-07-10,36
2013-07-11,38
2013-07-12,36
2013-07-13,37
2013-07-14,38
2013-07-15,40
2013-07-16,44
2013-07-17,43
2013-07-18,44
2013-07-19,48
2013-07-20,49
2013-07-21,46
2013-07-22,44
2013-07-23,43
2013-07-24,40
2013-07-25,40
2013-07-26,36
2013-07-27,34
2013-07-28,33
2013-07-29,32
2013-07-30,32
2013-07-31,31
2013-08-01,31
2013-08-02,30
2013-08-03,30
2013-08-04,30
2013-08-05,31
2013-08-06,31
2013-08-07,36
2013-08-08,32
2013-08-09,35
2013-08-10,34
2013-08-11,34
2013-08-12,34
2013-08-13,34
2013-08-14,37
2013-08-15,36
2013-08-16,34
2013-08-17,36
2013-08-18,34
2013-08-19,35
2013-08-20,36
2013-08-21,37
2013-08-22,41
2013-08-23,39
2013-08-24,40
2013-08-25,38
2013-08-26,37
2013-08-27,37
2013-08-28,36
2013-08-29,34
2013-08-30,34
2013-08-31,32
2013-09-01,32
2013-09-02,33
2013-09-03,34
2013-09-04,34
2013-09-05,37
2013-09-06,36
2013-09-07,37
2013-09-08,37
2013-09-09,38
2013-09-10,38
2013-09-11,39
2013-09-12,43
2013-09-13,40
2013-09-14,44
2013-09-15,39
2013-09-16,37
2013-09-17,35
2013-09-18,34
2013-09-19,34
2013-09-20,30
2013-09-21,29
2013-09-22,30
2013-09-23,32
2013-09-24,35
2013-09-25,37
2013-09-26,38
2013-09-27,40
2013-09-28,42
2013-09-29,40
2013-09-30,39
2013-10-01,39
2013-10-02,36
2013-10-03,39
2013-10-04,34
2013-10-05,33
2013-10-06,35
2013-10-07,37
2013-10-08,39
2013-10-09,41
2013-10-10,43
2013-10-11,47
2013-10-12,48
2013-10-13,48
2013-10-14,49
2013-10-15,50
2013-10-16,52
2013-10-17,53
2013-10-18,54
2013-10-19,62
2013-10-20,59
2013-10-21,52
2013-10-22,50
2013-10-23,48
2013-10-24,49
2013-10-25,44
2013-10-26,42
2013-10-27,42
2013-10-28,42
2013-10-29,42
2013-10-30,46
2013-10-31,47
2013-11-01,43
2013-11-02,44
2013-11-03,43
2013-11-04,42
2013-11-05,42
2013-11-06,40
2013-11-07,39
2013-11-08,40
2013-11-09,37
2013-11-10,39
2013-11-11,39
2013-11-12,40
2013-11-13,43
2013-11-14,43
2013-11-15,45
2013-11-16,51
2013-11-17,46
2013-11-18,47
2013-11-19,47
2013-11-20,48
2013-11-21,48
2013-11-22,53
2013-11-23,53
2013-11-24,47
2013-11-25,45
2013-11-26,44
2013-11-27,42
2013-11-28,39
2013-11-29,36
2013-11-30,35
2013-12-01,33
2013-12-02,33
2013-12-03,32
2013-12-04,33
2013-12-05,31
2013-12-06,31
2013-12-07,32
2013-12-08,30
2013-12-09,30
2013-12-10,30
2013-12-11,31
2013-12-12,31
2013-12-13,30
2013-12-14,30
2013-12-15,29
2013-12-16,29
2013-12-17,29
2013-12-18,28
2013-12-19,28
2013-12-20,28
2013-12-21,29
2013-12-22,28
2013-12-23,28
2013-12-24,28
2013-12-25,29
2013-12-26,28
2013-12-27,28
2013-12-28,28
2013-12-29,28
2013-12-30,28
2013-12-31,29
2014-01-01,28
2014-01-02,28
2014-01-03,28
2014-01-04,28
2014-01-05,30
2014-01-06,32
2014-01-07,34
2014-01-08,36
2014-01-09,41
2014-01-10,40
2014-01-11,46
2014-01-12,45
2014-01-13,47
2014-01-14,51
2014-01-15,52
2014-01-16,55
2014-01-17,57
2014-01-18,69
2014-01-19,59
2014-01-20,54
2014-01-21,51
2014-01-22,52
2014-01-23,46
2014-01-24,46
2014-01-25,41
2014-01-26,40
2014-01-27,39
