Date,AutoTrader
2011-12-10,58
2011-12-11,57
2011-12-12,55
2011-12-13,54
2011-12-14,52
2011-12-15,51
2011-12-16,50
2011-12-17,49
2011-12-18,51
2011-12-19,53
2011-12-20,54
2011-12-21,56
2011-12-22,57
2011-12-23,59
2011-12-24,61
2011-12-25,59
2011-12-26,59
2011-12-27,57
2011-12-28,56
2011-12-29,55
2011-12-30,54
2011-12-31,52
2012-01-01,51
2012-01-02,48
2012-01-03,47
2012-01-04,45
2012-01-05,44
2012-01-06,42
2012-01-07,41
2012-01-08,44
2012-01-09,47
2012-01-10,50
2012-01-11,53
2012-01-12,56
2012-01-13,59
2012-01-14,62
2012-01-15,64
2012-01-16,67
2012-01-17,69
2012-01-18,71
2012-01-19,73
2012-01-20,75
2012-01-21,77
2012-01-22,77
2012-01-23,77
2012-01-24,76
2012-01-25,76
2012-01-26,76
2012-01-27,76
2012-01-28,75
2012-01-29,75
2012-01-30,76
2012-01-31,76
2012-02-01,77
2012-02-02,77
2012-02-03,77
2012-02-04,77
2012-02-05,74
2012-02-06,70
2012-02-07,67
2012-02-08,64
2012-02-09,61
2012-02-10,58
2012-02-11,55
2012-02-12,57
2012-02-13,58
2012-02-14,60
2012-02-15,62
2012-02-16,63
2012-02-17,65
2012-02-18,66
2012-02-19,70
2012-02-20,73
2012-02-21,76
2012-02-22,80
2012-02-23,83
2012-02-24,86
2012-02-25,90
2012-02-26,87
2012-03-04,75
2012-03-05,78
2012-03-06,81
2012-03-07,83
2012-03-08,86
2012-03-09,88
2012-03-10,91
2012-03-11,89
2012-03-12,87
2012-03-13,84
2012-03-14,82
2012-03-15,79
2012-03-16,77
2012-03-17,75
2012-03-18,69
2012-03-19,62
2012-03-20,57
2012-03-21,51
2012-03-22,46
2012-03-23,41
2012-03-24,35
2012-03-25,39
2012-03-26,42
2012-03-27,45
2012-03-28,48
2012-03-29,52
2012-03-30,55
2012-03-31,58
2012-04-01,61
2012-04-02,64
2012-04-03,66
2012-04-04,69
2012-04-05,71
2012-04-06,74
2012-04-07,77
2012-04-08,77
2012-04-09,78
2012-04-10,78
2012-04-11,78
2012-04-12,79
2012-04-13,79
2012-04-14,80
2012-04-15,76
2012-04-16,71
2012-04-17,67
2012-04-18,63
2012-04-19,59
2012-04-20,54
2012-04-21,50
2012-04-22,53
2012-04-23,55
2012-04-24,58
2012-04-25,61
2012-04-26,63
2012-04-27,66
2012-04-28,68
2012-04-29,70
2012-04-30,72
2012-05-01,73
2012-05-02,74
2012-05-03,76
2012-05-04,77
2012-05-05,78
2012-05-06,77
2012-05-07,75
2012-05-08,74
2012-05-09,72
2012-05-10,71
2012-05-11,70
2012-05-12,69
2012-05-13,68
2012-05-14,68
2012-05-15,67
2012-05-16,66
2012-05-17,65
2012-05-18,64
2012-05-19,63
2012-05-20,62
2012-05-21,60
2012-05-22,59
2012-05-23,58
2012-05-24,56
2012-05-25,55
2012-05-26,54
2012-05-27,54
