Date,LinkedIn
2011-06-29,13
2011-06-30,12
2011-07-01,12
2011-07-02,13
2011-07-03,11
2011-07-04,12
2011-07-05,11
2011-07-06,11
2011-07-07,13
2011-07-08,13
2011-07-09,13
2011-07-10,12
2011-07-11,12
2011-07-12,13
2011-07-13,13
2011-07-14,12
2011-07-15,14
2011-07-16,14
2011-07-17,13
2011-07-18,13
2011-07-19,14
2011-07-20,15
2011-07-21,14
2011-07-22,14
2011-07-23,15
2011-07-24,15
2011-07-25,12
2011-07-26,12
2011-07-27,14
2011-07-28,14
2011-07-29,12
2011-07-30,13
2011-07-31,13
2011-08-01,12
2011-08-02,14
2011-08-03,14
2011-08-04,14
2011-08-05,15
2011-08-06,18
2011-08-07,13
2011-08-08,14
2011-08-09,14
2011-08-10,16
2011-08-11,16
2011-08-12,16
2011-08-13,17
2011-08-14,16
2011-08-15,12
2011-08-16,14
2011-08-17,14
2011-08-18,13
2011-08-19,13
2011-08-20,14
2011-08-21,13
2011-08-22,10
2011-08-23,12
2011-08-24,12
2011-08-25,11
2011-08-26,12
2011-08-27,11
2011-08-28,11
2011-08-29,11
2011-08-30,11
2011-08-31,10
2011-09-01,12
2011-09-02,10
2011-09-03,11
2011-09-04,11
2011-09-05,10
2011-09-06,9
2011-09-07,12
2011-09-08,9
2011-09-09,11
2011-09-10,11
2011-09-11,10
2011-09-12,11
2011-09-13,12
2011-09-14,13
2011-09-15,12
2011-09-16,13
2011-09-17,14
2011-09-18,14
2011-09-19,14
2011-09-20,13
2011-09-21,13
2011-09-22,14
2011-09-23,14
2011-09-24,14
2011-09-25,13
2011-09-26,13
2011-09-27,13
2011-09-28,13
2011-09-29,13
2011-09-30,13
2011-10-01,13
2011-10-02,12
2011-10-03,12
2011-10-04,11
2011-10-05,11
2011-10-06,12
2011-10-07,10
2011-10-08,11
2011-10-09,11
2011-10-10,11
2011-10-11,11
2011-10-12,11
2011-10-13,12
2011-10-14,13
2011-10-15,14
2011-10-16,12
2011-10-17,8
2011-10-18,12
2011-10-19,13
2011-10-20,9
2011-10-21,11
2011-10-22,11
2011-10-23,11
2011-10-24,11
2011-10-25,10
2011-10-26,11
2011-10-27,11
2011-10-28,10
2011-10-29,11
2011-10-30,11
2011-10-31,10
2011-11-01,12
2011-11-02,14
2011-11-03,12
2011-11-04,15
2011-11-05,17
2011-11-06,16
2011-11-07,11
2011-11-08,13
2011-11-09,14
2011-11-10,11
2011-11-11,12
2011-11-12,11
2011-11-13,11
2011-11-14,11
2011-11-15,10
2011-11-16,12
2011-11-17,13
2011-11-18,11
2011-11-19,14
2011-11-20,12
2011-11-21,9
2011-11-22,12
2011-11-23,12
2011-11-24,12
2011-11-25,11
2011-11-26,11
2011-11-27,11
2011-11-28,11
2011-11-29,12
2011-11-30,12
2011-12-01,9
2011-12-02,11
2011-12-03,10
2011-12-04,10
2011-12-05,10
2011-12-06,11
2011-12-07,10
2011-12-08,10
2011-12-09,9
2011-12-10,9
2011-12-11,10
2011-12-12,10
2011-12-13,11
2011-12-14,10
2011-12-15,11
2011-12-16,11
2011-12-17,12
2011-12-18,11
2011-12-19,11
2011-12-20,10
2011-12-21,9
2011-12-22,10
2011-12-23,10
2011-12-24,8
2011-12-25,8
2011-12-26,8
2011-12-27,8
2011-12-28,7
2011-12-29,7
2011-12-30,7
2011-12-31,7
2012-01-01,7
2012-01-02,7
2012-01-03,7
2012-01-04,8
2012-01-05,8
2012-01-06,8
2012-01-07,8
2012-01-08,9
2012-01-09,9
2012-01-10,10
2012-01-11,9
2012-01-12,11
2012-01-13,12
2012-01-14,11
2012-01-15,11
2012-01-16,11
2012-01-17,10
2012-01-18,11
2012-01-19,9
2012-01-20,11
2012-01-21,10
