Date,Orbitz Worldwide
2006-11-01,100
2006-11-02,99
2006-11-03,99
2006-11-04,99
2006-11-05,98
2006-11-06,98
2006-11-07,98
2006-11-08,97
2006-11-09,97
2006-11-10,97
2006-11-11,96
2006-11-12,96
2006-11-13,96
2006-11-14,95
2006-11-15,95
2006-11-16,95
2006-11-17,94
2006-11-18,94
2006-11-19,94
2006-11-20,93
2006-11-21,93
2006-11-22,93
2006-11-23,92
2006-11-24,92
2006-11-25,92
2006-11-26,91
2006-11-27,91
2006-11-28,91
2006-11-29,90
2006-11-30,90
2006-12-01,90
2006-12-02,90
2006-12-03,90
2006-12-04,90
2006-12-05,90
2006-12-06,90
2006-12-07,90
2006-12-08,90
2006-12-09,90
2006-12-10,90
2006-12-11,90
2006-12-12,90
2006-12-13,90
2006-12-14,90
2006-12-15,90
2006-12-16,90
2006-12-17,90
2006-12-18,90
2006-12-19,90
2006-12-20,90
2006-12-21,90
2006-12-22,90
2006-12-23,90
2006-12-24,90
2006-12-25,90
2006-12-26,90
2006-12-27,90
2006-12-28,90
2006-12-29,90
2006-12-30,90
2006-12-31,90
2007-01-01,90
2007-01-02,90
2007-01-03,90
2007-01-04,90
2007-01-05,90
2007-01-06,90
2007-01-07,90
2007-01-08,90
2007-01-09,90
2007-01-10,90
2007-01-11,90
2007-01-12,90
2007-01-13,90
2007-01-14,90
2007-01-15,90
2007-01-16,90
2007-01-17,90
2007-01-18,90
2007-01-19,90
2007-01-20,90
2007-01-21,90
2007-01-22,90
2007-01-23,90
2007-01-24,90
2007-01-25,90
2007-01-26,90
2007-01-27,90
2007-01-28,90
2007-01-29,90
2007-01-30,90
2007-01-31,90
2007-02-01,90
2007-02-02,90
2007-02-03,90
2007-02-04,90
2007-02-05,90
2007-02-06,90
2007-02-07,90
2007-02-08,90
2007-02-09,90
2007-02-10,90
2007-02-11,90
2007-02-12,90
2007-02-13,90
2007-02-14,90
2007-02-15,90
2007-02-16,90
2007-02-17,90
2007-02-18,90
2007-02-19,90
2007-02-20,90
2007-02-21,90
2007-02-22,90
2007-02-23,90
2007-02-24,90
2007-02-25,90
2007-02-26,90
2007-02-27,90
2007-02-28,90
2007-03-01,90
2007-03-02,89
2007-03-03,88
2007-03-04,88
2007-03-05,87
2007-03-06,87
2007-03-07,86
