Date,Kinder Morgan
2011-04-20,37
2011-04-21,37
2011-04-22,37
2011-04-23,37
2011-04-24,37
2011-04-25,37
2011-04-26,37
2011-04-27,37
2011-04-28,37
2011-04-29,37
2011-04-30,37
2011-05-01,38
2011-05-02,38
2011-05-03,38
2011-05-04,38
2011-05-05,38
2011-05-06,39
2011-05-07,39
2011-05-08,39
2011-05-09,39
2011-05-10,40
2011-05-11,40
2011-05-12,40
2011-05-13,40
2011-05-14,40
2011-05-15,41
2011-05-16,41
2011-05-17,41
2011-05-18,41
2011-05-19,42
2011-05-20,42
2011-05-21,42
2011-05-22,42
2011-05-23,42
2011-05-24,43
2011-05-25,43
2011-05-26,43
2011-05-27,43
2011-05-28,44
2011-05-29,44
2011-05-30,44
2011-05-31,44
2011-06-01,45
2011-06-02,44
2011-06-03,44
2011-06-04,43
2011-06-05,43
2011-06-06,42
2011-06-07,42
2011-06-08,41
2011-06-09,41
2011-06-10,40
2011-06-11,40
2011-06-12,39
2011-06-13,39
2011-06-14,38
2011-06-15,38
2011-06-16,37
2011-06-17,37
2011-06-18,36
2011-06-19,36
2011-06-20,35
2011-06-21,35
2011-06-22,34
2011-06-23,34
2011-06-24,33
2011-06-25,33
2011-06-26,32
2011-06-27,32
2011-06-28,31
2011-06-29,31
2011-06-30,30
2011-07-01,30
2011-07-02,30
2011-07-03,30
2011-07-04,30
2011-07-05,30
2011-07-06,30
2011-07-07,30
2011-07-08,30
2011-07-09,30
2011-07-10,30
2011-07-11,30
2011-07-12,30
2011-07-13,30
2011-07-14,30
2011-07-15,30
2011-07-16,30
2011-07-17,30
2011-07-18,30
2011-07-19,30
2011-07-20,30
2011-07-21,30
2011-07-22,30
2011-07-23,30
2011-07-24,30
2011-07-25,30
2011-07-26,30
2011-07-27,30
2011-07-28,30
2011-07-29,30
2011-07-30,30
2011-07-31,30
2011-08-01,30
2011-08-02,30
2011-08-03,30
2011-08-04,30
2011-08-05,30
2011-08-06,30
2011-08-07,30
2011-08-08,30
2011-08-09,30
2011-08-10,30
2011-08-11,30
2011-08-12,30
2011-08-13,30
2011-08-14,30
2011-08-15,30
2011-08-16,30
2011-08-17,30
2011-08-18,30
2011-08-19,30
2011-08-20,30
2011-08-21,30
2011-08-22,30
2011-08-23,30
2011-08-24,30
2011-08-25,30
2011-08-26,30
2011-08-27,30
2011-08-28,30
2011-08-29,30
2011-08-30,30
2011-08-31,30
2011-09-01,30
2011-09-02,30
2011-09-03,31
2011-09-04,32
2011-09-05,33
2011-09-06,34
2011-09-07,35
2011-09-08,36
2011-09-09,37
2011-09-10,38
2011-09-11,39
2011-09-12,40
2011-09-13,41
2011-09-14,42
2011-09-15,43
2011-09-16,44
2011-09-17,45
2011-09-18,46
2011-09-19,47
2011-09-20,48
2011-09-21,49
2011-09-22,50
2011-09-23,51
2011-09-24,52
2011-09-25,53
2011-09-26,54
2011-09-27,55
2011-09-28,56
2011-09-29,57
2011-09-30,58
2011-10-01,59
2011-10-02,58
2011-10-03,58
2011-10-04,58
2011-10-05,58
2011-10-06,57
2011-10-07,57
2011-10-08,57
2011-10-09,57
2011-10-10,56
2011-10-11,56
2011-10-12,56
2011-10-13,56
2011-10-14,56
2011-10-15,55
2011-10-16,55
2011-10-17,55
2011-10-18,55
2011-10-19,54
2011-10-20,54
2011-10-21,54
2011-10-22,54
2011-10-23,54
2011-10-24,53
2011-10-25,53
2011-10-26,53
2011-10-27,53
2011-10-28,52
2011-10-29,52
2011-10-30,52
2011-10-31,52
2011-11-01,52
2011-11-02,51
2011-11-03,51
2011-11-04,51
2011-11-05,50
2011-11-06,50
2011-11-07,50
2011-11-08,50
2011-11-09,49
2011-11-10,49
2011-11-11,49
2011-11-12,49
2011-11-13,48
2011-11-14,48
2011-11-15,48
2011-11-16,48
2011-11-17,47
2011-11-18,47
2011-11-19,47
2011-11-20,46
2011-11-21,46
2011-11-22,46
2011-11-23,46
2011-11-24,45
2011-11-25,45
2011-11-26,45
2011-11-27,45
2011-11-28,44
2011-11-29,44
2011-11-30,44
2011-12-01,44
2011-12-02,44
2011-12-03,44
2011-12-04,44
2011-12-05,44
2011-12-06,44
2011-12-07,44
2011-12-08,45
2011-12-09,45
2011-12-10,45
2011-12-11,45
2011-12-12,45
2011-12-13,45
2011-12-14,46
2011-12-15,46
2011-12-16,46
2011-12-17,46
2011-12-18,46
2011-12-19,46
2011-12-20,47
2011-12-21,47
2011-12-22,47
2011-12-23,47
2011-12-24,47
2011-12-25,47
2011-12-26,48
2011-12-27,48
2011-12-28,48
2011-12-29,48
2011-12-30,48
2011-12-31,48
2012-01-01,49
2012-01-02,49
2012-01-03,49
2012-01-04,49
2012-01-05,49
2012-01-06,49
2012-01-07,49
2012-01-08,49
2012-01-09,49
2012-01-10,49
2012-01-11,49
2012-01-12,50
2012-01-13,50
2012-01-14,50
2012-01-15,50
2012-01-16,50
2012-01-17,50
2012-01-18,50
2012-01-19,50
2012-01-20,50
2012-01-21,50
2012-01-22,51
2012-01-23,51
2012-01-24,51
2012-01-25,51
2012-01-26,51
2012-01-27,51
2012-01-28,51
2012-01-29,51
2012-01-30,51
2012-01-31,51
2012-02-01,52
2012-02-02,51
2012-02-03,51
2012-02-04,51
2012-02-05,51
2012-02-06,51
2012-02-07,51
2012-02-08,51
2012-02-09,51
2012-02-10,51
2012-02-11,50
2012-02-12,50
2012-02-13,50
2012-02-14,50
2012-02-15,50
2012-02-16,50
2012-02-17,50
2012-02-18,50
2012-02-19,50
2012-02-20,50
2012-02-21,49
2012-02-22,49
2012-02-23,49
2012-02-24,49
2012-02-25,49
2012-02-26,49
2012-02-27,49
2012-02-28,49
2012-02-29,49
2012-03-01,49
2012-03-02,49
2012-03-03,50
2012-03-04,50
2012-03-05,51
2012-03-06,51
2012-03-07,52
2012-03-08,52
2012-03-09,53
2012-03-10,53
2012-03-11,54
2012-03-12,54
2012-03-13,55
2012-03-14,55
2012-03-15,56
2012-03-16,56
2012-03-17,57
2012-03-18,57
2012-03-19,58
2012-03-20,58
2012-03-21,59
2012-03-22,59
2012-03-23,60
2012-03-24,60
2012-03-25,61
2012-03-26,61
2012-03-27,62
2012-03-28,62
2012-03-29,63
2012-03-30,63
2012-03-31,64
2012-04-01,65
2012-04-02,64
2012-04-03,64
2012-04-04,64
2012-04-05,63
2012-04-06,63
2012-04-07,63
2012-04-08,62
2012-04-09,62
2012-04-10,62
2012-04-11,61
2012-04-12,61
2012-04-13,61
2012-04-14,60
2012-04-15,60
2012-04-16,60
2012-04-17,59
2012-04-18,59
2012-04-19,59
2012-04-20,58
2012-04-21,58
2012-04-22,58
2012-04-23,57
2012-04-24,57
2012-04-25,57
2012-04-26,56
2012-04-27,56
2012-04-28,56
2012-04-29,55
2012-04-30,55
