Date,MSCI Inc
2007-01-13,52
2007-01-14,59
2007-01-15,66
2007-01-16,72
2007-01-17,79
2007-01-18,86
2007-01-19,93
2007-01-20,99
2007-01-21,98
2007-01-22,98
2007-01-23,97
2007-01-24,96
2007-01-25,96
2007-01-26,95
2007-01-27,94
2007-01-28,93
2007-01-29,92
2007-01-30,91
2007-01-31,90
2007-02-01,90
2007-02-02,89
2007-02-03,88
2007-02-04,86
2007-02-05,84
2007-02-06,82
2007-02-07,81
2007-02-08,79
2007-02-09,78
2007-02-10,76
2007-02-11,75
2007-02-12,75
2007-02-13,74
2007-02-14,73
2007-02-15,72
2007-02-16,71
2007-02-17,71
2007-02-18,72
2007-02-19,74
2007-02-20,75
2007-02-21,77
2007-02-22,78
2007-02-23,79
2007-02-24,81
2007-02-25,79
2007-02-26,77
2007-02-27,76
2007-02-28,74
2007-03-01,72
2007-03-02,71
2007-03-03,69
2007-03-04,73
2007-03-05,77
2007-03-06,80
2007-03-07,84
2007-03-08,87
2007-03-09,91
2007-03-10,95
2007-03-11,91
2007-03-12,88
2007-03-13,84
2007-03-14,80
2007-03-15,77
2007-03-16,73
2007-03-17,69
2007-03-18,66
2007-03-19,62
2007-03-20,58
2007-03-21,55
2007-03-22,52
2007-03-23,49
2007-03-24,45
2007-03-25,48
2007-04-01,67
2007-04-02,73
2007-04-03,77
2007-04-04,82
2007-04-05,87
2007-04-06,92
2007-04-07,97
2007-04-08,91
2007-04-09,81
2007-04-10,76
2007-04-11,70
2007-04-12,64
2007-04-13,59
2007-04-14,53
2007-04-15,54
2007-04-16,55
2007-04-17,56
2007-04-18,56
2007-04-19,57
2007-04-20,58
2007-04-21,59
2007-04-22,58
2007-04-23,57
2007-04-24,57
2007-04-25,56
2007-04-26,55
2007-04-27,55
2007-04-28,54
2007-04-29,57
2007-04-30,60
2007-05-01,63
2007-05-02,66
2007-05-03,69
2007-05-04,72
2007-05-05,75
2007-05-06,75
2007-05-07,77
2007-05-08,77
2007-05-09,78
2007-05-10,78
2007-05-11,79
2007-05-12,79
2007-05-13,80
2007-05-14,79
2007-05-15,79
2007-05-16,79
2007-05-17,79
2007-05-18,79
2007-05-19,80
2007-05-20,76
2007-05-21,71
2007-05-22,68
2007-05-23,65
2007-05-24,62
2007-05-25,58
2007-05-26,55
2007-05-27,60
2007-05-28,66
2007-05-29,71
2007-05-30,76
2007-05-31,81
2007-06-01,86
2007-06-02,91
2007-06-03,89
2007-06-04,87
2007-06-05,85
2007-06-06,83
2007-06-07,82
2007-06-08,80
2007-06-09,78
2007-06-10,75
2007-06-11,71
2007-06-12,68
2007-06-13,65
2007-06-14,63
2007-06-15,60
2007-06-16,57
2007-06-17,59
2007-06-18,59
2007-06-19,61
2007-06-20,63
2007-06-21,65
2007-06-22,67
2007-06-23,69
2007-06-24,70
2007-07-01,77
2007-07-02,74
2007-07-03,73
2007-07-04,71
2007-07-05,69
2007-07-06,68
2007-07-07,66
2007-07-08,70
