Date,Newegg
2010-11-01,64
2010-11-02,65
2010-11-03,66
2010-11-04,67
2010-11-05,68
2010-11-06,70
2010-11-07,71
2010-11-08,72
2010-11-09,73
2010-11-10,74
2010-11-11,76
2010-11-12,77
2010-11-13,78
2010-11-14,79
2010-11-15,80
2010-11-16,82
2010-11-17,83
2010-11-18,84
2010-11-19,85
2010-11-20,86
2010-11-21,88
2010-11-22,89
2010-11-23,90
2010-11-24,91
2010-11-25,92
2010-11-26,94
2010-11-27,95
2010-11-28,96
2010-11-29,97
2010-11-30,98
2010-12-01,100
2010-12-02,98
2010-12-03,97
2010-12-04,96
2010-12-05,95
2010-12-06,94
2010-12-07,93
2010-12-08,92
2010-12-09,90
2010-12-10,89
2010-12-11,88
2010-12-12,87
2010-12-13,86
2010-12-14,85
2010-12-15,84
2010-12-16,83
2010-12-17,81
2010-12-18,80
2010-12-19,79
2010-12-20,78
2010-12-21,77
2010-12-22,76
2010-12-23,75
2010-12-24,74
2010-12-25,72
2010-12-26,71
2010-12-27,70
2010-12-28,69
2010-12-29,68
2010-12-30,67
2010-12-31,66
2011-01-01,65
2011-01-02,65
2011-01-03,65
2011-01-04,65
2011-01-05,65
2011-01-06,65
2011-01-07,65
2011-01-08,65
2011-01-09,66
2011-01-10,66
2011-01-11,66
2011-01-12,66
2011-01-13,66
2011-01-14,66
2011-01-15,66
2011-01-16,66
2011-01-17,67
2011-01-18,67
2011-01-19,67
2011-01-20,67
2011-01-21,67
2011-01-22,67
2011-01-23,67
2011-01-24,67
2011-01-25,68
2011-01-26,68
2011-01-27,68
2011-01-28,68
2011-01-29,68
2011-01-30,68
2011-01-31,68
2011-02-01,69
2011-02-02,69
2011-02-03,69
2011-02-04,69
2011-02-05,69
2011-02-06,69
2011-02-07,70
2011-02-08,70
2011-02-09,70
2011-02-10,70
2011-02-11,70
2011-02-12,70
2011-02-13,71
2011-02-14,71
2011-02-15,71
2011-02-16,71
2011-02-17,71
2011-02-18,72
2011-02-19,72
2011-02-20,72
2011-02-21,72
2011-02-22,72
2011-02-23,72
2011-02-24,73
2011-02-25,73
2011-02-26,73
2011-02-27,73
2011-02-28,73
2011-03-01,74
2011-03-02,74
2011-03-03,74
2011-03-04,74
2011-03-05,74
2011-03-06,74
2011-03-07,74
2011-03-08,74
2011-03-09,75
2011-03-10,75
2011-03-11,75
2011-03-12,75
2011-03-13,75
2011-03-14,75
2011-03-15,75
2011-03-16,75
2011-03-17,76
2011-03-18,76
2011-03-19,76
2011-03-20,76
2011-03-21,76
2011-03-22,76
2011-03-23,76
2011-03-24,76
2011-03-25,77
2011-03-26,77
2011-03-27,77
2011-03-28,77
2011-03-29,77
2011-03-30,77
2011-03-31,77
2011-04-01,78
2011-04-02,78
2011-04-03,78
2011-04-04,78
2011-04-05,78
2011-04-06,78
2011-04-07,78
2011-04-08,78
2011-04-09,79
2011-04-10,79
2011-04-11,79
2011-04-12,79
2011-04-13,79
2011-04-14,79
2011-04-15,79
2011-04-16,80
2011-04-17,80
2011-04-18,80
2011-04-19,80
2011-04-20,80
2011-04-21,80
2011-04-22,80
2011-04-23,80
2011-04-24,81
2011-04-25,81
2011-04-26,81
2011-04-27,81
2011-04-28,81
2011-04-29,81
2011-04-30,81
2011-05-01,82
2011-05-02,81
2011-05-03,81
2011-05-04,81
2011-05-05,80
2011-05-06,80
2011-05-07,80
2011-05-08,79
2011-05-09,79
2011-05-10,79
2011-05-11,79
2011-05-12,78
2011-05-13,78
2011-05-14,78
2011-05-15,77
2011-05-16,77
2011-05-17,77
2011-05-18,77
2011-05-19,76
2011-05-20,76
2011-05-21,76
2011-05-22,75
2011-05-23,75
2011-05-24,75
2011-05-25,75
2011-05-26,74
2011-05-27,74
2011-05-28,74
2011-05-29,73
2011-05-30,73
2011-05-31,73
2011-06-01,73
2011-06-02,73
2011-06-03,73
2011-06-04,74
2011-06-05,74
2011-06-06,74
2011-06-07,75
2011-06-08,75
2011-06-09,75
