Date,Dollar General
2009-02-01,0
2009-02-02,1
2009-02-03,2
2009-02-04,3
2009-02-05,4
2009-02-06,5
2009-02-07,7
2009-02-08,8
2009-02-09,9
2009-02-10,10
2009-02-11,11
2009-02-12,12
2009-02-13,14
2009-02-14,15
2009-02-15,16
2009-02-16,17
2009-02-17,18
2009-02-18,20
2009-02-19,21
2009-02-20,22
2009-02-21,23
2009-02-22,24
2009-02-23,25
2009-02-24,27
2009-02-25,28
2009-02-26,29
2009-02-27,30
2009-02-28,31
2009-03-01,33
2009-03-02,33
2009-03-03,33
2009-03-04,33
2009-03-05,33
2009-03-06,33
2009-03-07,33
2009-03-08,33
2009-03-09,33
2009-03-10,33
2009-03-11,33
2009-03-12,33
2009-03-13,33
2009-03-14,33
2009-03-15,33
2009-03-16,33
2009-03-17,34
2009-03-18,34
2009-03-19,34
2009-03-20,34
2009-03-21,34
2009-03-22,34
2009-03-23,34
2009-03-24,34
2009-03-25,34
2009-03-26,34
2009-03-27,34
2009-03-28,34
2009-03-29,34
2009-03-30,34
2009-03-31,34
2009-04-01,35
2009-04-02,34
2009-04-03,34
2009-04-04,34
2009-04-05,34
2009-04-06,34
2009-04-07,34
2009-04-08,34
2009-04-09,34
2009-04-10,34
2009-04-11,34
2009-04-12,34
2009-04-13,34
2009-04-14,34
2009-04-15,34
2009-04-16,34
2009-04-17,33
2009-04-18,33
2009-04-19,33
2009-04-20,33
2009-04-21,33
2009-04-22,33
2009-04-23,33
2009-04-24,33
2009-04-25,33
2009-04-26,33
2009-04-27,33
2009-04-28,33
2009-04-29,33
2009-04-30,33
2009-05-01,33
2009-05-02,33
2009-05-03,33
2009-05-04,33
2009-05-05,33
2009-05-06,33
2009-05-07,33
2009-05-08,33
2009-05-09,33
2009-05-10,33
2009-05-11,33
2009-05-12,33
2009-05-13,33
2009-05-14,33
2009-05-15,33
2009-05-16,33
2009-05-17,33
2009-05-18,33
2009-05-19,33
2009-05-20,33
2009-05-21,33
2009-05-22,33
2009-05-23,33
2009-05-24,33
2009-05-25,33
2009-05-26,33
2009-05-27,33
2009-05-28,33
2009-05-29,33
2009-05-30,33
2009-05-31,33
2009-06-01,33
2009-06-02,33
2009-06-03,33
2009-06-04,33
2009-06-05,33
2009-06-06,33
2009-06-07,33
2009-06-08,33
2009-06-09,33
2009-06-10,33
2009-06-11,33
2009-06-12,33
2009-06-13,33
2009-06-14,33
2009-06-15,33
2009-06-16,33
2009-06-17,33
2009-06-18,33
2009-06-19,33
2009-06-20,33
2009-06-21,33
2009-06-22,33
2009-06-23,33
2009-06-24,33
2009-06-25,33
2009-06-26,33
2009-06-27,33
2009-06-28,33
2009-06-29,33
2009-06-30,33
2009-07-01,33
2009-07-02,34
2009-07-03,35
2009-07-04,36
2009-07-05,37
2009-07-06,38
2009-07-07,39
2009-07-08,41
2009-07-09,42
2009-07-10,43
2009-07-11,44
2009-07-12,45
2009-07-13,46
2009-07-14,48
2009-07-15,49
2009-07-16,50
2009-07-17,51
2009-07-18,52
2009-07-19,53
2009-07-20,55
2009-07-21,56
2009-07-22,57
2009-07-23,58
2009-07-24,59
2009-07-25,60
2009-07-26,62
2009-07-27,63
2009-07-28,64
2009-07-29,65
2009-07-30,66
2009-07-31,67
2009-08-01,69
2009-08-02,69
2009-08-03,69
2009-08-04,69
2009-08-05,69
2009-08-06,69
2009-08-07,69
2009-08-08,70
2009-08-09,70
2009-08-10,70
2009-08-11,70
2009-08-12,70
2009-08-13,70
2009-08-14,71
2009-08-15,71
2009-08-16,71
2009-08-17,71
2009-08-18,71
2009-08-19,71
2009-08-20,72
2009-08-21,72
2009-08-22,72
2009-08-23,72
2009-08-24,72
2009-08-25,72
2009-08-26,73
2009-08-27,73
2009-08-28,73
2009-08-29,73
2009-08-30,73
2009-08-31,73
2009-09-01,74
2009-09-02,73
2009-09-03,72
2009-09-04,71
2009-09-05,70
2009-09-06,69
2009-09-07,68
2009-09-08,67
2009-09-09,66
2009-09-10,65
2009-09-11,65
2009-09-12,64
2009-09-13,63
2009-09-14,62
2009-09-15,61
2009-09-16,60
2009-09-17,59
2009-09-18,58
2009-09-19,57
2009-09-20,56
2009-09-21,56
2009-09-22,55
2009-09-23,54
2009-09-24,53
2009-09-25,52
2009-09-26,51
2009-09-27,50
2009-09-28,49
2009-09-29,48
2009-09-30,47
2009-10-01,47
2009-10-02,48
2009-10-03,50
2009-10-04,52
2009-10-05,53
2009-10-06,55
2009-10-07,57
2009-10-08,58
2009-10-09,60
2009-10-10,62
2009-10-11,64
2009-10-12,65
2009-10-13,67
2009-10-14,69
2009-10-15,70
2009-10-16,72
2009-10-17,74
2009-10-18,76
2009-10-19,77
2009-10-20,79
2009-10-21,81
2009-10-22,82
2009-10-23,84
2009-10-24,86
2009-10-25,88
2009-10-26,89
2009-10-27,91
2009-10-28,93
2009-10-29,94
2009-10-30,96
2009-10-31,98
2009-11-01,100
2009-11-02,97
2009-11-03,95
2009-11-04,93
