Date,Manning & Napier
2011-01-01,94
2011-01-02,93
2011-01-03,93
2011-01-04,93
2011-01-05,93
2011-01-06,93
2011-01-07,92
2011-01-08,92
2011-01-09,92
2011-01-10,92
2011-01-11,92
2011-01-12,91
2011-01-13,91
2011-01-14,91
2011-01-15,91
2011-01-16,91
2011-01-17,90
2011-01-18,90
2011-01-19,90
2011-01-20,90
2011-01-21,90
2011-01-22,89
2011-01-23,89
2011-01-24,89
2011-01-25,89
2011-01-26,89
2011-01-27,88
2011-01-28,88
2011-01-29,88
2011-01-30,88
2011-01-31,88
2011-02-01,88
2011-02-02,88
2011-02-03,88
2011-02-04,88
2011-02-05,88
2011-02-06,88
2011-02-07,88
2011-02-08,88
2011-02-09,88
2011-02-10,88
2011-02-11,88
2011-02-12,88
2011-02-13,88
2011-02-14,88
2011-02-15,88
2011-02-16,88
2011-02-17,88
2011-02-18,88
2011-02-19,88
2011-02-20,88
2011-02-21,88
2011-02-22,88
2011-02-23,88
2011-02-24,88
2011-02-25,88
2011-02-26,88
2011-02-27,88
2011-02-28,88
2011-03-01,88
2011-03-02,87
2011-03-03,87
2011-03-04,87
2011-03-05,87
2011-03-06,86
2011-03-07,86
2011-03-08,86
2011-03-09,86
2011-03-10,85
2011-03-11,85
2011-03-12,85
2011-03-13,85
2011-03-14,85
2011-03-15,84
2011-03-16,84
2011-03-17,84
2011-03-18,84
2011-03-19,83
2011-03-20,83
2011-03-21,83
2011-03-22,83
2011-03-23,83
2011-03-24,82
2011-03-25,82
2011-03-26,82
2011-03-27,82
2011-03-28,81
2011-03-29,81
2011-03-30,81
2011-03-31,81
2011-04-01,81
2011-04-02,81
2011-04-03,81
2011-04-04,81
2011-04-05,81
2011-04-06,81
2011-04-07,81
2011-04-08,81
2011-04-09,81
2011-04-10,81
2011-04-11,81
2011-04-12,81
2011-04-13,81
2011-04-14,81
2011-04-15,81
2011-04-16,81
2011-04-17,81
2011-04-18,81
2011-04-19,81
2011-04-20,81
2011-04-21,81
2011-04-22,81
2011-04-23,81
2011-04-24,81
2011-04-25,81
2011-04-26,81
2011-04-27,81
2011-04-28,81
2011-04-29,81
2011-04-30,81
2011-05-01,81
2011-05-02,81
2011-05-03,81
2011-05-04,81
2011-05-05,81
2011-05-06,81
2011-05-07,81
2011-05-08,81
2011-05-09,81
2011-05-10,81
2011-05-11,81
2011-05-12,81
2011-05-13,81
2011-05-14,81
2011-05-15,81
2011-05-16,81
2011-05-17,81
2011-05-18,81
2011-05-19,81
2011-05-20,81
2011-05-21,81
2011-05-22,81
2011-05-23,81
2011-05-24,81
2011-05-25,81
2011-05-26,81
2011-05-27,81
2011-05-28,81
2011-05-29,81
2011-05-30,81
2011-05-31,81
2011-06-01,81
2011-06-02,81
2011-06-03,81
2011-06-04,81
2011-06-05,81
2011-06-06,81
2011-06-07,81
2011-06-08,81
2011-06-09,81
2011-06-10,81
2011-06-11,81
2011-06-12,81
2011-06-13,81
2011-06-14,81
2011-06-15,81
2011-06-16,81
2011-06-17,81
2011-06-18,81
2011-06-19,81
2011-06-20,81
2011-06-21,81
2011-06-22,81
2011-06-23,81
2011-06-24,81
2011-06-25,81
2011-06-26,81
2011-06-27,81
2011-06-28,81
2011-06-29,81
2011-06-30,81
2011-07-01,81
2011-07-02,80
2011-07-03,80
2011-07-04,80
2011-07-05,80
2011-07-06,80
2011-07-07,80
2011-07-08,80
2011-07-09,80
2011-07-10,80
2011-07-11,80
2011-07-12,79
2011-07-13,79
2011-07-14,79
2011-07-15,79
2011-07-16,79
2011-07-17,79
2011-07-18,79
2011-07-19,79
2011-07-20,79
2011-07-21,79
2011-07-22,78
2011-07-23,78
2011-07-24,78
2011-07-25,78
2011-07-26,78
2011-07-27,78
2011-07-28,78
2011-07-29,78
2011-07-30,78
2011-07-31,78
2011-08-01,78
2011-08-02,78
2011-08-03,78
2011-08-04,78
2011-08-05,78
2011-08-06,78
2011-08-07,78
2011-08-08,78
2011-08-09,78
2011-08-10,78
2011-08-11,78
2011-08-12,78
2011-08-13,78
2011-08-14,78
2011-08-15,78
2011-08-16,78
2011-08-17,78
2011-08-18,78
2011-08-19,78
2011-08-20,78
2011-08-21,78
2011-08-22,78
2011-08-23,78
2011-08-24,78
2011-08-25,78
2011-08-26,78
2011-08-27,78
2011-08-28,78
2011-08-29,78
2011-08-30,78
2011-08-31,78
2011-09-01,78
2011-09-02,78
2011-09-03,78
2011-09-04,78
2011-09-05,78
2011-09-06,78
2011-09-07,78
2011-09-08,78
2011-09-09,78
2011-09-10,78
2011-09-11,78
2011-09-12,78
2011-09-13,78
2011-09-14,78
2011-09-15,78
2011-09-16,78
2011-09-17,78
2011-09-18,78
2011-09-19,78
2011-09-20,78
2011-09-21,78
2011-09-22,78
2011-09-23,78
2011-09-24,78
2011-09-25,78
2011-09-26,78
2011-09-27,78
2011-09-28,78
2011-09-29,78
2011-09-30,78
2011-10-01,78
2011-10-02,78
2011-10-03,78
2011-10-04,78
2011-10-05,78
2011-10-06,79
2011-10-07,79
2011-10-08,79
2011-10-09,79
2011-10-10,80
2011-10-11,80
2011-10-12,80
2011-10-13,80
2011-10-14,80
2011-10-15,81
2011-10-16,81
2011-10-17,81
2011-10-18,81
2011-10-19,82
2011-10-20,82
2011-10-21,82
2011-10-22,82
2011-10-23,82
2011-10-24,83
2011-10-25,83
2011-10-26,83
2011-10-27,83
2011-10-28,84
2011-10-29,84
2011-10-30,84
2011-10-31,84
2011-11-01,85
2011-11-02,85
2011-11-03,85
2011-11-04,85
2011-11-05,85
2011-11-06,85
2011-11-07,85
2011-11-08,85
2011-11-09,85
2011-11-10,85
2011-11-11,85
2011-11-12,85
2011-11-13,85
2011-11-14,85
2011-11-15,85
2011-11-16,85
2011-11-17,85
2011-11-18,85
2011-11-19,85
2011-11-20,85
2011-11-21,85
2011-11-22,85
2011-11-23,85
2011-11-24,85
2011-11-25,85
2011-11-26,85
2011-11-27,85
2011-11-28,85
2011-11-29,85
2011-11-30,85
2011-12-01,86
2011-12-02,86
2011-12-03,86
2011-12-04,86
2011-12-05,86
2011-12-06,86
2011-12-07,86
2011-12-08,86
2011-12-09,86
2011-12-10,86
2011-12-11,86
2011-12-12,86
2011-12-13,86
2011-12-14,86
2011-12-15,86
2011-12-16,86
2011-12-17,86
2011-12-18,86
2011-12-19,86
2011-12-20,86
2011-12-21,86
2011-12-22,86
2011-12-23,86
2011-12-24,86
2011-12-25,86
2011-12-26,86
2011-12-27,86
2011-12-28,86
2011-12-29,86
2011-12-30,86
2011-12-31,86
2012-01-01,87
2012-01-02,87
2012-01-03,87
2012-01-04,87
2012-01-05,87
2012-01-06,87
2012-01-07,87
2012-01-08,87
2012-01-09,87
2012-01-10,87
2012-01-11,87
2012-01-12,87
2012-01-13,87
2012-01-14,87
2012-01-15,87
2012-01-16,87
2012-01-17,87
2012-01-18,87
2012-01-19,87
2012-01-20,87
2012-01-21,87
2012-01-22,87
2012-01-23,87
2012-01-24,87
2012-01-25,87
2012-01-26,87
2012-01-27,87
2012-01-28,87
2012-01-29,87
2012-01-30,87
2012-01-31,87
2012-02-01,88
2012-02-02,88
2012-02-03,88
2012-02-04,88
2012-02-05,88
2012-02-06,89
2012-02-07,89
2012-02-08,89
2012-02-09,89
2012-02-10,89
2012-02-11,90
2012-02-12,90
2012-02-13,90
2012-02-14,90
2012-02-15,90
2012-02-16,91
2012-02-17,91
2012-02-18,91
2012-02-19,91
2012-02-20,91
2012-02-21,92
2012-02-22,92
2012-02-23,92
2012-02-24,92
2012-02-25,92
2012-02-26,93
2012-02-27,93
2012-02-28,93
2012-02-29,93
2012-03-01,94
2012-03-02,94
2012-03-03,94
2012-03-04,94
2012-03-05,94
2012-03-06,94
2012-03-07,95
2012-03-08,95
2012-03-09,95
2012-03-10,95
2012-03-11,95
2012-03-12,96
2012-03-13,96
2012-03-14,96
2012-03-15,96
2012-03-16,96
2012-03-17,97
2012-03-18,97
2012-03-19,97
2012-03-20,97
2012-03-21,97
2012-03-22,98
2012-03-23,98
2012-03-24,98
2012-03-25,98
2012-03-26,98
2012-03-27,99
2012-03-28,99
2012-03-29,99
2012-03-30,99
2012-03-31,99
2012-04-01,100
2012-04-02,99
2012-04-03,98
2012-04-04,97
2012-04-05,96
2012-04-06,95
2012-04-07,94
2012-04-08,93
2012-04-09,92
2012-04-10,91
2012-04-11,90
2012-04-12,89
2012-04-13,88
2012-04-14,87
2012-04-15,86
2012-04-16,85
2012-04-17,84
2012-04-18,83
2012-04-19,82
2012-04-20,81
2012-04-21,80
2012-04-22,79
2012-04-23,78
2012-04-24,77
2012-04-25,76
2012-04-26,75
2012-04-27,74
2012-04-28,73
2012-04-29,72
2012-04-30,71
2012-05-01,71
2012-05-02,71
2012-05-03,71
2012-05-04,71
2012-05-05,71
2012-05-06,71
2012-05-07,71
2012-05-08,71
2012-05-09,71
2012-05-10,71
2012-05-11,71
2012-05-12,71
2012-05-13,71
2012-05-14,71
2012-05-15,71
2012-05-16,71
2012-05-17,71
2012-05-18,71
2012-05-19,71
2012-05-20,71
2012-05-21,71
2012-05-22,71
2012-05-23,71
2012-05-24,71
2012-05-25,71
