Date,Barclays Capital
2011-11-20,74
2011-11-21,73
2011-11-22,73
2011-11-23,73
2011-11-24,73
2011-11-25,74
2011-11-26,77
2011-11-27,74
2011-11-28,74
2011-11-29,75
2011-11-30,75
2011-12-01,75
2011-12-02,77
2011-12-03,81
2011-12-04,76
2011-12-05,76
2011-12-06,76
2011-12-07,77
2011-12-08,76
2011-12-09,75
2011-12-10,79
2011-12-11,74
2011-12-12,74
2011-12-13,74
2011-12-14,73
2011-12-15,73
2011-12-16,72
2011-12-17,77
2011-12-18,73
2011-12-19,70
2011-12-20,71
2011-12-21,70
2011-12-22,69
2011-12-23,69
2011-12-24,73
2011-12-25,72
2011-12-26,68
2011-12-27,68
2011-12-28,68
2011-12-29,68
2011-12-30,68
2011-12-31,72
2012-01-01,70
2012-01-02,70
2012-01-03,72
2012-01-04,75
2012-01-05,75
2012-01-06,78
2012-01-07,80
2012-01-08,77
2012-01-09,77
2012-01-10,77
2012-01-11,77
2012-01-12,76
2012-01-13,75
2012-01-14,79
2012-01-15,75
2012-01-16,74
2012-01-17,74
2012-01-18,73
2012-01-19,73
2012-01-20,72
2012-01-21,76
2012-01-22,72
2012-01-23,71
2012-01-24,72
2012-01-25,71
2012-01-26,72
2012-01-27,71
2012-01-28,75
2012-01-29,72
2012-01-30,72
2012-01-31,73
2012-02-01,75
2012-02-02,75
2012-02-03,75
2012-02-04,81
2012-02-05,75
2012-02-06,74
2012-02-07,74
2012-02-08,73
2012-02-09,73
2012-02-10,71
2012-02-11,75
2012-02-12,72
2012-02-13,70
2012-02-14,71
2012-02-15,69
2012-02-16,68
2012-02-17,68
2012-02-18,71
2012-02-19,68
2012-02-20,68
2012-02-21,68
2012-02-22,68
2012-02-23,70
2012-02-24,68
2012-02-25,74
2012-02-26,70
2012-02-27,71
2012-02-28,72
2012-02-29,73
2012-03-01,74
2012-03-02,78
2012-03-03,80
2012-03-04,77
2012-03-05,77
2012-03-06,77
2012-03-07,77
2012-03-08,79
2012-03-09,77
2012-03-10,82
2012-03-11,79
2012-03-12,76
2012-03-13,75
2012-03-14,74
2012-03-15,75
2012-03-16,72
2012-03-17,76
2012-03-18,72
2012-03-19,72
2012-03-20,72
2012-03-21,72
2012-03-22,73
2012-03-23,73
2012-03-24,76
2012-03-25,74
2012-03-26,74
2012-03-27,75
2012-03-28,77
2012-03-29,76
2012-03-30,77
2012-03-31,82
2012-04-01,78
2012-04-02,76
2012-04-03,77
2012-04-04,76
2012-04-05,75
2012-04-06,78
2012-04-07,75
2012-04-08,75
2012-04-09,74
2012-04-10,74
2012-04-11,76
2012-04-12,74
2012-04-13,74
2012-04-14,78
2012-04-15,74
2012-04-16,74
2012-04-17,75
2012-04-18,76
2012-04-19,76
2012-04-20,77
2012-04-21,80
2012-04-22,78
2012-04-23,76
2012-04-24,77
2012-04-25,76
2012-04-26,76
2012-04-27,76
2012-04-28,79
2012-04-29,77
2012-04-30,77
2012-05-01,78
2012-05-02,79
2012-05-03,80
2012-05-04,81
2012-05-05,86
2012-05-06,82
2012-05-07,79
2012-05-08,78
2012-05-09,79
2012-05-10,76
2012-05-11,78
2012-05-12,78
2012-05-13,77
2012-05-14,75
2012-05-15,76
2012-05-16,76
2012-05-17,75
2012-05-18,77
2012-05-19,80
2012-05-20,75
2012-05-21,74
2012-05-22,75
2012-05-23,72
2012-05-24,72
2012-05-25,70
2012-05-26,75
2012-05-27,70
2012-05-28,71
2012-05-29,73
2012-05-30,74
2012-05-31,74
2012-06-01,75
2012-06-02,80
2012-06-03,77
2012-06-04,74
2012-06-05,73
2012-06-06,72
2012-06-07,72
2012-06-08,70
2012-06-09,73
2012-06-10,71
2012-06-11,69
2012-06-12,71
2012-06-13,70
2012-06-14,72
2012-06-15,71
2012-06-16,76
2012-06-17,74
2012-06-18,72
2012-06-19,73
2012-06-20,73
2012-06-21,74
2012-06-22,74
2012-06-23,79
2012-06-24,78
2012-06-25,78
2012-06-26,81
2012-06-27,81
2012-06-28,83
2012-06-29,86
2012-06-30,93
2012-07-01,89
2012-07-02,90
2012-07-03,92
2012-07-04,97
2012-07-05,97
2012-07-06,101
2012-07-07,104
2012-07-08,97
2012-07-09,94
2012-07-10,91
2012-07-11,89
2012-07-12,85
2012-07-13,83
2012-07-14,83
2012-07-15,78
2012-07-16,77
2012-07-17,78
2012-07-18,77
2012-07-19,77
2012-07-20,75
2012-07-21,80
2012-07-22,75
2012-07-23,75
2012-07-24,75
2012-07-25,75
2012-07-26,75
2012-07-27,75
2012-07-28,82
2012-07-29,76
2012-07-30,77
2012-07-31,77
2012-08-01,78
2012-08-02,81
2012-08-03,79
2012-08-04,85
2012-08-05,79
2012-08-06,78
2012-08-07,80
2012-08-08,77
2012-08-09,78
2012-08-10,76
2012-08-11,80
2012-08-12,78
2012-08-13,75
2012-08-14,76
2012-08-15,74
2012-08-16,73
2012-08-17,73
2012-08-18,76
2012-08-19,75
2012-08-20,73
2012-08-21,73
2012-08-22,74
2012-08-23,74
2012-08-24,73
2012-08-25,78
2012-08-26,76
2012-08-27,75
2012-08-28,75
2012-08-29,77
2012-08-30,76
2012-08-31,77
2012-09-01,78
2012-09-02,78
2012-09-03,78
2012-09-04,78
2012-09-05,81
2012-09-06,78
2012-09-07,78
2012-09-08,84
2012-09-09,79
2012-09-10,77
2012-09-11,78
2012-09-12,76
2012-09-13,76
2012-09-14,75
2012-09-15,78
2012-09-16,76
2012-09-17,76
2012-09-18,78
2012-09-19,78
2012-09-20,78
2012-09-21,79
2012-09-22,83
2012-09-23,82
2012-09-24,81
2012-09-25,82
2012-09-26,82
2012-09-27,83
2012-09-28,83
2012-09-29,89
2012-09-30,85
2012-10-01,83
2012-10-02,84
2012-10-03,85
2012-10-04,84
2012-10-05,83
2012-10-06,87
2012-10-07,82
2012-10-08,81
2012-10-09,80
2012-10-10,81
2012-10-11,78
2012-10-12,80
2012-10-13,80
2012-10-14,76
2012-10-15,76
2012-10-16,76
2012-10-17,76
2012-10-18,75
2012-10-19,75
2012-10-20,79
2012-10-21,74
2012-10-22,74
2012-10-23,75
2012-10-24,74
2012-10-25,72
2012-10-26,72
2012-10-27,76
2012-10-28,72
2012-10-29,72
2012-10-30,73
2012-10-31,73
2012-11-01,74
