Date,Canaccord Genuity
2012-02-11,52
2012-02-12,50
2012-02-13,48
2012-02-14,47
2012-02-15,45
2012-02-16,44
2012-02-17,42
2012-02-18,41
2012-02-19,41
2012-02-20,42
2012-02-21,43
2012-02-22,46
2012-02-23,45
2012-02-24,46
2012-02-25,47
2012-02-26,48
2012-02-27,50
2012-02-28,52
2012-02-29,54
2012-03-01,56
2012-03-02,60
2012-03-03,60
2012-03-04,56
2012-03-05,53
2012-03-06,50
2012-03-07,46
2012-03-08,43
2012-03-09,40
2012-03-10,37
2012-03-11,38
2012-03-12,39
2012-03-13,41
2012-03-14,42
2012-03-15,44
2012-03-16,45
2012-03-17,47
2012-03-18,47
2012-03-19,50
2012-03-20,48
2012-03-21,48
2012-03-22,49
2012-03-23,49
2012-03-24,50
2012-03-25,51
2012-03-26,52
2012-03-27,53
2012-03-28,55
2012-03-29,56
2012-03-30,56
2012-03-31,60
2012-04-01,58
2012-04-02,58
2012-04-03,58
2012-04-04,58
2012-04-05,61
2012-04-06,58
2012-04-07,58
2012-04-08,55
2012-04-09,52
2012-04-10,49
2012-04-11,46
2012-04-12,43
2012-04-13,40
2012-04-14,38
2012-04-15,40
2012-04-16,42
2012-04-17,44
2012-04-18,47
2012-04-19,51
2012-04-20,51
2012-04-21,54
2012-04-22,52
2012-04-23,50
2012-04-24,48
2012-04-25,46
2012-04-26,44
2012-04-27,42
2012-04-28,40
2012-04-29,41
2012-04-30,42
2012-05-06,49
2012-05-07,48
2012-05-08,47
2012-05-09,46
2012-05-10,45
2012-05-11,44
2012-05-12,44
2012-05-13,44
2012-05-14,44
2012-05-15,45
2012-05-16,45
2012-05-17,46
2012-05-18,46
2012-05-19,47
2012-05-20,45
2012-05-21,44
2012-05-22,43
2012-05-23,41
2012-05-24,40
2012-05-25,39
2012-05-26,38
2012-05-27,39
2012-05-28,40
2012-05-29,42
2012-05-30,43
2012-05-31,45
2012-06-01,46
2012-06-02,48
2012-06-03,48
2012-06-04,49
2012-06-05,49
2012-06-06,50
2012-06-07,50
2012-06-08,51
2012-06-09,52
2012-06-10,51
2012-06-11,51
2012-06-12,51
2012-06-13,51
2012-06-14,51
2012-06-15,51
2012-06-16,51
2012-06-17,50
2012-06-18,49
2012-06-19,48
2012-06-20,47
2012-06-21,46
2012-06-22,45
2012-06-23,45
2012-06-24,45
2012-06-25,45
2012-06-26,45
2012-06-27,45
2012-06-28,46
2012-06-29,46
2012-06-30,46
2012-07-01,44
2012-07-02,41
2012-07-03,39
2012-07-04,36
2012-07-05,34
2012-07-06,32
2012-07-07,30
2012-07-08,32
2012-07-09,35
2012-07-10,37
2012-07-11,40
2012-07-12,42
2012-07-13,45
2012-07-14,48
2012-07-15,46
2012-07-16,46
2012-07-17,44
2012-07-18,43
2012-07-19,42
2012-07-20,41
2012-07-21,40
2012-07-22,40
2012-07-23,39
2012-07-24,39
2012-07-25,38
2012-07-26,38
2012-07-27,38
2012-07-28,38
2012-07-29,37
2012-08-01,34
2012-08-02,33
2012-08-03,32
2012-08-04,31
2012-08-05,31
2012-08-06,32
2012-08-07,32
2012-08-08,33
2012-08-09,33
2012-08-10,34
2012-08-11,35
2012-08-12,35
2012-08-13,35
2012-08-14,35
2012-08-15,35
2012-08-16,35
2012-08-17,35
2012-08-18,36
2012-08-19,37
2012-08-20,38
2012-08-21,39
2012-08-22,40
2012-08-23,41
2012-08-24,42
2012-08-25,43
2012-08-26,41
2012-08-27,39
2012-08-28,37
2012-08-29,35
2012-08-30,33
2012-08-31,31
2012-09-01,30
2012-09-02,32
2012-09-03,34
2012-09-04,38
2012-09-05,41
2012-09-06,42
2012-09-07,46
2012-09-08,47
2012-09-09,47
2012-09-10,47
2012-09-11,48
2012-09-12,48
2012-09-13,49
2012-09-14,49
2012-09-15,50
2012-09-16,49
2012-09-17,49
2012-09-18,49
2012-09-19,50
2012-09-20,48
2012-09-21,48
2012-09-22,48
2012-09-23,55
2012-09-24,62
2012-09-25,77
2012-09-26,88
2012-09-27,85
2012-09-28,92
2012-09-29,100
2012-09-30,94
2012-10-01,88
2012-10-02,82
2012-10-03,78
2012-10-04,71
2012-10-05,67
2012-10-06,60
2012-10-07,59
2012-10-08,59
2012-10-09,58
2012-10-10,58
2012-10-11,57
2012-10-12,61
2012-10-13,57
2012-10-14,56
2012-10-15,55
2012-10-16,54
2012-10-17,55
2012-10-18,53
2012-10-19,52
2012-10-20,52
2012-10-21,50
2012-10-22,48
2012-10-23,48
2012-10-24,45
2012-10-25,43
2012-10-26,41
2012-10-27,40
2012-10-28,40
2012-10-29,41
2012-10-30,42
2012-10-31,42
2012-11-01,43
2012-11-02,44
2012-11-03,45
