Date,Bank of America
2011-04-01,74
2011-04-02,80
2011-04-03,81
2011-04-04,77
2011-04-05,79
2011-04-06,81
2011-04-07,85
2011-04-08,83
2011-04-09,93
2011-04-10,87
2011-04-11,89
2011-04-12,96
2011-04-13,93
2011-04-14,95
2011-04-15,97
2011-04-16,107
2011-04-17,108
2011-04-18,90
2011-04-19,86
2011-04-20,83
2011-04-21,76
2011-04-22,73
2011-04-23,66
2011-04-24,72
2011-04-25,67
2011-04-26,69
2011-04-27,69
2011-04-28,68
2011-04-29,69
2011-04-30,74
2011-05-01,70
2011-05-02,68
2011-05-03,67
2011-05-04,70
2011-05-05,66
2011-05-06,65
2011-05-07,72
2011-05-08,64
2011-05-09,63
2011-05-10,62
2011-05-11,62
2011-05-12,61
2011-05-13,60
2011-05-14,66
2011-05-15,61
2011-05-16,62
2011-05-17,67
2011-05-18,70
2011-05-19,67
2011-05-20,68
2011-05-21,71
2011-05-22,75
2011-05-23,66
2011-05-24,65
2011-05-25,66
2011-05-26,61
2011-05-27,61
2011-05-28,59
2011-05-29,65
2011-05-30,60
2011-05-31,62
2011-06-01,66
2011-06-02,65
2011-06-03,67
2011-06-04,77
2011-06-05,71
2011-06-06,67
2011-06-07,66
2011-06-08,68
2011-06-09,65
2011-06-10,71
2011-06-11,69
2011-06-12,67
2011-06-13,66
2011-06-14,68
2011-06-15,68
2011-06-16,68
2011-06-17,73
2011-06-18,75
2011-06-19,67
2011-06-20,65
2011-06-21,63
2011-06-22,63
2011-06-23,61
2011-06-24,57
2011-06-25,58
2011-06-26,61
2011-06-27,60
2011-06-28,62
2011-06-29,65
2011-06-30,68
2011-07-01,70
2011-07-02,84
2011-07-03,72
2011-07-04,78
2011-07-05,70
2011-07-06,69
2011-07-07,69
2011-07-08,69
2011-07-09,74
2011-07-10,72
2011-07-11,68
2011-07-12,69
2011-07-13,69
2011-07-14,73
2011-07-15,71
2011-07-16,76
2011-07-17,80
2011-07-18,73
2011-07-19,75
2011-07-20,76
2011-07-21,75
2011-07-22,84
2011-07-23,77
2011-07-24,79
2011-07-25,75
2011-07-26,74
2011-07-27,73
2011-07-28,72
2011-07-29,71
2011-07-30,73
2011-07-31,78
2011-08-01,69
2011-08-02,72
2011-08-03,71
2011-08-04,67
2011-08-05,70
2011-08-06,76
2011-08-07,69
2011-08-08,71
2011-08-09,79
2011-08-10,76
2011-08-11,80
2011-08-12,80
2011-08-13,94
2011-08-14,84
2011-08-15,80
2011-08-16,79
2011-08-17,82
2011-08-18,75
2011-08-19,75
2011-08-20,77
2011-08-21,73
2011-08-22,69
2011-08-23,67
2011-08-24,65
2011-08-25,64
2011-08-26,63
2011-08-27,65
2011-08-28,63
2011-08-29,60
2011-08-30,60
2011-08-31,61
2011-09-01,62
2011-09-02,60
2011-09-03,65
2011-09-04,60
2011-09-05,57
2011-09-06,55
2011-09-07,54
2011-09-08,52
2011-09-09,54
2011-09-10,50
2011-09-11,62
2011-09-12,58
2011-09-13,65
2011-09-14,66
2011-09-15,71
2011-09-16,74
2011-09-17,87
2011-09-18,76
2011-09-19,73
2011-09-20,71
2011-09-21,70
2011-09-22,65
2011-09-23,63
2011-09-24,66
2011-09-25,62
2011-09-26,60
2011-09-27,60
2011-09-28,59
2011-09-29,59
2011-09-30,58
2011-10-01,58
2011-10-02,62
2011-10-03,60
2011-10-04,64
2011-10-05,64
2011-10-06,64
2011-10-07,65
2011-10-08,69
2011-10-09,66
2011-10-10,63
2011-10-11,62
2011-10-12,60
2011-10-13,62
2011-10-14,57
2011-10-15,61
2011-10-16,59
2011-10-17,54
2011-10-18,54
2011-10-19,52
2011-10-20,52
2011-10-21,54
2011-10-22,49
2011-10-23,53
2011-10-24,51
2011-10-25,55
2011-10-26,54
2011-10-27,56
2011-10-28,55
2011-10-29,59
2011-10-30,57
2011-10-31,56
2011-11-01,56
2011-11-02,55
2011-11-03,56
2011-11-04,54
2011-11-05,57
2011-11-06,56
2011-11-07,52
2011-11-08,51
2011-11-09,55
2011-11-10,49
2011-11-11,48
2011-11-12,53
2011-11-13,47
2011-11-14,48
2011-11-15,49
2011-11-16,50
2011-11-17,50
2011-11-18,57
2011-11-19,53
2011-11-20,48
2011-11-21,45
2011-11-22,43
2011-11-23,40
2011-11-24,39
2011-11-25,33
2011-11-26,30
2011-11-27,31
2011-11-28,33
2011-11-29,35
2011-11-30,38
2011-12-01,39
2011-12-02,40
2011-12-03,46
2011-12-04,42
2011-12-05,43
2011-12-06,45
2011-12-07,45
2011-12-08,44
2011-12-09,48
2011-12-10,50
2011-12-11,46
2011-12-12,46
2011-12-13,48
2011-12-14,46
2011-12-15,48
2011-12-16,46
2011-12-17,48
2011-12-18,49
2011-12-19,52
2011-12-20,60
2011-12-21,59
2011-12-22,63
2011-12-23,71
2011-12-24,79
2011-12-25,71
2011-12-26,66
2011-12-27,64
2011-12-28,63
2011-12-29,65
2011-12-30,58
2011-12-31,60
2012-01-01,55
2012-01-02,57
2012-01-03,52
2012-01-04,50
2012-01-05,49
2012-01-06,48
2012-01-07,51
2012-01-08,46
2012-01-09,47
2012-01-10,49
2012-01-11,49
2012-01-12,48
2012-01-13,49
2012-01-14,55
2012-01-15,53
2012-01-16,51
2012-01-17,51
2012-01-18,56
2012-01-19,53
2012-01-20,53
2012-01-21,58
2012-01-22,56
2012-01-23,51
2012-01-24,51
2012-01-25,48
2012-01-26,50
2012-01-27,46
2012-01-28,48
2012-01-29,45
2012-01-30,46
2012-01-31,48
2012-02-01,48
2012-02-02,49
2012-02-03,53
2012-02-04,52
2012-02-05,54
2012-02-06,51
2012-02-07,52
2012-02-08,52
2012-02-09,53
2012-02-10,55
2012-02-11,57
2012-02-12,53
2012-02-13,52
2012-02-14,51
2012-02-15,50
2012-02-16,49
2012-02-17,49
2012-02-18,48
2012-02-19,50
2012-02-20,45
2012-02-21,44
2012-02-22,44
2012-02-23,44
2012-02-24,43
2012-02-25,43
2012-02-26,42
2012-02-27,42
2012-02-28,42
2012-02-29,42
2012-03-01,43
2012-03-02,43
2012-03-03,43
2012-03-04,46
2012-03-05,42
2012-03-06,43
2012-03-07,43
2012-03-08,44
2012-03-09,44
2012-03-10,51
2012-03-11,46
2012-03-12,47
2012-03-13,49
2012-03-14,50
2012-03-15,51
2012-03-16,52
2012-03-17,61
2012-03-18,56
2012-03-19,50
2012-03-20,48
2012-03-21,48
2012-03-22,44
2012-03-23,44
2012-03-24,47
2012-03-25,42
2012-03-26,43
2012-03-27,44
2012-03-28,45
2012-03-29,49
2012-03-30,47
2012-03-31,51
2012-04-01,47
2012-04-02,46
2012-04-03,47
2012-04-04,45
2012-04-05,47
2012-04-06,44
2012-04-07,46
2012-04-08,44
2012-04-09,44
2012-04-10,44
2012-04-11,45
2012-04-12,44
2012-04-13,44
2012-04-14,46
2012-04-15,44
2012-04-16,44
2012-04-17,45
2012-04-18,51
2012-04-19,46
2012-04-20,46
2012-04-21,51
2012-04-22,46
2012-04-23,46
2012-04-24,46
2012-04-25,47
2012-04-26,45
2012-04-27,44
2012-04-28,49
2012-04-29,44
2012-04-30,44
2012-05-01,45
2012-05-02,46
2012-05-03,46
2012-05-04,48
2012-05-05,52
2012-05-06,46
2012-05-07,46
2012-05-08,45
2012-05-09,47
2012-05-10,44
2012-05-11,47
2012-05-12,44
2012-05-13,49
2012-05-14,44
2012-05-15,45
2012-05-16,46
2012-05-17,47
2012-05-18,48
2012-05-19,50
2012-05-20,45
2012-05-21,43
2012-05-22,42
2012-05-23,39
2012-05-24,37
2012-05-25,37
2012-05-26,37
2012-05-27,34
2012-05-28,35
2012-05-29,35
2012-05-30,36
2012-05-31,37
2012-06-01,38
2012-06-02,40
2012-06-03,39
2012-06-04,38
2012-06-05,40
2012-06-06,38
2012-06-07,38
2012-06-08,38
2012-06-09,41
2012-06-10,38
2012-06-11,38
2012-06-12,38
2012-06-13,39
2012-06-14,39
2012-06-15,38
2012-06-16,45
2012-06-17,38
2012-06-18,37
2012-06-19,39
2012-06-20,36
2012-06-21,36
2012-06-22,36
2012-06-23,38
2012-06-24,36
2012-06-25,37
2012-06-26,38
2012-06-27,41
2012-06-28,40
2012-06-29,41
2012-06-30,44
2012-07-01,42
2012-07-02,43
2012-07-03,44
2012-07-04,50
2012-07-05,44
2012-07-06,48
2012-07-07,54
2012-07-08,45
2012-07-09,44
2012-07-10,43
2012-07-11,44
2012-07-12,44
2012-07-13,41
2012-07-14,44
2012-07-15,40
2012-07-16,39
2012-07-17,42
2012-07-18,39
2012-07-19,37
2012-07-20,36
2012-07-21,37
2012-07-22,36
2012-07-23,37
2012-07-24,38
2012-07-25,39
2012-07-26,39
2012-07-27,43
2012-07-28,41
2012-07-29,41
2012-07-30,41
2012-07-31,41
2012-08-01,42
2012-08-02,42
2012-08-03,41
2012-08-04,47
2012-08-05,40
2012-08-06,39
2012-08-07,39
2012-08-08,38
2012-08-09,36
2012-08-10,37
2012-08-11,34
2012-08-12,35
2012-08-13,36
2012-08-14,37
2012-08-15,38
2012-08-16,39
2012-08-17,40
2012-08-18,42
2012-08-19,40
2012-08-20,40
2012-08-21,40
2012-08-22,41
2012-08-23,41
2012-08-24,41
2012-08-25,41
2012-08-26,38
2012-08-27,38
2012-08-28,39
2012-08-29,38
2012-08-30,38
2012-08-31,38
2012-09-01,44
2012-09-02,38
2012-09-03,36
2012-09-04,35
2012-09-05,35
2012-09-06,35
2012-09-07,33
2012-09-08,35
2012-09-09,33
2012-09-10,33
2012-09-11,33
2012-09-12,33
2012-09-13,35
2012-09-14,33
2012-09-15,39
2012-09-16,34
2012-09-17,34
2012-09-18,34
2012-09-19,35
2012-09-20,35
2012-09-21,35
2012-09-22,40
2012-09-23,35
2012-09-24,35
2012-09-25,35
2012-09-26,38
2012-09-27,35
2012-09-28,35
2012-09-29,39
2012-09-30,36
2012-10-01,34
2012-10-02,34
2012-10-03,36
2012-10-04,34
2012-10-05,36
2012-10-06,35
2012-10-07,33
2012-10-08,32
2012-10-09,32
2012-10-10,31
2012-10-11,32
2012-10-12,31
2012-10-13,30
2012-10-14,30
2012-10-15,31
2012-10-16,33
2012-10-17,34
2012-10-18,35
2012-10-19,37
2012-10-20,36
2012-10-21,36
2012-10-22,36
2012-10-23,36
2012-10-24,36
2012-10-25,39
2012-10-26,40
2012-10-27,40
2012-10-28,36
2012-10-29,35
2012-10-30,34
2012-10-31,33
2012-11-01,32
2012-11-02,31
2012-11-03,33
2012-11-04,29
2012-11-05,28
2012-11-06,30
2012-11-07,27
2012-11-08,27
2012-11-09,26
2012-11-10,26
2012-11-11,26
2012-11-12,27
2012-11-13,27
