Date,Wells Fargo Securities
2012-01-01,75
2012-01-02,75
2012-01-03,75
2012-01-04,75
2012-01-05,75
2012-01-06,75
2012-01-07,78
2012-01-08,78
2012-01-09,74
2012-01-10,73
2012-01-11,73
2012-01-12,72
2012-01-13,72
2012-01-14,74
2012-01-15,76
2012-01-16,71
2012-01-17,71
2012-01-18,71
2012-01-19,70
2012-01-20,70
2012-01-21,72
2012-01-22,74
2012-01-23,70
2012-01-24,70
2012-01-25,70
2012-01-26,70
2012-01-27,70
2012-01-28,73
2012-01-29,75
2012-01-30,73
2012-01-31,74
2012-02-01,75
2012-02-02,77
2012-02-03,77
2012-02-04,81
2012-02-05,83
2012-02-06,78
2012-02-07,77
2012-02-08,77
2012-02-09,77
2012-02-10,76
2012-02-11,78
2012-02-12,80
2012-02-13,76
2012-02-14,76
2012-02-15,76
2012-02-16,76
2012-02-17,76
2012-02-18,80
2012-02-19,80
2012-02-20,75
2012-02-21,75
2012-02-22,74
2012-02-23,74
2012-02-24,73
2012-02-25,75
2012-02-26,76
2012-02-27,73
2012-02-28,73
2012-02-29,73
2012-03-01,73
2012-03-02,73
2012-03-03,76
2012-03-04,77
2012-03-05,73
2012-03-06,73
2012-03-07,74
2012-03-08,73
2012-03-09,73
2012-03-10,76
2012-03-11,78
2012-03-12,74
2012-03-13,74
2012-03-14,75
2012-03-15,75
2012-03-16,75
2012-03-17,79
2012-03-18,78
2012-03-19,75
2012-03-20,75
2012-03-21,74
2012-03-22,73
2012-03-23,73
2012-03-24,75
2012-03-25,76
2012-03-26,73
2012-03-27,73
2012-03-28,73
2012-03-29,73
2012-03-30,73
2012-03-31,76
2012-04-01,73
2012-04-02,74
2012-04-03,75
2012-04-04,76
2012-04-05,77
2012-04-06,78
2012-04-07,83
2012-04-08,83
2012-04-09,77
2012-04-10,77
2012-04-11,76
2012-04-12,76
2012-04-13,75
2012-04-14,78
2012-04-15,78
2012-04-16,75
2012-04-17,75
2012-04-18,76
2012-04-19,75
2012-04-20,75
2012-04-21,79
2012-04-22,79
2012-04-23,74
2012-04-24,73
2012-04-25,73
2012-04-26,72
2012-04-27,71
2012-04-28,73
2012-04-29,75
2012-04-30,73
2012-05-01,74
2012-05-02,77
2012-05-03,76
2012-05-04,77
2012-05-05,82
2012-05-06,82
2012-05-07,77
2012-05-08,76
2012-05-09,76
2012-05-10,75
2012-05-11,74
2012-05-12,77
2012-05-13,78
2012-05-14,74
2012-05-15,74
2012-05-16,74
2012-05-17,74
2012-05-18,74
2012-05-19,77
2012-05-20,77
2012-05-21,74
2012-05-22,74
2012-05-23,74
2012-05-24,74
2012-05-25,74
2012-05-26,77
2012-05-27,78
2012-05-28,75
2012-05-29,74
2012-05-30,75
2012-05-31,75
2012-06-01,75
2012-06-02,79
2012-06-03,80
2012-06-04,76
2012-06-05,77
2012-06-06,77
2012-06-07,77
2012-06-08,77
2012-06-09,81
2012-06-10,81
2012-06-11,77
2012-06-12,77
2012-06-13,77
2012-06-14,77
2012-06-15,77
2012-06-16,80
2012-06-17,81
2012-06-18,77
2012-06-19,77
2012-06-20,77
2012-06-21,77
2012-06-22,77
2012-06-23,80
2012-06-24,80
2012-06-25,77
2012-06-26,77
2012-06-27,78
2012-06-28,77
2012-06-29,77
2012-06-30,81
2012-07-01,78
2012-07-02,78
2012-07-03,78
2012-07-04,84
2012-07-05,79
2012-07-06,79
2012-07-07,83
2012-07-08,83
2012-07-09,80
2012-07-10,80
2012-07-11,80
2012-07-12,80
2012-07-13,80
2012-07-14,83
2012-07-15,83
2012-07-16,80
2012-07-17,80
2012-07-18,80
2012-07-19,80
2012-07-20,80
2012-07-21,83
2012-07-22,84
2012-07-23,79
2012-07-24,79
2012-07-25,78
2012-07-26,78
2012-07-27,77
2012-07-28,80
2012-07-29,81
2012-07-30,79
2012-07-31,80
2012-08-01,81
2012-08-02,84
2012-08-03,83
2012-08-04,88
2012-08-05,88
2012-08-06,83
2012-08-07,83
2012-08-08,83
2012-08-09,82
2012-08-10,81
2012-08-11,84
2012-08-12,86
2012-08-13,82
2012-08-14,83
2012-08-15,84
2012-08-16,86
2012-08-17,86
2012-08-18,90
2012-08-19,89
2012-08-20,84
2012-08-21,83
2012-08-22,82
2012-08-23,80
2012-08-24,79
2012-08-25,81
2012-08-26,82
2012-08-27,78
2012-08-28,79
2012-08-29,79
2012-08-30,80
2012-08-31,80
2012-09-01,84
2012-09-02,85
2012-09-03,81
2012-09-04,80
2012-09-05,79
2012-09-06,80
2012-09-07,79
2012-09-08,82
2012-09-09,83
2012-09-10,79
2012-09-11,79
2012-09-12,79
2012-09-13,79
2012-09-14,79
2012-09-15,82
2012-09-16,82
2012-09-17,78
2012-09-18,78
2012-09-19,78
2012-09-20,78
2012-09-21,78
2012-09-22,81
2012-09-23,83
2012-09-24,81
2012-09-25,83
2012-09-26,86
2012-09-27,88
2012-09-28,89
2012-09-29,96
2012-09-30,95
2012-10-01,90
2012-10-02,90
2012-10-03,90
2012-10-04,88
2012-10-05,88
2012-10-06,91
2012-10-07,91
2012-10-08,85
2012-10-09,84
2012-10-10,83
2012-10-11,83
2012-10-12,81
2012-10-13,83
2012-10-14,84
2012-10-15,79
2012-10-16,78
2012-10-17,79
2012-10-18,77
2012-10-19,77
2012-10-20,80
2012-10-21,80
2012-10-22,75
2012-10-23,75
2012-10-24,74
2012-10-25,74
2012-10-26,73
2012-10-27,76
2012-10-28,77
2012-10-29,74
2012-10-30,75
2012-10-31,75
2012-11-01,76
2012-11-02,77
2012-11-03,81
2012-11-04,82
2012-11-05,77
2012-11-06,77
2012-11-07,77
2012-11-08,77
2012-11-09,77
2012-11-10,80
2012-11-11,82
2012-11-12,77
2012-11-13,77
2012-11-14,78
2012-11-15,78
2012-11-16,78
2012-11-17,82
2012-11-18,82
2012-11-19,75
2012-11-20,74
2012-11-21,72
2012-11-22,77
2012-11-23,69
2012-11-24,68
2012-11-25,72
2012-11-26,71
2012-11-27,73
2012-11-28,74
2012-11-29,76
2012-11-30,78
2012-12-01,83
2012-12-02,85
2012-12-03,80
2012-12-04,80
2012-12-05,81
2012-12-06,80
2012-12-07,80
2012-12-08,83
2012-12-09,86
2012-12-10,80
2012-12-11,79
2012-12-12,79
2012-12-13,78
2012-12-14,78
2012-12-15,80
2012-12-16,86
2012-12-17,84
2012-12-18,87
2012-12-19,91
2012-12-20,93
2012-12-21,96
2012-12-22,107
2012-12-23,102
2012-12-24,93
2012-12-25,98
2012-12-26,86
2012-12-27,82
2012-12-28,79
2012-12-29,79
2012-12-30,81
2012-12-31,79
2013-01-01,81
2013-01-02,82
2013-01-03,85
2013-01-04,86
2013-01-05,91
2013-01-06,92
2013-01-07,85
2013-01-08,84
2013-01-09,83
2013-01-10,82
2013-01-11,81
2013-01-12,83
2013-01-13,84
2013-01-14,79
2013-01-15,79
2013-01-16,80
2013-01-17,79
2013-01-18,78
2013-01-19,81
2013-01-20,82
2013-01-21,77
2013-01-22,77
2013-01-23,77
2013-01-24,77
2013-01-25,77
2013-01-26,81
2013-01-27,81
2013-01-28,77
2013-01-29,77
2013-01-30,78
2013-01-31,78
2013-02-01,78
2013-02-02,81
2013-02-03,84
2013-02-04,79
2013-02-05,79
2013-02-06,79
2013-02-07,79
2013-02-08,79
2013-02-09,82
2013-02-10,82
2013-02-11,78
2013-02-12,78
2013-02-13,78
2013-02-14,78
2013-02-15,78
2013-02-16,81
2013-02-17,82
2013-02-18,77
2013-02-19,77
2013-02-20,76
2013-02-21,77
2013-02-22,76
2013-02-23,78
2013-02-24,80
2013-02-25,78
2013-02-26,79
2013-02-27,80
2013-02-28,81
2013-03-01,82
2013-03-02,86
2013-03-03,87
2013-03-04,82
2013-03-05,82
2013-03-06,83
2013-03-07,82
2013-03-08,82
2013-03-09,85
2013-03-10,85
2013-03-11,80
2013-03-12,80
2013-03-13,79
2013-03-14,79
2013-03-15,78
2013-03-16,81
2013-03-17,81
2013-03-18,76
2013-03-19,76
2013-03-20,75
2013-03-21,75
2013-03-22,74
2013-03-23,77
2013-03-24,78
2013-03-25,75
2013-03-26,76
