Date,Wells Fargo Securities
2010-09-11,46
2010-09-12,48
2010-09-13,46
2010-09-14,47
2010-09-15,47
2010-09-16,48
2010-09-17,49
2010-09-18,52
2010-09-19,52
2010-09-20,48
2010-09-21,48
2010-09-22,47
2010-09-23,48
2010-09-24,46
2010-09-25,47
2010-09-26,49
2010-09-27,46
2010-09-28,47
2010-09-29,47
2010-09-30,48
2010-10-01,48
2010-10-02,51
2010-10-03,52
2010-10-04,49
2010-10-05,49
2010-10-06,49
2010-10-07,49
2010-10-08,49
2010-10-09,51
2010-10-10,51
2010-10-11,49
2010-10-12,49
2010-10-13,49
2010-10-14,49
2010-10-15,49
2010-10-16,51
2010-10-17,51
2010-10-18,48
2010-10-19,48
2010-10-20,47
2010-10-21,47
2010-10-22,47
2010-10-23,49
2010-10-24,49
2010-10-25,47
2010-10-26,48
2010-10-27,48
2010-10-28,49
2010-10-29,49
2010-10-30,52
2010-10-31,53
2010-11-01,50
2010-11-02,51
2010-11-03,51
2010-11-04,52
2010-11-05,52
2010-11-06,55
2010-11-07,55
2010-11-08,52
2010-11-09,51
2010-11-10,51
2010-11-11,51
2010-11-12,50
2010-11-13,51
2010-11-14,53
2010-11-15,50
2010-11-16,50
2010-11-17,50
2010-11-18,50
2010-11-19,50
2010-11-20,51
2010-11-21,51
2010-11-22,47
2010-11-23,46
2010-11-24,45
2010-11-25,48
2010-11-26,43
2010-11-27,42
2010-11-28,45
2010-11-29,45
2010-11-30,47
2010-12-01,48
2010-12-02,50
2010-12-03,52
2010-12-04,56
2010-12-05,56
2010-12-06,53
2010-12-07,52
2010-12-08,52
2010-12-09,51
2010-12-10,51
2010-12-11,53
2010-12-12,54
2010-12-13,51
2010-12-14,51
2010-12-15,52
2010-12-16,52
2010-12-17,52
2010-12-18,54
2010-12-19,56
2010-12-20,52
2010-12-21,52
2010-12-22,51
2010-12-23,51
2010-12-24,51
2010-12-25,57
2010-12-26,51
2010-12-27,52
2010-12-28,52
2010-12-29,53
2010-12-30,53
2010-12-31,54
2011-01-01,59
2011-01-02,56
2011-01-03,55
2011-01-04,56
2011-01-05,56
2011-01-06,56
2011-01-07,56
2011-01-08,59
2011-01-09,59
2011-01-10,55
2011-01-11,54
2011-01-12,54
2011-01-13,53
2011-01-14,52
2011-01-15,54
2011-01-16,55
2011-01-17,52
2011-01-18,52
2011-01-19,52
2011-01-20,52
2011-01-21,52
2011-01-22,54
2011-01-23,54
2011-01-24,51
2011-01-25,51
2011-01-26,51
2011-01-27,51
2011-01-28,51
2011-01-29,52
2011-01-30,54
