Date,Citibank
2010-08-01,0
2010-08-02,86
2010-08-03,97
2010-08-04,65
2010-08-05,65
2010-08-06,56
2010-08-07,51
2010-08-08,51
2010-08-09,51
2010-08-10,46
2010-08-11,68
2010-08-12,43
2010-08-13,60
2010-08-14,56
2010-08-15,56
2010-08-16,57
2010-08-17,47
2010-08-18,59
2010-08-19,46
2010-08-20,46
2010-08-21,50
2010-08-22,54
2010-08-23,45
2010-08-24,78
2010-08-25,100
2010-08-26,66
2010-08-27,59
2010-08-28,59
2010-08-29,70
2010-08-30,81
2010-08-31,61
2010-09-01,61
2010-09-02,78
2010-09-03,86
2010-09-04,58
2010-09-05,63
2010-09-06,67
2010-09-07,48
2010-09-08,48
2010-09-09,53
2010-09-10,58
2010-09-11,64
2010-09-12,69
2010-09-13,75
2010-09-14,43
2010-09-15,48
2010-09-16,60
2010-09-17,73
2010-09-18,59
2010-09-19,59
2010-09-20,59
2010-09-21,70
2010-09-22,80
2010-09-23,70
2010-09-24,70
2010-09-25,53
2010-09-26,53
2010-09-27,66
2010-09-28,67
2010-09-29,69
2010-09-30,70
2010-10-01,53
2010-10-02,53
2010-10-03,53
2010-10-04,57
2010-10-05,77
2010-10-06,43
2010-10-07,58
2010-10-08,62
2010-10-09,50
2010-10-10,54
2010-10-11,59
2010-10-12,48
2010-10-13,58
2010-10-14,49
2010-10-15,49
2010-10-16,49
2010-10-17,49
2010-10-18,49
2010-10-19,52
2010-10-20,80
2010-10-21,46
2010-10-22,49
2010-10-23,54
2010-10-24,59
2010-10-25,64
2010-10-26,56
2010-10-27,49
2010-10-28,53
2010-10-29,57
2010-10-30,48
2010-10-31,48
2010-11-01,72
2010-11-02,53
2010-11-03,45
2010-11-04,58
2010-11-05,62
2010-11-06,66
2010-11-07,71
2010-11-08,46
2010-11-09,53
2010-11-10,39
2010-11-11,67
2010-11-12,46
2010-11-13,46
2010-11-14,46
2010-11-15,46
2010-11-16,50
2010-11-17,50
2010-11-18,51
2010-11-19,74
2010-11-20,53
2010-11-21,65
2010-11-22,77
2010-11-23,46
2010-11-24,54
2010-11-25,86
2010-11-26,71
2010-11-27,75
2010-11-28,78
2010-11-29,81
2010-11-30,60
2010-12-01,86
2010-12-02,49
2010-12-03,50
2010-12-04,51
2010-12-05,52
2010-12-06,53
2010-12-07,57
2010-12-08,86
2010-12-09,62
2010-12-10,45
2010-12-11,46
2010-12-12,47
2010-12-13,49
2010-12-14,49
2010-12-15,70
2010-12-16,39
2010-12-17,44
2010-12-18,50
2010-12-19,56
2010-12-20,62
2010-12-21,68
2010-12-22,75
2010-12-23,83
2010-12-24,52
