Date,Seeking
2011-09-01,70
2011-09-02,71
2011-09-03,69
2011-09-04,67
2011-09-05,65
2011-09-06,63
2011-09-07,61
2011-09-08,60
2011-09-09,57
2011-09-10,57
2011-09-11,58
2011-09-12,60
2011-09-13,62
2011-09-14,64
2011-09-15,66
2011-09-16,73
2011-09-17,73
2011-09-18,73
2011-09-19,76
2011-09-20,77
2011-09-21,80
2011-09-22,87
2011-09-23,84
2011-09-24,88
2011-09-25,83
2011-09-26,80
2011-09-27,85
2011-09-28,74
2011-09-29,71
2011-09-30,68
2011-10-01,66
2011-10-02,66
2011-10-03,67
2011-10-04,69
2011-10-05,74
2011-10-06,71
2011-10-07,72
2011-10-08,74
2011-10-09,74
2011-10-10,68
2011-10-11,66
2011-10-12,63
2011-10-13,61
2011-10-14,61
2011-10-15,56
2011-10-16,56
2011-10-17,56
2011-10-18,57
2011-10-19,56
2011-10-20,57
2011-10-21,56
2011-10-22,57
2011-10-23,58
2011-10-24,59
2011-10-25,60
2011-10-26,63
2011-10-27,62
2011-10-28,64
2011-10-29,67
2011-10-30,63
2011-10-31,62
2011-11-01,60
2011-11-02,59
2011-11-03,59
2011-11-04,56
2011-11-05,56
2011-11-06,57
2011-11-07,60
2011-11-08,62
2011-11-09,65
2011-11-10,71
2011-11-11,72
2011-11-12,73
2011-11-13,70
2011-11-14,68
2011-11-15,66
2011-11-16,70
2011-11-17,62
2011-11-18,60
2011-11-19,58
2011-11-20,58
2011-11-21,58
2011-11-22,58
2011-11-23,61
2011-11-24,61
2011-11-25,61
2011-11-26,62
2011-11-27,62
2011-11-28,64
2011-11-29,66
2011-11-30,69
2011-12-01,71
2011-12-02,73
2011-12-03,77
2011-12-04,76
2011-12-05,74
2011-12-06,78
2011-12-07,72
2011-12-08,71
2011-12-09,75
2011-12-10,69
2011-12-11,67
2011-12-12,65
2011-12-13,65
2011-12-14,62
2011-12-15,61
2011-12-16,64
2011-12-17,58
2011-12-18,58
2011-12-19,58
2011-12-20,58
2011-12-21,59
2011-12-22,61
2011-12-23,59
2011-12-24,63
2011-12-25,60
2011-12-26,60
2011-12-27,60
2011-12-28,60
2011-12-29,60
2011-12-30,60
2011-12-31,60
2012-01-01,61
2012-01-02,63
2012-01-03,66
2012-01-04,68
2012-01-05,69
2012-01-06,71
2012-01-07,73
2012-01-08,71
2012-01-09,69
2012-01-10,68
2012-01-11,65
2012-01-12,63
2012-01-13,66
2012-01-14,60
2012-01-15,59
2012-01-16,58
2012-01-17,57
2012-01-18,57
2012-01-19,56
2012-01-20,57
2012-01-21,57
2012-01-22,55
2012-01-23,55
2012-01-24,56
2012-01-25,61
2012-01-26,57
2012-01-27,57
2012-01-28,58
2012-01-29,59
2012-01-30,60
2012-01-31,62
2012-02-01,65
2012-02-02,65
2012-02-03,66
2012-02-04,72
2012-02-05,68
2012-02-06,69
2012-02-07,70
2012-02-08,70
2012-02-09,75
2012-02-10,76
2012-02-11,73
2012-02-12,74
2012-02-13,75
2012-02-14,77
2012-02-15,77
2012-02-16,78
2012-02-17,83
2012-02-18,85
2012-02-19,80
2012-02-20,80
2012-02-21,80
2012-02-22,80
2012-02-23,82
2012-02-24,88
2012-02-25,80
2012-02-26,83
2012-02-27,77
2012-02-28,76
2012-02-29,77
2012-03-01,74
2012-03-02,73
2012-03-03,78
2012-03-04,71
2012-03-05,71
2012-03-06,74
2012-03-07,71
2012-03-08,71
2012-03-09,79
2012-03-10,71
2012-03-11,70
2012-03-12,70
2012-03-13,70
2012-03-14,70
2012-03-15,69
2012-03-16,69
2012-03-17,70
2012-03-18,70
2012-03-19,71
2012-03-20,72
2012-03-21,76
2012-03-22,74
2012-03-23,79
2012-03-24,76
2012-03-25,74
2012-03-26,78
2012-03-27,72
2012-03-28,72
2012-03-29,69
2012-03-30,73
2012-03-31,67
2012-04-01,66
2012-04-02,65
2012-04-03,64
2012-04-04,66
2012-04-05,62
2012-04-06,63
2012-04-07,60
2012-04-08,63
2012-04-09,66
2012-04-10,69
2012-04-11,73
2012-04-12,76
2012-04-13,85
2012-04-14,83
2012-04-15,80
2012-04-16,77
2012-04-17,74
2012-04-18,74
2012-04-19,68
2012-04-20,65
2012-04-21,63
2012-04-22,65
2012-04-23,66
2012-04-24,68
2012-04-25,73
2012-04-26,71
2012-04-27,73
2012-04-28,75
2012-04-29,76
2012-04-30,73
2012-05-01,73
2012-05-02,77
2012-05-03,71
2012-05-04,70
2012-05-05,70
2012-05-06,71
2012-05-07,72
2012-05-08,73
2012-05-09,78
2012-05-10,76
2012-05-11,82
2012-05-12,82
2012-05-13,79
2012-05-14,80
2012-05-15,83
2012-05-16,81
2012-05-17,85
2012-05-18,86
2012-05-19,83
2012-05-20,81
2012-05-21,78
2012-05-22,77
2012-05-23,74
2012-05-24,75
2012-05-25,70
2012-05-26,68
2012-05-27,69
2012-05-28,70
2012-05-29,72
2012-05-30,82
2012-05-31,75
2012-06-01,76
2012-06-02,83
2012-06-03,75
